Player,Team,GPA,Avg,GPA Rating
A. Ale,Leicester City,2.719,0.67975,60.25
C. Boureille,Leicester City,1.816,0.6053333333333334,52.27
C. Swaby,Leicester City,0.23500000000000001,0.23500000000000001,38.29
E. van Egmond,Leicester City,1.8940000000000001,0.47350000000000003,52.96
H. Cain,Leicester City,1.5020000000000002,0.37550000000000006,49.49
H. Eiríksdóttir,Leicester City,0.9530000000000001,0.23825000000000002,44.64
H. Payne,Leicester City,1.494,0.3735,49.42
J. Cayman,Leicester City,2.028,0.507,54.14
J. Leitzig,Leicester City,2.2969999999999997,0.5742499999999999,56.52
J. Rantala,Leicester City,0.372,0.093,39.5
J. Thibaud,Leicester City,3.186,0.7965,64.38
N. Las,Leicester City,0.082,0.082,36.94
N. Mouchon,Leicester City,0.072,0.072,36.85
O. McLoughlin,Leicester City,1.8880000000000003,0.4720000000000001,52.9
R. Ayane,Leicester City,0.071,0.071,36.84
S. Kees,Leicester City,2.142,0.714,55.15
S. O’Brien,Leicester City,0.34700000000000003,0.11566666666666667,39.28
S. Sherwood,Leicester City,0.025,0.025,36.43
S. Tierney,Leicester City,2.436,0.609,57.75
A. Fujino,Manchester City,1.2189999999999999,0.4063333333333333,46.99
A. Greenwood,Manchester City,3.9200000000000004,0.9800000000000001,70.87
A. Yamashita,Manchester City,1.611,0.8055,50.45
G. Clinton,Manchester City,0.7630000000000001,0.38150000000000006,42.96
G. Prior,Manchester City,3.7920000000000003,0.9480000000000001,69.74
I. Beney,Manchester City,0.588,0.196,41.41
J. Rose,Manchester City,1.222,0.611,47.01
K. Casparij,Manchester City,3.1710000000000003,0.7927500000000001,64.25
K. Keating,Manchester City,1.6169999999999998,0.8084999999999999,50.51
K. Shaw,Manchester City,1.8719999999999999,0.46799999999999997,52.76
Kerolin,Manchester City,0.8039999999999999,0.40199999999999997,43.32
L. Blindkilde Brown,Manchester City,2.3400000000000003,0.5850000000000001,56.9
L. Coombs,Manchester City,0.244,0.122,38.37
L. Hemp,Manchester City,1.254,0.418,47.3
L. Murphy,Manchester City,0.43100000000000005,0.43100000000000005,40.02
Leila Ouahabi,Manchester City,2.725,0.68125,60.3
N. Layzell,Manchester City,0.24500000000000002,0.12250000000000001,38.38
S. Lohmann,Manchester City,0.728,0.364,42.65
V. Miedema,Manchester City,1.8060000000000003,0.45150000000000007,52.18
Y. Hasegawa,Manchester City,3.505,0.87625,67.2
A. Russo,Arsenal,1.834,0.4585,52.42
B. Mead,Arsenal,1.508,0.377,49.54
C. Foord,Arsenal,1.409,0.35225,48.67
C. Kelly,Arsenal,0.849,0.28300000000000003,43.72
D. van Domselaar,Arsenal,2.795,0.69875,60.92
E. Fox,Arsenal,4.2700000000000005,1.0675000000000001,73.96
F. Maanum,Arsenal,1.29,0.3225,47.62
K. Little,Arsenal,3.3160000000000003,0.8290000000000001,65.53
K. McCabe,Arsenal,3.15,0.7875,64.06
K. Reid,Arsenal,3.8980000000000006,0.9745000000000001,70.67
L. Wubben-Moy,Arsenal,0.20800000000000002,0.10400000000000001,38.05
Mariona Caldentey,Arsenal,4.608,1.152,76.95
O. Smith,Arsenal,1.155,0.28875,46.42
S. Blackstenius,Arsenal,0.6100000000000001,0.20333333333333337,41.6
S. Catley,Arsenal,3.84,0.96,70.16
T. Hinds,Arsenal,0.682,0.1705,42.24
V. Pelova,Arsenal,0.616,0.2053333333333333,41.66
C. Brosnan,Everton,1.791,0.597,52.04
C. Wheeler,Everton,2.148,0.537,55.2
E. Ramsey,Everton,0.633,0.633,41.81
E. Stenevik,Everton,1.421,0.47366666666666674,48.77
H. Hayashi,Everton,0.945,0.23625,44.57
H. Kitagawa,Everton,0.54,0.54,40.98
H. Ladd,Everton,0.487,0.2435,40.52
K. Gago,Everton,0.449,0.14966666666666667,40.18
K. Holmgaard,Everton,1.549,0.38725,49.91
K. Robinson,Everton,0.9630000000000001,0.24075000000000002,44.72
K. Snoeijs,Everton,1.226,0.3065,47.05
M. Pacheco,Everton,2.4880000000000004,0.6220000000000001,58.21
Martina Fernández,Everton,3.7960000000000003,0.9490000000000001,69.77
Ornella Vignola,Everton,1.312,0.328,47.81
R. Ishikawa,Everton,2.95,0.9833333333333334,62.29
R. Mace,Everton,2.518,0.6295,58.47
R. van Gool,Everton,1.7289999999999999,0.43224999999999997,51.5
T. Payne,Everton,0.49399999999999994,0.12349999999999998,40.58
Y. Momiki,Everton,1.904,0.476,53.04
A. Patten,Aston Villa,2.121,0.7070000000000001,54.96
C. Grant,Aston Villa,1.6179999999999999,0.5393333333333333,50.52
E. Roebuck,Aston Villa,1.0699999999999998,0.5349999999999999,45.67
E. Salmon,Aston Villa,0.9560000000000001,0.3186666666666667,44.66
G. Mullett,Aston Villa,0.186,0.062,37.86
J. Baijings,Aston Villa,1.174,0.39133333333333337,46.59
K. Hanson,Aston Villa,0.9099999999999999,0.30333333333333334,44.26
L. Kendall,Aston Villa,0.7180000000000001,0.35900000000000004,42.56
L. Parker,Aston Villa,0.17099999999999999,0.17099999999999999,37.72
L. Wilms,Aston Villa,2.726,0.9086666666666666,60.31
M. Kearns,Aston Villa,1.605,0.535,50.4
M. Taylor,Aston Villa,0.533,0.17766666666666667,40.92
N. Maritz,Aston Villa,1.536,0.768,49.79
O. Deslandes,Aston Villa,1.795,0.5983333333333334,52.08
Paula Tomás,Aston Villa,0.262,0.262,38.53
R. Daly,Aston Villa,1.1540000000000001,0.3846666666666667,46.41
R. Maltby,Aston Villa,0.625,0.3125,41.74
S. D'Angelo,Aston Villa,1.05,0.525,45.49
S. Mayling,Aston Villa,0.197,0.197,37.95
