Player,Team,Minutes
A. Ale,Leicester City,180.0
A. Beever-Jones,Chelsea,151.0
A. Dennis,Tottenham Hotspur,65.0
A. Denton,West Ham United,180.0
A. Fujino,Manchester City,92.0
A. Greenwood,Manchester City,246.0
A. Kennedy,London City Lionesses,155.0
A. Nildén,Tottenham Hotspur,270.0
A. Patten,Aston Villa,180.0
A. Russo,Arsenal,166.0
A. Sandberg,Manchester United,152.0
A. Thompson,Chelsea,45.0
A. Tysiak,West Ham United,90.0
A. Yamashita,Manchester City,90.0
B. England,Tottenham Hotspur,263.0
B. Mead,Arsenal,77.0
B. Olsson,Liverpool,102.0
B. Rayner,Brighton & Hove Albion,80.0
C. Bizet,Manchester United,146.0
C. Boureille,Leicester City,180.0
C. Brosnan,Everton,270.0
C. Foord,Arsenal,120.0
C. Grant,Aston Villa,180.0
C. Grant,Tottenham Hotspur,72.0
C. Holland,Liverpool,135.0
C. Hunt,Tottenham Hotspur,270.0
C. Kapocs,Liverpool,151.0
C. Kelly,Arsenal,75.0
C. Macário,Chelsea,116.0
C. Nnadozie,Brighton & Hove Albion,180.0
C. Rule,Brighton & Hove Albion,180.0
C. Tandberg,Tottenham Hotspur,171.0
C. Wheeler,Everton,180.0
Carla Camacho,Brighton & Hove Albion,4.0
D. Janssen,Manchester United,120.0
D. Spence,Tottenham Hotspur,243.0
D. van Domselaar,Arsenal,180.0
E. Carpenter,Chelsea,180.0
E. Cuthbert,Chelsea,121.0
E. Fox,Arsenal,180.0
E. Linari,London City Lionesses,180.0
E. Nyström,West Ham United,164.0
E. Roebuck,Aston Villa,135.0
E. Salmon,Aston Villa,136.0
E. Stenevik,Everton,25.0
E. Summanen,Tottenham Hotspur,270.0
E. Terland,Manchester United,104.0
E. Toone,Manchester United,166.0
E. van Egmond,Leicester City,176.0
Elene Lete,London City Lionesses,270.0
F. Kirby,Brighton & Hove Albion,117.0
F. Kirby,Liverpool,180.0
F. Maanum,Arsenal,75.0
F. Morgan,West Ham United,28.0
F. Nagano,Liverpool,153.0
F. Rolfö,Manchester United,14.0
G. Bonner,Liverpool,180.0
G. Clinton,Manchester City,26.0
G. Evans,Liverpool,180.0
G. Fisk,Liverpool,180.0
G. George,Manchester United,7.0
G. Geyoro,London City Lionesses,59.0
G. Mullett,Aston Villa,27.0
G. Prior,Manchester City,270.0
G. Reiten,Chelsea,45.0
H. Cain,Leicester City,163.0
H. Eiríksdóttir,Leicester City,72.0
H. Hampton,Chelsea,180.0
H. Hayashi,Everton,85.0
H. Ladd,Everton,45.0
H. Miyazawa,Manchester United,180.0
H. Payne,Leicester City,18.0
I. Belloumou,West Ham United,26.0
I. Beney,Manchester City,78.0
I. Goodwin,London City Lionesses,270.0
J. Baijings,Aston Villa,151.0
J. Cayman,Leicester City,162.0
J. Clark,Liverpool,75.0
J. Leitzig,Leicester City,180.0
J. Naz,Tottenham Hotspur,257.0
J. Park,Manchester United,124.0
J. Rantala,Leicester City,13.0
J. Riviere,Manchester United,166.0
J. Roddar,London City Lionesses,136.0
