Player,Team,Assists,ShotAssists,xAG
A. Ale,Leicester City FC,0,2,0.18
A. Beever-Jones,Chelsea FC Women,0,5,0.33
A. Csiki,West Ham United WFC,0,1,0.05
A. Fujino,Manchester City WFC,1,2,0.46
A. Greenwood,Manchester City WFC,1,3,0.5
A. Nildén,Tottenham Hotspur FCW,0,6,0.67
A. Russo,Arsenal WFC,2,7,1.31
A. Sandberg,Manchester United WFC,1,3,0.76
A. Thompson,Chelsea FC Women,0,6,0.96
B. England,Tottenham Hotspur FCW,1,3,0.24
B. Mead,Arsenal WFC,3,3,1.87
C. Foord,Arsenal WFC,0,3,0.78
C. Grant,Aston Villa WFC,1,7,1.29
C. Holland,Liverpool FCW,0,3,0.53
C. Hunt,Tottenham Hotspur FCW,0,1,0.39
C. Kapocs,Liverpool FCW,0,1,0.07
C. Kelly,Arsenal WFC,0,1,0.05
C. Macário,Chelsea FC Women,1,2,0.71
C. Tandberg,Tottenham Hotspur FCW,1,2,0.6
C. Wheeler,Everton FC,0,2,0.15
Carla Camacho,Brighton & Hove Albion WFC,0,1,0.05
D. Janssen,Manchester United WFC,1,0,0.38
E. Carpenter,Chelsea FC Women,1,1,0.53
E. Cuthbert,Chelsea FC Women,0,1,0.14
E. Fox,Arsenal WFC,0,2,0.11
E. Salmon,Aston Villa WFC,0,2,0.11
E. Stenevik,Everton FC,0,2,0.14
E. Summanen,Tottenham Hotspur FCW,1,3,0.47
E. Terland,Manchester United WFC,2,3,1.04
E. Toone,Manchester United WFC,1,4,0.61
E. van Egmond,Leicester City FC,0,1,0.03
F. Kirby,Brighton & Hove Albion WFC,1,5,0.46
F. Maanum,Arsenal WFC,0,1,0.07
F. Rolfö,Manchester United WFC,1,0,0.06
G. Bonner,Liverpool FCW,0,1,0.32
G. Clinton,Manchester City WFC,0,1,0.1
G. Evans,Liverpool FCW,0,1,0.05
G. Fisk,Liverpool FCW,0,1,0.09
G. Geyoro,London City Lionesses LFC,0,2,0.14
G. Prior,Manchester City WFC,0,1,0.11
G. Reiten,Chelsea FC Women,0,1,0.41
H. Cain,Leicester City FC,0,1,0.05
H. Eiríksdóttir,Leicester City FC,0,2,0.11
H. Hayashi,Everton FC,0,2,0.13
H. Ladd,Everton FC,1,1,0.1
H. Payne,Leicester City FC,0,1,0.03
I. Beney,Manchester City WFC,0,1,0.09
I. Goodwin,London City Lionesses LFC,0,2,0.19
J. Baijings,Aston Villa WFC,0,2,0.16
J. Cayman,Leicester City FC,1,2,0.23
J. Naz,Tottenham Hotspur FCW,0,1,0.03
J. Park,Manchester United WFC,1,5,0.97
J. Riviere,Manchester United WFC,1,1,0.36
J. Rytting Kaneryd,Chelsea FC Women,0,2,0.1
J. Thibaud,Leicester City FC,0,3,0.12
J. Zigiotti Olme,Manchester United WFC,0,5,0.29
J. Čanković,Brighton & Hove Albion WFC,0,3,0.23
Jana Fernández,London City Lionesses LFC,0,3,0.23
K. Asllani,London City Lionesses LFC,1,12,1.37
K. Casparij,Manchester City WFC,1,4,1.2
K. Gago,Everton FC,0,2,0.14
K. Gorry,West Ham United WFC,0,4,0.87
K. Graham,Tottenham Hotspur FCW,0,2,0.1
K. Hanson,Aston Villa WFC,0,1,0.07
K. Holmgaard,Everton FC,1,1,0.15
K. Little,Arsenal WFC,0,5,0.24
K. MacLean,Liverpool FCW,0,1,0.08
K. McCabe,Arsenal WFC,0,4,0.57
K. Robinson,Everton FC,0,2,0.39
K. Seike,Brighton & Hove Albion WFC,0,5,0.72
K. Shaw,Manchester City WFC,1,3,0.32
K. Snoeijs,Everton FC,0,3,0.18
Kerolin,Manchester City WFC,1,4,0.45
L. Blindkilde Brown,Manchester City WFC,0,1,0.1
L. Gunning-Williams,Tottenham Hotspur FCW,0,1,0.05
L. Hemp,Manchester City WFC,0,8,1.17
L. Kendall,Aston Villa WFC,0,1,0.03
