Player,Team,VAEP_off,VAEP_def,VAEP_total,VAEP Rating,Games
H. Miyazawa,Manchester United,3.0018148429273825,-1.582219127531406e-07,3.0018146847054696,88.67,2
K. Little,Arsenal,2.6624690030186713,4.159424682375681e-06,2.6624731624433537,84.13,2
K. Asllani,London City Lionesses,2.250680451173568,-5.948102922520247e-07,2.2506798563632757,78.61,3
D. van Domselaar,Arsenal,2.1226066283481004,-1.0312766107882914e-07,2.1226065252204394,76.9,2
E. Roebuck,Aston Villa,2.0075406718269133,0.0,2.0075406718269133,75.36,2
A. Greenwood,Manchester City,1.9858207395656693,-1.428749876610531e-08,1.9858207252781706,75.07,3
N. Charles,Chelsea,1.9579362712394812,1.0150835039593247e-06,1.9579372863229851,74.69,2
C. Brosnan,Everton,1.9199334407005253,1.906874622986259e-12,1.9199334407024322,74.18,3
M. Pacheco,Everton,1.6430848029490872,-8.277536285091366e-07,1.6430839751954587,70.48,3
C. Nnadozie,Brighton & Hove Albion,1.5190261421261189,-3.914308525196741e-12,1.5190261421222047,68.82,2
R. Ishikawa,Everton,1.261781120874683,-1.0499342926708178e-08,1.26178111037534,65.37,3
Mariona Caldentey,Arsenal,1.2049680661280122,-8.142896468299981e-08,1.2049679846990478,64.61,2
A. Sandberg,Manchester United,1.1271403886988405,-9.588408329538221e-07,1.1271394298580075,63.57,2
Leila Ouahabi,Manchester City,1.0864894046637181,-1.5626954159029703e-07,1.0864892483941766,63.02,3
G. Clinton,Manchester City,1.0329291533590632,2.1846762098030002e-08,1.0329291752058254,62.31,1
G. Bonner,Liverpool,1.0198899468073162,3.777085390357638e-06,1.0198937238927066,62.13,2
M. Kearns,Aston Villa,1.0188335743907082,-4.770843054656211e-07,1.0188330973064028,62.12,2
S. Baltimore,Chelsea,1.0068112867902166,-3.092347977113289e-06,1.0068081944422393,61.96,2
A. Denton,West Ham United,1.0045653155245076,-1.6652611562097224e-05,1.0045486629129454,61.93,2
K. Zelem,London City Lionesses,0.982016009080893,-2.796795782236204e-07,0.9820157294013149,61.62,2
S. Martinez,West Ham United,0.9767716354671383,0.0003587286893272989,0.9771303641564656,61.56,2
C. Foord,Arsenal,0.9654359592212359,1.775017849760827e-07,0.9654361367230208,61.4,2
J. Čanković,Brighton & Hove Albion,0.9437831369067998,-2.052931154262336e-06,0.9437810839756455,61.11,2
C. Boureille,Leicester City,0.9432837750751851,-1.4102258570070658e-07,0.9432836340525994,61.11,2
C. Tandberg,Tottenham Hotspur,0.9288217988742515,-4.4400120544412937e-07,0.9288213548730462,60.91,3
E. Fox,Arsenal,0.9271044986296276,-4.378982025284878e-06,0.9271001196476023,60.89,2
W. Kaptein,Chelsea,0.9261829535336604,-7.067336213598172e-07,0.926182246800039,60.88,2
J. Cayman,Leicester City,0.9140127971400318,-1.5942328839041318e-07,0.9140126377167435,60.71,2
E. Cuthbert,Chelsea,0.9097913739166437,-3.740936983169528e-07,0.9097909998229453,60.66,2
M. Le Tissier,Manchester United,0.9066835366403735,3.2095399342255346e-05,0.9067156320397157,60.62,2
R. van Gool,Everton,0.8947959238804909,1.052040068858779e-05,0.8948064442811795,60.46,3
K. Casparij,Manchester City,0.8863004837415487,-6.988685038348944e-07,0.8862997848730448,60.34,3
S. D'Angelo,Aston Villa,0.8854004702881759,0.0,0.8854004702881759,60.33,1
G. Prior,Manchester City,0.8757209511746337,8.160240348761205e-08,0.8757210327770372,60.2,3
R. McLauchlan,Brighton & Hove Albion,0.8668795805858052,1.3546387399418615e-07,0.8668797160496792,60.08,2
Elene Lete,London City Lionesses,0.8370471948284306,0.0,0.8370471948284306,59.68,3
A. Russo,Arsenal,0.8354313053153722,-2.8162678006408263e-12,0.8354313053125559,59.66,2
L. Lindström,London City Lionesses,0.8166174913373274,-6.01411023474879e-08,0.8166174311962251,59.41,2
J. Zigiotti Olme,Manchester United,0.7849792498197475,-3.4144684955490686e-05,0.784945105134792,58.99,2
F. Rolfö,Manchester United,0.7724201925395355,0.0,0.7724201925395355,58.82,1
L. Naalsund,Manchester United,0.7055144170148009,-5.911752301525789e-07,0.7055138258395708,57.92,2
S. Catley,Arsenal,0.691486139904533,-2.9063050001760687e-08,0.691486110841483,57.73,2
L. Coombs,Manchester City,0.6727442060442764,-8.145412542403279e-08,0.6727441245901511,57.48,1
E. Summanen,Tottenham Hotspur,0.5916036102608555,4.078524318002826e-06,0.5916076887851736,56.4,3
C. Grant,Aston Villa,0.5824856310173405,3.5705234196273185e-05,0.5825213362515368,56.28,2
O. Smith,Arsenal,0.4767599221978227,-1.2967167375466567e-07,0.47675979252614886,54.86,2
E. Toone,Manchester United,0.45755300558609713,-7.433058138113368e-08,0.45755293125551577,54.6,2
Kerolin,Manchester City,0.24201964202927945,1.7566117166150429e-06,0.24202139864099606,51.72,2
Martina Fernández,Everton,0.20055798492452384,-7.533962281419739e-06,0.20055045096224242,51.16,3
T. Payne,Everton,0.18183170084302996,1.3412874184601778e-06,0.1818330421304484,50.91,3
R. Imuran,London City Lionesses,0.1490067486216287,-9.536937108321314e-07,0.14900579492791785,50.47,3
I. Goodwin,London City Lionesses,0.12094398288089525,-3.649131403539554e-07,0.120943617967755,50.1,3
M. Auée,Brighton & Hove Albion,0.11694980648458128,1.2308485661936918e-11,0.11694980649688977,50.04,1
L. Kendall,Aston Villa,0.1076867617829495,3.5952301423634883e-13,0.10768676178330902,49.92,1
W. Sangaré,London City Lionesses,0.10279949412845525,-8.559726233744781e-07,0.10279863815583186,49.85,3
A. Dennis,Tottenham Hotspur,0.09846727608832984,-3.3413212486776386e-08,0.09846724267511735,49.79,1
J. Rybrink,Tottenham Hotspur,0.09649015387868545,-3.1871316267785697e-07,0.09648983516552274,49.77,3
K. McCabe,Arsenal,0.09322222227452577,1.8237013245843953e-06,0.09322404597585036,49.72,2
K. Robinson,Everton,0.08480303958273105,-1.7777032494382922e-07,0.08480286181240611,49.61,3
G. Evans,Liverpool,0.07094737564578336,-4.806176719049936e-07,0.07094689502811145,49.43,2
V. Pelova,Arsenal,0.06913406886920298,-1.776616970727394e-07,0.0691338912075059,49.4,2
I. Beney,Manchester City,0.06489245399842933,1.596489382244213e-06,0.06489405048781158,49.34,3
H. Cain,Leicester City,0.06352070912721332,-9.967956954955463e-06,0.06351074117025836,49.33,2
V. Asseyi,West Ham United,0.057360919838144286,-1.100153213728813e-05,0.057349918306007004,49.24,2
N. Parris,London City Lionesses,0.05329142153714381,-3.458909002687436e-05,0.053256832447116875,49.19,3
A. Nildén,Tottenham Hotspur,0.05135458134473335,0.00015723529997979942,0.051511816644713146,49.17,3
M. Olislagers,Brighton & Hove Albion,0.04862587534265012,-1.3280287055276317e-06,0.048624547313944576,49.13,2
S. Kerr,Liverpool,0.04785175295014146,-9.589036808403584e-08,0.04785165705977338,49.12,2
H. Hayashi,Everton,0.0473799558107972,-3.395952309547135e-05,0.047345996287701725,49.11,3
M. Höbinger,Liverpool,0.045520177931487306,-3.1418468727180867e-07,0.04551986374680003,49.09,2
G. Reiten,Chelsea,0.04290850484021101,6.219359625360638e-07,0.04290912677617355,49.05,1
J. Rose,Manchester City,0.04203323469778208,-6.401640864957182e-07,0.04203259453369558,49.04,2
O. Siren,West Ham United,0.039711089891730326,-3.406864201256523e-07,0.039710749205310196,49.01,2
L. Woodham,Liverpool,0.03873144717894245,-1.7746182699804816e-07,0.038731269717115456,48.99,1
K. Gorry,West Ham United,0.03852894277556157,-9.909960759369955e-05,0.03842984316796787,48.99,2
R. Ueki,West Ham United,0.03849692754621857,-4.987584549301852e-07,0.03849642878776364,48.99,2
C. Rule,Brighton & Hove Albion,0.03751259565031613,-3.514996323630607e-05,0.03747744568707982,48.98,2
L. Murphy,Manchester City,0.03685916822054719,-7.043635281365388e-08,0.03685909778419436,48.97,1
S. Franssi,London City Lionesses,0.033811572514748256,1.138133762649675e-07,0.03381168632812452,48.93,3
J. Clark,Liverpool,0.02926901053877663,-1.5595237071412057e-07,0.029268854586405914,48.87,1
S. Piubel,West Ham United,0.028726232662105496,-4.242733375779821e-06,0.028721989928729715,48.86,2
L. Blindkilde Brown,Manchester City,0.028225975391377514,-1.416441490914246e-07,0.028225833747228424,48.85,3
E. Stenevik,Everton,0.027067149396012687,2.1317199455878217e-08,0.027067170713212144,48.84,2
J. Rantala,Leicester City,0.0272534196525661,-2.1975542854776768e-08,0.027253397677023245,48.84,2
G. Mullett,Aston Villa,0.02496532867943311,1.559529861883233e-07,0.024965484632419297,48.81,2
Lucía Corrales,London City Lionesses,0.023802760710011545,6.597435351886765e-08,0.02380282668436506,48.79,3
N. Maritz,Aston Villa,0.02226595397992754,-1.6321469217987487e-07,0.022265790765235362,48.77,2
Y. Momiki,Everton,0.021752650006512483,-3.592108532923619e-05,0.021716728921183242,48.77,3
J. Roddar,London City Lionesses,0.021290689114036414,-3.85554902157224e-05,0.021252133623820696,48.76,3
K. Gago,Everton,0.020579192876677442,-2.0989110661378556e-07,0.020578982985570832,48.75,3
S. Haug,Liverpool,0.02040625441573343,5.164711859649362e-13,0.0204062544162499,48.75,2
A. Tysiak,West Ham United,0.017750325544085167,-1.6305458658978855e-07,0.017750162489498577,48.71,1
K. MacLean,Liverpool,0.014143305050318609,0.0,0.014143305050318609,48.67,2
K. Walsh,Chelsea,0.013668036414712594,-1.2474691088745753e-07,0.013667911667801706,48.66,2
K. Graham,Tottenham Hotspur,0.013576609233712272,-1.560382876297375e-07,0.013576453195424642,48.66,2
F. Kirby,Liverpool,0.012686268469213594,0.0,0.012686268469213594,48.65,2
O. Jean-François,Chelsea,0.012350486872251711,0.0,0.012350486872251711,48.64,2
M. Agyemang,Brighton & Hove Albion,0.011851252454888534,-5.149524365089768e-06,0.011846102930523445,48.63,2
A. Thompson,Chelsea,0.010488042071287614,-3.591675959492806e-13,0.010488042070928447,48.62,1
Carla Camacho,Brighton & Hove Albion,0.009104899743541794,-3.338633164247093e-13,0.009104899743207932,48.6,2
L. Gunning-Williams,Tottenham Hotspur,0.009328259758882889,3.4271411467369086e-05,0.009362531170350259,48.6,2
S. Lohmann,Manchester City,0.009171737688840905,3.4949673495671896e-07,0.009172087185575863,48.6,1
M. Haley,Brighton & Hove Albion,0.008550690571205593,-7.301855413831921e-09,0.008550683269350181,48.59,2
K. Szemik,West Ham United,0.006123288422346393,0.0,0.006123288422346393,48.56,1
H. Ladd,Everton,0.005746346319507425,4.176010335575116e-06,0.005750522329842999,48.55,1
M. Bright,Chelsea,0.005836655238278769,-4.136278129002856e-05,0.00579529245698874,48.55,2
J. Baijings,Aston Villa,0.005230449087835653,-5.05364354490453e-06,0.005225395444290748,48.55,2
R. Kafaji,Brighton & Hove Albion,0.003736628533879709,1.5595289783423157e-07,0.003736784486777543,48.53,1
L. Wandeler,West Ham United,0.0027692295509893525,2.7921950495292015e-12,0.0027692295537815473,48.51,1
B. Rayner,Brighton & Hove Albion,0.0017529646429067004,-2.8614202849126904e-14,0.0017529646428780861,48.5,2
F. Morgan,West Ham United,0.001751216152949243,-2.148956187932021e-08,0.0017511946633873632,48.5,1
R. Shimizu,Liverpool,0.002142404319099995,8.160286430489219e-08,0.0021424859219643,48.5,2
A. Kennedy,London City Lionesses,0.0021046763833397148,-0.00010584792706395496,0.0019988284562757583,48.5,3
H. Payne,Leicester City,0.001363537679283312,-8.162162686780358e-08,0.0013634560576564442,48.49,2
S. Lundgaard,Liverpool,0.0,0.0,0.0,48.48,1
L. Wubben-Moy,Arsenal,0.00010383768916896044,0.0,0.00010383768916896044,48.48,1
V. Buurman,Chelsea,0.0,0.0,0.0,48.48,1
S. Jakobsson,London City Lionesses,-0.0005449885445711985,2.184659414923614e-08,-0.0005449666979770492,48.47,1
M. Enderby,Liverpool,-0.0007417948481915635,3.413627736172798e-05,-0.0007076585708298347,48.47,2
S. Nüsken,Chelsea,-0.0003452188981510777,-1.7745456462851653e-07,-0.00034539635271570645,48.47,1
G. George,Manchester United,-0.0009235790584872804,3.613488599305897e-12,-0.0009235790548737919,48.46,1
H. Eiríksdóttir,Leicester City,-0.0014996719290267528,-4.618891211912395e-12,-0.0014996719336456438,48.46,2
María Pérez,London City Lionesses,-0.0012565996760060742,-7.891453628146847e-07,-0.001257388821368889,48.46,3
T. Hinds,Arsenal,-0.0018871247989137997,1.278092139327903e-12,-0.0018871247976357075,48.45,2
S. Sherwood,Leicester City,-0.0018868337457597067,0.0,-0.0018868337457597067,48.45,1
I. Belloumou,West Ham United,-0.0018674710120965437,-4.896118660027495e-08,-0.001867519973283144,48.45,1
M. Thomas,Tottenham Hotspur,-0.002569150315958306,7.449689011271465e-08,-0.0025690758190681936,48.44,1
S. Kees,Leicester City,-0.002541850870451287,-6.402535243623585e-07,-0.0025424911239756496,48.44,2
M. Paví,West Ham United,-0.003594144781087841,-8.145295635682439e-08,-0.0035942262340441975,48.43,2
L. Kiernan,Liverpool,-0.0038985354334371146,0.0,-0.0038985354334371146,48.42,1
M. Hamano,Chelsea,-0.004401543594751243,-4.077205398508631e-07,-0.004401951315291094,48.42,1
S. Mayling,Aston Villa,-0.004596095003881951,-8.160587330941387e-08,-0.00459617660975526,48.41,1
M. Vinberg,Tottenham Hotspur,-0.004707009990425479,0.0,-0.004707009990425479,48.41,1
Maite Oroz,Tottenham Hotspur,-0.005055084269232282,-8.146687411523675e-08,-0.005055165736106397,48.41,1
O. Deslandes,Aston Villa,-0.004537674838168314,-3.2783182027482776e-06,-0.004540953156371063,48.41,2
N. Layzell,Manchester City,-0.005276026060945854,0.0,-0.005276026060945854,48.41,1
O. Holdt,Tottenham Hotspur,-0.004758697532604611,-7.419960909906184e-08,-0.004758771732213734,48.41,2
O. McLoughlin,Leicester City,-0.006096665939860534,1.0406359403540598e-05,-0.006086259580456993,48.39,2
S. O’Brien,Leicester City,-0.0068304496367353335,-5.111453312945943e-07,-0.006830960782066628,48.38,2
M. Walsh,West Ham United,-0.008786292610911206,-2.1431358006717074e-06,-0.008788435746711877,48.36,2
C. Grant,Tottenham Hotspur,-0.010312359851203594,-9.249246888686024e-07,-0.010313284775892462,48.34,3
K. Keating,Manchester City,-0.011917908550393633,1.6100309037866683e-06,-0.01191629851948984,48.32,2
C. Macário,Chelsea,-0.012152037599284727,1.5595497646621298e-07,-0.01215188164430826,48.31,2
F. Nagano,Liverpool,-0.013186749743721835,-3.1189202749446503e-07,-0.013187061635749332,48.3,2
J. Thibaud,Leicester City,-0.01278166538252461,-8.049603796233183e-05,-0.012862161420486925,48.3,2
B. Olsson,Liverpool,-0.013544282161483656,-3.5595625612833776e-09,-0.013544285721046215,48.29,2
T. Goldie,London City Lionesses,-0.014265923106798398,-2.4477401529342915e-07,-0.014266167880813693,48.28,1
K. Hanson,Aston Villa,-0.01434995344737644,2.1982724579679647e-08,-0.014349931464651862,48.28,2
R. Maltby,Aston Villa,-0.016357171847592708,-3.4162056997317086e-05,-0.016391333904590022,48.26,1
M. Turner,Manchester United,-0.017423893677939926,-1.52089224306845e-07,-0.01742404576716423,48.24,2
N. Las,Leicester City,-0.021182397213094627,-8.158942629701699e-08,-0.021182478802520922,48.19,1
N. Noordam,Brighton & Hove Albion,-0.02375479454854422,-1.1731423518343705e-12,-0.023754794549717365,48.16,2
M. Taylor,Aston Villa,-0.02673109174147602,1.6063206362216006e-06,-0.026729485420839798,48.12,2
C. Bizet,Manchester United,-0.028222732551782752,-1.19416119047245e-06,-0.028223926712973222,48.1,2
J. Rytting Kaneryd,Chelsea,-0.029104557485106763,-1.4446742532287872e-05,-0.02911900422763905,48.09,2
D. Spence,Tottenham Hotspur,-0.029029721803427288,5.096715103020468e-06,-0.02902462508832427,48.09,3
M. Minami,Brighton & Hove Albion,-0.0337913189612305,9.933681723786851e-05,-0.03369198214399264,48.02,2
L. Wilms,Aston Villa,-0.034925306605668754,-1.8751115220654699e-06,-0.03492718171719078,48.01,2
J. Naz,Tottenham Hotspur,-0.035954962718903485,1.4615030418670109e-06,-0.035953501215861626,47.99,3
M. Symonds,Brighton & Hove Albion,-0.04082944317249566,-3.4056919924941494e-05,-0.0408635000924206,47.93,2
