Player,Team,Passes,Total_xT,xT
K. Snoeijs,Everton,71,0.4059297,0.406
K. Szemik,West Ham United,112,0.19579844,0.196
K. Walsh,Chelsea,216,0.6647699,0.665
K. Zelem,London City Lionesses,55,0.07215094999999999,0.072
Kerolin,Manchester City,37,-0.04884887,-0.049
L. Blindkilde Brown,Manchester City,155,0.07562122999999997,0.076
L. Coombs,Manchester City,12,0.013421,0.013
L. Gunning-Williams,Tottenham Hotspur,8,-0.07204005999999999,-0.072
L. Hemp,Manchester City,78,-0.04113419999999998,-0.041
L. Kendall,Aston Villa,36,0.052034149999999994,0.052
L. Kiernan,Liverpool,2,0.0089289,0.009
L. Kop,Tottenham Hotspur,196,0.24268221,0.243
L. Lindström,London City Lionesses,43,0.48414134999999997,0.484
L. Murphy,Manchester City,26,-0.0038973600000000025,-0.004
L. Naalsund,Manchester United,43,-0.11567728999999999,-0.116
L. Parker,Aston Villa,5,0.03303969,0.033
L. Wandeler,West Ham United,2,0.00722712,0.007
L. Wilms,Aston Villa,146,0.78380801,0.784
L. Woodham,Liverpool,95,0.00855131,0.009
L. Wubben-Moy,Arsenal,13,8.077000000000778e-05,0.0
Leila Ouahabi,Manchester City,187,0.01672559,0.017
Lucía Corrales,London City Lionesses,79,0.037066270000000005,0.037
M. Agyemang,Brighton & Hove Albion,87,0.35567263,0.356
M. Auée,Brighton & Hove Albion,45,0.32721209,0.327
M. Bright,Chelsea,266,0.46520194,0.465
M. Enderby,Liverpool,51,0.13880346999999998,0.139
M. Haley,Brighton & Hove Albion,47,0.09158791,0.092
M. Hamano,Chelsea,72,0.2217225,0.222
M. Höbinger,Liverpool,115,0.34377678,0.344
M. Kearns,Aston Villa,88,0.15327074999999998,0.153
M. Le Tissier,Manchester United,322,0.39286814999999997,0.393
M. Malard,Manchester United,124,0.1957899,0.196
M. Minami,Brighton & Hove Albion,191,0.28351500999999996,0.284
M. Olislagers,Brighton & Hove Albion,225,0.9418931899999999,0.942
M. Pacheco,Everton,163,0.08887649999999998,0.089
M. Paví,West Ham United,16,0.010316439999999996,0.01
M. Symonds,Brighton & Hove Albion,138,0.24943977,0.249
M. Taylor,Aston Villa,26,0.06251070000000002,0.063
M. Thomas,Tottenham Hotspur,19,0.07345017,0.073
M. Turner,Manchester United,47,0.04031993,0.04
M. Vinberg,Tottenham Hotspur,15,0.0137531,0.014
M. Walsh,West Ham United,60,0.08774385000000001,0.088
Maite Oroz,Tottenham Hotspur,12,-0.00279542,-0.003
Mariona Caldentey,Arsenal,322,0.96491012,0.965
Martina Fernández,Everton,269,0.28907654,0.289
María Pérez,London City Lionesses,81,0.34498818,0.345
N. Björn,Chelsea,265,0.9908487199999999,0.991
N. Charles,Chelsea,79,0.017785070000000004,0.018
N. Las,Leicester City,5,0.004696459999999989,0.005
N. Layzell,Manchester City,14,0.018323739999999998,0.018
N. Maritz,Aston Villa,95,0.017963579999999993,0.018
N. Mouchon,Leicester City,4,0.07362237999999999,0.074
N. Noordam,Brighton & Hove Albion,56,0.0026974299999999833,0.003
N. Parris,London City Lionesses,79,0.09581608,0.096
O. Ahtinen,Tottenham Hotspur,86,0.00521959000000001,0.005
O. Deslandes,Aston Villa,106,0.10718652,0.107
O. Holdt,Tottenham Hotspur,38,0.12961519999999999,0.13
O. Jean-François,Chelsea,44,0.09899393999999999,0.099
O. McLoughlin,Leicester City,114,0.06302303,0.063
O. Siren,West Ham United,124,0.030463479999999987,0.03
O. Smith,Arsenal,63,-0.26073052999999996,-0.261
Ornella Vignola,Everton,69,0.04835255000000002,0.048
P. Tullis-Joyce,Manchester United,132,0.25564294000000004,0.256
Paula Tomás,Aston Villa,12,-0.018914089999999998,-0.019
R. Ayane,Leicester City,2,0.20031527,0.2
R. Borggräfe,Liverpool,52,0.09559304,0.096
R. Daly,Aston Villa,57,0.12802138999999998,0.128
R. Imuran,London City Lionesses,105,-0.007812240000000003,-0.008
R. Ishikawa,Everton,210,0.31553358,0.316
R. Kafaji,Brighton & Hove Albion,44,0.09800381,0.098
R. Mace,Everton,177,0.29103055,0.291
R. Maltby,Aston Villa,34,-0.004959369999999999,-0.005
R. McLauchlan,Brighton & Hove Albion,113,0.9241232899999999,0.924
R. Shimizu,Liverpool,79,0.005325110000000001,0.005
R. Ueki,West Ham United,103,0.11498395,0.115
R. Williams,Manchester United,8,0.009695970000000002,0.01
R. van Gool,Everton,98,0.46774651,0.468
