Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Achcińska,1. FC Köln,6,0.262033723294735,0.0697563961148262,0.19227732717990878
A. Aehling,1. FC Union Berlin,1,0.0468275733292103,0.0,0.0468275733292103
A. Arfaoui,SV Werder Bremen,3,0.1571266558021307,0.1571266558021307,0.0
A. Bienz,SC Freiburg,3,0.21760727092623708,0.2176072709262371,0.0
A. Böhler,Hamburger SV,2,0.16481632739305552,0.0,0.16481632739305552
A. Caruso,FC Bayern München,3,0.17543059214949608,0.1754305921494961,0.0
A. Csillag,SC Freiburg,4,0.25944381952285767,0.2594438195228577,0.0
A. Gambone,1. FC Nürnberg,1,0.0420951656997204,0.0,0.0420951656997204
A. Gerhardt,1. FC Köln,2,0.1608979403972625,0.1608979403972625,0.0
A. Halverkamps,1. FC Union Berlin,4,0.7838346287608144,0.6933943629264829,0.0904402658343315
A. Ilestedt,Eintracht Frankfurt,2,0.38525104522705234,0.0,0.38525104522705234
A. Margraf,FC Carl Zeiss Jena,2,0.0738794803619385,0.032475009560585,0.0414044708013535
A. Moraitou,1. FC Union Berlin,3,0.1570956222712994,0.0472256988286972,0.1098699234426022
A. Polášková,1. FC Nürnberg,3,0.1763867810368538,0.1141298338770866,0.0622569471597672
A. Popp,VfL Wolfsburg,20,2.0545789077878007,1.3255238682031631,0.7290550395846378
A. Schasching,RasenBallsport Leipzig,3,0.1264953799545766,0.0451029092073441,0.08139247074723249
A. Stolze,1. FC Köln,1,0.111525259912014,0.111525259912014,0.0
A. Weiß,1. FC Union Berlin,4,0.24124516546726218,0.18672972172498697,0.0545154437422752
A. Şehitler,FC Bayern München,6,0.3700114041566844,0.320060301572084,0.0499511025846004
C. D'Angelo,SV Werder Bremen,3,0.1778583936393261,0.1778583936393261,0.0
C. Dijkstra,VfL Wolfsburg,1,0.0950215384364128,0.0950215384364128,0.0
C. Fröhlich,1. FC Nürnberg,1,0.0294429622590542,0.0294429622590542,0.0
C. Hahn,TSG 1899 Hoffenheim,3,0.1922226436436181,0.0918869189918041,0.100335724651814
C. Imping,1. FC Köln,3,0.1513626333326101,0.1513626333326101,0.0
C. Kehrer,TSV Bayer 04 Leverkusen,1,0.0610450506210327,0.0,0.0610450506210327
C. Kramer,TSV Bayer 04 Leverkusen,1,0.0530250445008278,0.0530250445008278,0.0
C. Küver,VfL Wolfsburg,4,0.2763385884463792,0.1155010275542736,0.1608375608921056
C. Meyer,Hamburger SV,4,0.2136548273265361,0.21365482732653607,0.0
C. Simon,FC Bayern München,2,0.1379874609410763,0.087625615298748,0.0503618456423283
C. Wamser,TSV Bayer 04 Leverkusen,2,0.072974605485797,0.072974605485797,0.0
C. Wenger,TSV Bayer 04 Leverkusen,1,0.0812482759356499,0.0,0.0812482759356499
C. Zicai,VfL Wolfsburg,13,1.1128573790192604,0.8956486918032168,0.21720868721604342
D. Açıkgöz,Eintracht Frankfurt,1,0.0327162928879261,0.0,0.0327162928879261
D. Boboy,RasenBallsport Leipzig,3,0.2298661507666111,0.2298661507666111,0.0
D. Grabowska,TSG 1899 Hoffenheim,9,0.5363717786967757,0.4735578633844855,0.06281391531229019
D. Orschmann,1. FC Union Berlin,10,0.6502789407968528,0.3941440470516685,0.2561348937451843
E. Campbell,1. FC Union Berlin,11,1.016373082995415,0.8507190905511381,0.1656539924442768
E. Herzog,RasenBallsport Leipzig,1,0.0804452002048492,0.0,0.0804452002048492
E. Hirche,Hamburger SV,1,0.0785945355892181,0.0,0.0785945355892181
E. Memeti,Eintracht Frankfurt,6,0.39535530284047127,0.2623575329780579,0.1329977698624134
E. Merino Gonzalez,TSV Bayer 04 Leverkusen,3,0.11337717063724989,0.062714422121644,0.0506627485156059
E. Peddemors,VfL Wolfsburg,3,0.16639384627342252,0.1663938462734225,0.0
E. Pápai,SV Werder Bremen,3,0.2740571051836015,0.2740571051836015,0.0
E. Reske,FC Carl Zeiss Jena,1,0.0662496984004974,0.0662496984004974,0.0
E. Senß,Eintracht Frankfurt,6,0.3831127882003784,0.2936405465006828,0.0894722416996956
E. Ásgeirsdóttir,RasenBallsport Leipzig,2,0.1414139717817302,0.1414139717817302,0.0
F. Delacauw,TSG 1899 Hoffenheim,6,0.6533764135092491,0.5513198506087061,0.102056562900543
F. Harsch,TSG 1899 Hoffenheim,1,0.310928851366043,0.0,0.310928851366043
F. Kett,FC Bayern München,5,0.3289643004536629,0.2390066385269165,0.0899576619267464
F. Mai,1. FC Nürnberg,1,0.0857033357024193,0.0857033357024193,0.0
F. Sträßer,FC Carl Zeiss Jena,1,0.029965890571475,0.029965890571475,0.0
G. Chmielinski,RasenBallsport Leipzig,4,0.1967156492173672,0.11013319343328479,0.0865824557840824
G. Hoffmann,RasenBallsport Leipzig,13,1.1223872974514961,0.6832672953605655,0.4391200020909306
G. Reuteler,Eintracht Frankfurt,11,1.9864172935485838,1.9864172935485835,0.0
G. Stanway,FC Bayern München,9,0.5180940236896279,0.3567028250545265,0.1613911986351014
G. Stegemann,SC Freiburg,2,0.0842648874968291,0.0298476349562407,0.0544172525405884
G. Viggósdóttir,FC Bayern München,3,0.2300628758966919,0.0,0.23006287589669192
H. Raso,Eintracht Frankfurt,2,0.1885873973369599,0.1885873973369599,0.0
I. Jaron,FC Carl Zeiss Jena,7,0.5682271085679526,0.45057334378361646,0.1176537647843361
J. Baumgärtel,1. FC Nürnberg,5,0.2499116212129592,0.2058882750570773,0.0440233461558819
J. Damnjanović,FC Bayern München,5,1.0302064605057235,0.9477888382971283,0.0824176222085953
J. Debitzki,SGS Essen 1968,2,0.1192121542990207,0.0460603646934032,0.0731517896056175
J. Feldkamp,SGS Essen 1968,1,0.0298295952379704,0.0298295952379704,0.0
J. Hipp,1. FC Union Berlin,1,0.0409873239696026,0.0409873239696026,0.0
J. Janssens,TSG 1899 Hoffenheim,2,0.1975383460521697,0.1975383460521697,0.0
J. Kielland,VfL Wolfsburg,3,0.20806695148348808,0.0857033357024193,0.1223636157810688
J. Lahr,Hamburger SV,1,0.0326368771493435,0.0326368771493435,0.0
J. Landenberger,RasenBallsport Leipzig,4,0.5901298709213737,0.0601186268031597,0.530011244118214
J. Levels,VfL Wolfsburg,3,0.2597137354314329,0.2597137354314329,0.0
J. Meißner,SGS Essen 1968,2,0.08775490149855611,0.0373674444854259,0.0503874570131302
J. Mickenhagen,TSV Bayer 04 Leverkusen,1,0.0338072888553143,0.0338072888553143,0.0
J. Minge,VfL Wolfsburg,9,1.2966333878785372,0.3451951984316111,0.9514381894469262
J. Pollak,1. FC Nürnberg,2,0.11328790336847311,0.0588859245181084,0.0544019788503647
J. Rankin,TSG 1899 Hoffenheim,2,0.1091687381267548,0.055568128824234,0.0536006093025208
J. Schiffarth,1. FC Köln,1,0.0503618456423283,0.0503618456423283,0.0
J. Veit,Eintracht Frankfurt,1,0.111525259912014,0.0,0.111525259912014
J. Wedemeyer,VfL Wolfsburg,6,0.39016341976821467,0.3604642599821095,0.0296991597861052
J. Wirtz,SV Werder Bremen,1,0.0474686399102211,0.0474686399102211,0.0
K. Bussy,VfL Wolfsburg,1,0.094804011285305,0.0,0.094804011285305
K. Bühl,FC Bayern München,8,1.2455210126936436,1.2017310075461864,0.0437900051474571
K. Kögel,TSV Bayer 04 Leverkusen,5,0.5247589647769927,0.4702572263777255,0.0545017383992672
K. Orschmann,1. FC Union Berlin,2,0.061137869954109206,0.0294429622590542,0.031694907695055
K. Piljić,TSV Bayer 04 Leverkusen,3,0.1221351064741612,0.08874998241662979,0.0333851240575314
K. Potsi,SGS Essen 1968,2,0.10356368497014051,0.10356368497014051,0.0
K. Ronan,SV Werder Bremen,1,0.0537177063524723,0.0,0.0537177063524723
L. Andrade,1. FC Köln,2,0.4294414035975934,0.4294414035975934,0.0
L. Baum,RasenBallsport Leipzig,5,0.2507899180054665,0.2181318961083889,0.0326580218970776
L. Beerensteyn,VfL Wolfsburg,7,1.7396393120288853,1.7396393120288853,0.0
L. Bender,TSV Bayer 04 Leverkusen,1,0.107767142355442,0.0,0.107767142355442
L. Birkholz,SC Freiburg,4,0.28473080322146427,0.28473080322146427,0.0
L. Bäcker,SGS Essen 1968,2,0.0706731397658587,0.0706731397658587,0.0
L. Dallmann,FC Bayern München,1,0.110052362084389,0.110052362084389,0.0
L. Donhauser,1. FC Köln,6,0.5668122917413709,0.3736080229282378,0.1932042688131331
L. Doorn,TSG 1899 Hoffenheim,2,0.1406060643494129,0.0,0.1406060643494129
L. Eggert,Hamburger SV,2,0.0748867392539978,0.0748867392539978,0.0
L. Egli,SC Freiburg,1,0.471204459667206,0.471204459667206,0.0
L. Elmazi,SGS Essen 1968,3,0.2133981548249721,0.2133981548249721,0.0
L. Feiersinger,1. FC Köln,5,0.3152398206293586,0.3152398206293586,0.0
L. Freigang,Eintracht Frankfurt,3,0.5274461545050145,0.5274461545050145,0.0
L. Gora,FC Carl Zeiss Jena,2,0.0964500457048416,0.034624133259058,0.0618259124457836
L. Gräwe,Eintracht Frankfurt,3,0.1231564655900001,0.1231564655900001,0.0
L. Guttenberger,1. FC Nürnberg,2,0.10813738405704501,0.0697563961148262,0.0383809879422188
L. Hausicke,SV Werder Bremen,6,0.3890633657574656,0.0931580141186715,0.2959053516387941
L. Heiseler,1. FC Union Berlin,7,1.6071743527054787,0.8171743527054788,0.79
L. Joly,RasenBallsport Leipzig,2,0.0911573320627213,0.0,0.0911573320627213
L. Karl,SC Freiburg,3,0.18993477523326868,0.18993477523326868,0.0
L. Kaut,TSG 1899 Hoffenheim,1,0.0642619132995605,0.0,0.0642619132995605
L. Kolb,SC Freiburg,3,0.1714211404323577,0.1227178424596786,0.0487032979726791
L. Köpp,SGS Essen 1968,3,0.1789063625037674,0.1789063625037674,0.0
L. Mühlhaus,SV Werder Bremen,8,2.986851186379791,0.5833981018513448,2.4034530845284463
L. Natter,TSG 1899 Hoffenheim,5,0.5672953277826314,0.1676605492830276,0.3996347784996037
L. Oberdorf,FC Bayern München,6,0.4598083384335049,0.14443942531943318,0.3153689131140717
L. Ostermeier,1. FC Union Berlin,1,0.0,0.0,0.0
L. Ostermeier,SGS Essen 1968,1,0.0439840964972973,0.0439840964972973,0.0
L. Schüller,FC Bayern München,9,0.7467689588665966,0.6020754314959054,0.1446935273706913
L. Turányi,TSV Bayer 04 Leverkusen,1,0.100826166570187,0.100826166570187,0.0
L. Vogt,1. FC Köln,3,0.2529240176081662,0.0,0.2529240176081662
L. Wrede,Hamburger SV,3,0.26051120832562447,0.26051120832562447,0.0
M. Berentzen,SGS Essen 1968,1,0.0451029092073441,0.0451029092073441,0.0
M. Brunnthaler,Hamburger SV,3,0.1636321991682052,0.16363219916820518,0.0
M. Büchele,Hamburger SV,2,0.4143073707818981,0.369204461574554,0.0451029092073441
M. Dešić,SV Werder Bremen,10,2.1324361972510824,0.9322219900786877,1.2002142071723945
M. Felde,SC Freiburg,2,0.1396279521286488,0.0501557104289532,0.0894722416996956
M. Hegering,1. FC Köln,8,0.48883474804461013,0.0919188763946295,0.3969158716499806
M. Julević,FC Carl Zeiss Jena,3,0.1982832923531532,0.0,0.1982832923531532
M. Kadowaki,RasenBallsport Leipzig,1,0.0788321644067764,0.0788321644067764,0.0
M. Kössler,TSG 1899 Hoffenheim,19,2.155154744163155,1.3918957915157075,0.7632589526474478
M. Mikolajová,Hamburger SV,8,0.3638511989265679,0.29775512032210827,0.06609607860445971
M. Müller,RasenBallsport Leipzig,3,0.4852708950638771,0.4852708950638771,0.0
M. Schimmer,RasenBallsport Leipzig,8,0.4549777321517467,0.41977182030677795,0.0352059118449688
M. Schneider,SC Freiburg,2,0.1866097673773761,0.103973843157291,0.0826359242200851
M. Steiner,TSG 1899 Hoffenheim,1,0.103973843157291,0.103973843157291,0.0
M. Sternad,SV Werder Bremen,1,0.102056562900543,0.102056562900543,0.0
M. Tanikawa,FC Bayern München,7,0.8543672226369377,0.7189163677394386,0.135450854897499
M. Ulbrich,SV Werder Bremen,2,0.1705906614661217,0.0,0.1705906614661217
M. Weiß,SV Werder Bremen,1,0.0598127655684948,0.0598127655684948,0.0
M. Wiankowska,1. FC Köln,3,0.1665714085102081,0.0808680728077888,0.0857033357024193
N. Anyomi,Eintracht Frankfurt,2,0.3945182710886006,0.294934064149857,0.0995842069387436
N. Bauereisen,1. FC Union Berlin,1,0.0633983090519905,0.0,0.0633983090519905
N. Dudek,RasenBallsport Leipzig,1,0.0591638796031476,0.0,0.0591638796031476
N. Gentile,FC Carl Zeiss Jena,3,0.2120337747037406,0.2120337747037406,0.0
N. Ivelj,Eintracht Frankfurt,1,0.0295819398015738,0.0,0.0295819398015738
N. Juckel,FC Carl Zeiss Jena,4,0.2708155363798139,0.27081553637981387,0.0
N. Kowalski,SGS Essen 1968,5,0.2651198767125605,0.133543662726879,0.1315762139856815
N. Lein,1. FC Nürnberg,6,1.1336009129881857,0.9995318725705147,0.134069040417671
N. Lührßen,Eintracht Frankfurt,3,0.109566517174244,0.0294429622590542,0.0801235549151898
N. Ojukwu,SC Freiburg,2,0.1281975507736206,0.1281975507736206,0.0
N. Reissner,1. FC Union Berlin,4,1.2343078032135957,0.6049502268433566,0.629357576370239
N. Riesen,Eintracht Frankfurt,2,0.12889976054430008,0.12889976054430008,0.0
N. Räcke,Hamburger SV,1,0.0527604967355728,0.0,0.0527604967355728
N. Szenk,SC Freiburg,1,0.0437900051474571,0.0,0.0437900051474571
O. Woś,1. FC Nürnberg,2,0.09345705062150961,0.0,0.09345705062150961
P. Bartz,TSV Bayer 04 Leverkusen,1,0.036938801407814,0.036938801407814,0.0
P. Harder,FC Bayern München,11,1.2511702254414572,0.8888281397521507,0.3623420856893065
P. Machtens,Hamburger SV,4,0.2407679073512554,0.2407679073512554,0.0
P. Platner,SGS Essen 1968,2,0.1517518535256389,0.101616479456425,0.0501353740692139
P. Wolter,Eintracht Frankfurt,1,0.0294429622590542,0.0294429622590542,0.0
R. Blomqvist,Eintracht Frankfurt,7,1.5267371907830247,1.4247859567403798,0.101951234042645
R. Chiba,Eintracht Frankfurt,9,1.7233244413137434,0.8075596280395982,0.9157648132741452
R. Dieckmann,SV Werder Bremen,1,0.580067753791809,0.580067753791809,0.0
R. Grant,TSV Bayer 04 Leverkusen,4,0.3120397031307217,0.2706166990101334,0.0414230041205883
R. Maier,SGS Essen 1968,5,0.3685579076409339,0.3685579076409339,0.0
R. Tietz,FC Carl Zeiss Jena,3,0.5001158192753792,0.5001158192753792,0.0
R. Walkling,SV Werder Bremen,1,0.0973952114582062,0.0973952114582062,0.0
S. Ballisager,FC Bayern München,1,0.102166146039963,0.0,0.102166146039963
S. Beck,SV Werder Bremen,1,0.0540122613310814,0.0540122613310814,0.0
S. Cerci,TSG 1899 Hoffenheim,20,3.7191097587347026,3.4559966661036006,0.2631130926311016
S. Fölmli,SC Freiburg,5,0.47871487587690337,0.4055630862712859,0.0731517896056175
S. Hillebrand,Hamburger SV,2,0.7749519795179368,0.7749519795179368,0.0
S. Homann,1. FC Nürnberg,3,0.1971431560814381,0.1971431560814381,0.0
S. Huth,VfL Wolfsburg,5,0.32138479873538023,0.32138479873538023,0.0
S. Jessen,1. FC Köln,9,1.4238261021673686,1.2174986563622956,0.206327445805073
S. Ličina,1. FC Nürnberg,1,0.428109586238861,0.428109586238861,0.0
S. Matysik,1. FC Köln,3,0.1813794448971749,0.0,0.1813794448971749
S. Nachtigall,SC Freiburg,1,0.0698482021689415,0.0698482021689415,0.0
S. Starke,RasenBallsport Leipzig,3,0.1538141891360283,0.0365592129528522,0.1172549761831761
S. Steuerwald,1. FC Union Berlin,1,0.0295775532722473,0.0295775532722473,0.0
S. Stoldt,Hamburger SV,4,0.5224277302622798,0.4580972157418732,0.0643305145204067
S. Vallotto,VfL Wolfsburg,2,0.7062782347202301,0.34701070189476,0.35926753282547
S. Van Belle,SGS Essen 1968,5,0.924106001853943,0.7680769488215446,0.15602905303239828
S. Vobian,SC Freiburg,2,0.1482181735336778,0.1482181735336778,0.0
S. Weidauer,1. FC Union Berlin,16,1.7196902148425577,1.2377903200685978,0.48189989477395995
S. Zadrazil,FC Bayern München,2,0.08395840600132941,0.0294429622590542,0.0545154437422752
S. Zdebel,TSV Bayer 04 Leverkusen,4,0.1970998607575894,0.1970998607575894,0.0
T. Blumenberg,SC Freiburg,3,0.24069215357303603,0.1594438776373861,0.0812482759356499
T. Hansen,FC Bayern München,1,0.0923642367124557,0.0923642367124557,0.0
T. Ihlenburg,FC Carl Zeiss Jena,1,0.100335724651814,0.0,0.100335724651814
T. Pawollek,1. FC Union Berlin,12,1.0232946444302795,0.7856099661439655,0.237684678286314
T. Schneider,1. FC Union Berlin,7,0.6599215753376486,0.15179326757788658,0.508128307759762
V. Ampoorter,TSG 1899 Hoffenheim,3,0.1699132956564426,0.16991329565644261,0.0
