Player,Team,Assists,ShotAssists,xAG
J. Teulings,Eintracht Frankfurt,0,3,0.28
J. Wedemeyer,VfL Wolfsburg,0,2,0.14
J. Wirtz,SV Werder Bremen,0,1,0.06
K. Bussy,VfL Wolfsburg,1,0,0.1
K. Bühl,FC Bayern München,4,21,2.94
K. Kögel,TSV Bayer 04 Leverkusen,1,5,0.34
K. Naschenweng,FC Bayern München,0,2,0.08
K. Piljić,TSV Bayer 04 Leverkusen,1,4,0.28
K. Potsi,SGS Essen 1968,0,1,0.06
L. Baum,RasenBallsport Leipzig,0,8,1.25
L. Birkholz,SC Freiburg,0,1,0.07
L. Donhauser,1. FC Köln,0,4,0.37
L. Eggert,Hamburger SV,0,3,0.54
L. Elmazi,SGS Essen 1968,0,4,0.25
L. Feiersinger,1. FC Köln,1,4,0.65
L. Freigang,Eintracht Frankfurt,1,3,0.91
L. Gloning,TSG 1899 Hoffenheim,0,5,0.37
L. Gora,FC Carl Zeiss Jena,0,2,0.12
L. Gräwe,Eintracht Frankfurt,0,1,0.04
L. Hausicke,SV Werder Bremen,0,2,0.13
L. Heiseler,1. FC Union Berlin,1,8,1.56
L. Joly,RasenBallsport Leipzig,0,1,0.05
L. Karl,SC Freiburg,0,2,0.18
L. Kaut,TSG 1899 Hoffenheim,0,2,0.14
L. Kolb,SC Freiburg,1,1,0.15
L. Köpp,SGS Essen 1968,0,1,0.08
L. Miller,1. FC Nürnberg,0,2,0.12
L. Mühlhaus,SV Werder Bremen,2,9,1.62
L. Natter,TSG 1899 Hoffenheim,0,2,0.1
L. Oberdorf,FC Bayern München,0,5,0.36
L. Ostermeier,SGS Essen 1968,0,1,0.05
L. Schmitz,1. FC Köln,1,0,0.09
L. Vogt,1. FC Köln,0,4,0.27
M. Berentzen,SGS Essen 1968,0,4,0.32
M. Brunnthaler,Hamburger SV,1,5,0.73
M. Büchele,Hamburger SV,0,2,0.12
M. Dešić,SV Werder Bremen,0,3,0.42
M. Felde,SC Freiburg,0,1,0.05
M. Kadowaki,RasenBallsport Leipzig,0,4,0.36
M. Kössler,TSG 1899 Hoffenheim,4,6,2.24
M. Mikolajová,Hamburger SV,0,1,0.07
M. Müller,RasenBallsport Leipzig,0,2,0.11
M. Schimmer,RasenBallsport Leipzig,1,5,0.52
M. Steiner,TSG 1899 Hoffenheim,0,2,0.12
M. Sternad,SV Werder Bremen,1,1,0.42
M. Tanikawa,FC Bayern München,0,7,0.51
M. Ulbrich,SV Werder Bremen,0,1,0.06
M. Weiß,SV Werder Bremen,0,4,0.27
M. Wiankowska,1. FC Köln,0,3,0.53
N. Anyomi,Eintracht Frankfurt,0,2,0.48
N. Bauereisen,1. FC Union Berlin,1,0,0.1
N. Dudek,RasenBallsport Leipzig,0,1,0.1
N. Gentile,FC Carl Zeiss Jena,0,2,0.12
N. Kowalski,SGS Essen 1968,0,2,0.65
N. Lein,1. FC Nürnberg,2,3,0.61
N. Lührßen,Eintracht Frankfurt,1,4,0.35
N. Ojukwu,SC Freiburg,1,0,0.09
N. Reissner,1. FC Union Berlin,0,5,0.69
N. Räcke,Hamburger SV,0,1,0.03
N. Szenk,SC Freiburg,0,3,0.2
P. Flach,SGS Essen 1968,0,2,0.11
P. Harder,FC Bayern München,0,3,0.23
P. Machtens,Hamburger SV,0,3,0.1
P. Oteng,RasenBallsport Leipzig,1,0,0.09
P. Wolter,Eintracht Frankfurt,0,1,0.15
R. Blomqvist,Eintracht Frankfurt,1,4,0.43
R. Chiba,Eintracht Frankfurt,0,2,0.44
R. Grant,TSV Bayer 04 Leverkusen,0,1,0.1
R. Tietz,FC Carl Zeiss Jena,0,3,0.28
S. Agrež,1. FC Köln,0,3,0.22
S. Beck,SV Werder Bremen,0,3,0.74
S. Cerci,TSG 1899 Hoffenheim,1,10,0.79
S. Fölmli,SC Freiburg,0,1,0.05
S. Hillebrand,Hamburger SV,0,2,0.12
S. Homann,1. FC Nürnberg,0,1,0.03
S. Huth,VfL Wolfsburg,1,16,1.78
S. Jessen,1. FC Köln,0,3,0.2
S. Ličina,1. FC Nürnberg,0,1,0.39
S. Nachtigall,SC Freiburg,1,3,0.22
S. Profé,Hamburger SV,0,1,0.06
S. Schmid,FC Carl Zeiss Jena,0,1,0.1
S. Steuerwald,1. FC Union Berlin,0,1,0.05
S. Stoldt,Hamburger SV,1,2,0.19
S. Vallotto,VfL Wolfsburg,0,1,0.1
S. Van Belle,SGS Essen 1968,0,1,0.05
S. Vobian,SC Freiburg,2,1,0.22
S. Weidauer,1. FC Union Berlin,0,6,0.44
S. Zadrazil,FC Bayern München,0,2,0.13
S. Zdebel,TSV Bayer 04 Leverkusen,0,2,0.13
T. Blumenberg,SC Freiburg,0,2,0.09
T. Hansen,FC Bayern München,0,1,0.03
T. Pawollek,1. FC Union Berlin,0,2,0.08
T. Schneider,1. FC Union Berlin,0,5,0.63
V. Ampoorter,TSG 1899 Hoffenheim,0,4,0.21
V. Diehm,TSG 1899 Hoffenheim,0,1,0.15
V. Endemann,VfL Wolfsburg,0,1,0.11
V. Fudalla,TSV Bayer 04 Leverkusen,1,7,0.97
V. Fürst,SGS Essen 1968,0,1,0.03
V. Gilles,FC Bayern München,0,1,0.04
V. Mädl,TSV Bayer 04 Leverkusen,1,3,0.29
V. Schulz,Hamburger SV,0,1,0.06
V. Wieder,SV Werder Bremen,0,1,0.1
W. Zawistowska,1. FC Köln,0,1,0.07
