Player,Team,Passes,Total_xT,xT
A. Béché,Strasbourg,177,0.43028532999999997,0.43
A. Chaney,Strasbourg,189,0.10909671000000001,0.109
A. Claire,Fleury 91,2,-0.008723950000000005,-0.009
A. Cometti,Fleury 91,136,0.65768884,0.658
A. Connesson,Saint-Étienne,31,0.0,0.0
A. Ebayilin,PSG,17,0.010258170000000002,0.01
A. Felden,Montpellier,81,0.13579545999999998,0.136
A. Fontaine,Dijon,23,0.13046125000000003,0.13
A. Gajić,Saint-Étienne,57,0.04295552,0.043
A. Gbedjissi,Lens,64,0.21687614999999996,0.217
A. Hegerberg,OL Lyonnes,52,0.14795593999999998,0.148
A. Lawrence,OL Lyonnes,100,0.59168963,0.592
A. Le Moguédec,Paris FC,67,0.70899172,0.709
A. Mereau,Lens,10,0.0,0.0
A. Peltier,Saint-Étienne,3,0.0,0.0
A. Pierre-Louis,Saint-Étienne,66,0.69724028,0.697
A. Pinguet,Saint-Étienne,144,0.58913643,0.589
A. Traoré,Fleury 91,64,0.01968252999999999,0.02
A. Yeboah,Strasbourg,11,-0.05154322,-0.052
B. Joly,Lens,91,0.13696408000000002,0.137
Bruna Lourenço,Strasbourg,184,0.28166167,0.282
C. Bertrand,Lens,87,0.034874310000000006,0.035
C. Blanc,Montpellier,115,0.36113794,0.361
C. Boisard,Le Havre,94,0.31007743,0.31
C. Caputo,Fleury 91,41,0.38718646,0.387
C. Chabod,Montpellier,6,0.22403139,0.224
C. Cosme,Nantes,122,0.08729694,0.087
C. Ducreux,Dijon,25,0.025226360000000003,0.025
C. Dunn,PSG,18,0.09127877000000001,0.091
C. Effa Effa,Le Havre,50,0.35567149000000003,0.356
C. Endler,OL Lyonnes,96,0.15005081,0.15
C. Fernandes,Fleury 91,73,0.008516760000000002,0.009
C. Gavory,Le Havre,51,0.17056364,0.171
C. Mairot,Strasbourg,10,0.027619309999999994,0.028
C. Mateo,Paris FC,122,0.22871207999999998,0.229
C. Meffometou,Fleury 91,133,0.11461284,0.115
C. N'Gazi,Olympique Marseille,41,0.14675588,0.147
C. Ndzana,Dijon,102,0.005899560000000003,0.006
C. Ould Hocine,Paris FC,155,0.78069331,0.781
C. Picaud,Fleury 91,104,0.22216207000000002,0.222
C. Polito,Lens,35,0.23253433999999998,0.233
C. Robillard,Nantes,15,0.09552816,0.096
C. Tapia,Saint-Étienne,94,0.009691340000000003,0.01
C. Verdier,Dijon,40,0.054217690000000006,0.054
D. Bien-Aimé,Saint-Étienne,61,0.06827203,0.068
D. Corboz,Paris FC,130,0.2958418,0.296
D. Davis,Paris FC,157,0.18919456999999998,0.189
D. Egurrola,OL Lyonnes,52,0.03524115000000001,0.035
D. Pierre-Louis,Lens,77,0.7436857699999999,0.744
D. Scannapieco,Olympique Marseille,1,0.0,0.0
E. Aigbogun,Strasbourg,199,0.18816618,0.188
E. Burns,Nantes,108,0.18819817000000003,0.188
E. Gaetino,PSG,150,0.22487494000000002,0.225
E. Junttila-Nelhage,OL Lyonnes,89,0.07173655,0.072
E. Kamczyk,Fleury 91,67,0.15866326999999997,0.159
E. Laurent,Fleury 91,64,0.90918328,0.909
E. Lefèvre,Le Havre,1,0.0008845199999999998,0.001
E. Palis,Montpellier,173,0.27417784,0.274
