Player,Team,Assists,ShotAssists,xAG
A. Béché,RC Strasbourg Alsace,0,1,0.06
A. Connesson,AS Saint-Étienne,0,2,0.15
A. Gbedjissi,Racing Club de Lens,0,4,0.17
A. Hegerberg,OL Lyonnes,1,1,0.55
A. Le Moguédec,Paris FC,0,2,0.1
A. Pierre-Louis,AS Saint-Étienne,0,2,0.16
A. Traoré,Football Club Fleury 91,1,7,0.59
A. Yeboah,RC Strasbourg Alsace,0,1,0.41
C. Bertrand,Racing Club de Lens,0,1,0.03
C. Blanc,Montpellier HSC,0,1,0.44
C. Boisard,Le Havre AC,1,1,0.46
C. Caputo,Football Club Fleury 91,1,2,0.31
C. Dunn,Paris Saint Germain FC,0,1,0.07
C. Effa Effa,Le Havre AC,2,7,1.05
C. Fernandes,Football Club Fleury 91,0,2,0.1
C. Mateo,Paris FC,1,5,0.65
C. Ndzana,Dijon FCO,0,1,0.04
C. Ould Hocine,Paris FC,0,1,0.12
C. Robillard,FC Nantes,0,2,0.1
C. Tapia,AS Saint-Étienne,0,2,0.08
D. Bien-Aimé,AS Saint-Étienne,0,1,0.08
D. Corboz,Paris FC,0,1,0.03
D. Pierre-Louis,Racing Club de Lens,0,2,0.07
D. Scannapieco,Olympique de Marseille,0,1,0.1
E. Kamczyk,Football Club Fleury 91,0,9,0.55
E. Laurent,Football Club Fleury 91,0,5,0.46
E. Palis,Montpellier HSC,0,1,0.1
E. Paljevic,FC Nantes,0,1,0.1
E. Siren,Dijon FCO,1,2,0.19
F. Bataillard,AS Saint-Étienne,0,2,0.07
F. Jourde,Paris Saint Germain FC,0,1,0.08
F. Liaigre,Paris FC,0,1,0.07
F. Proniez,Racing Club de Lens,1,2,0.67
Fátima Pinto,RC Strasbourg Alsace,1,4,1.17
G. Grzybowska,Dijon FCO,0,2,0.1
I. Adjabi,Le Havre AC,0,1,0.04
I. Engen,OL Lyonnes,0,1,0.03
I. Kbida,Olympique de Marseille,0,1,0.1
I. Konan,RC Strasbourg Alsace,0,2,0.46
I. Saoud,FC Nantes,2,0,0.6
Isabela,Paris Saint Germain FC,0,1,0.1
Izarne Sarasola,FC Nantes,0,1,0.03
J. Brand,OL Lyonnes,0,4,0.33
J. Brown,Olympique de Marseille,0,1,0.05
J. Coquet,Montpellier HSC,0,3,0.16
J. Echegini,Paris Saint Germain FC,1,7,0.76
J. Groenen,Paris Saint Germain FC,0,2,0.19
J. Limage,Racing Club de Lens,0,2,0.18
J. Mossard,FC Nantes,0,2,0.18
J. Nassi,Le Havre AC,0,1,0.09
J. Perret,Olympique de Marseille,0,3,0.25
J. Rabanne,FC Nantes,0,2,0.72
J. Rouquet,Montpellier HSC,0,2,0.09
J. Swierot,FC Nantes,0,1,0.07
K. El Koumir,Racing Club de Lens,1,2,0.63
K. Jedlińska,Paris FC,0,1,0.1
K. Korošec,Paris FC,1,2,0.38
