playerName,Team,ActualDisruptions,ExpectedDisruptions
A. Béché,Strasbourg,13,13.872
A. Chaney,Strasbourg,2,5.418
A. Claire,Fleury 91,0,0.03
A. Cometti,Fleury 91,7,3.552
A. Connesson,Saint-Étienne,5,2.376
A. Ebayilin,PSG,4,0.088
A. Felden,Montpellier,1,1.53
A. Fontaine,Dijon,1,1.674
A. Gajić,Saint-Étienne,4,0.976
A. Gbedjissi,Lens,3,2.8770000000000002
A. Hegerberg,OL Lyonnes,5,3.2960000000000003
A. Lawrence,OL Lyonnes,2,3.751
A. Le Moguédec,Paris FC,8,6.864
A. Mereau,Lens,0,0.068
A. Peltier,Saint-Étienne,0,0.0
A. Pierre-Louis,Saint-Étienne,4,1.06
A. Pinguet,Saint-Étienne,0,0.639
A. Traoré,Fleury 91,4,9.2
A. Yeboah,Strasbourg,1,0.112
B. Joly,Lens,0,0.835
Bruna Lourenço,Strasbourg,7,5.54
C. Baylet,Montpellier,0,0.0
C. Bertrand,Lens,6,3.02
C. Blanc,Montpellier,13,8.08
C. Boisard,Le Havre,11,1.218
C. Caputo,Fleury 91,2,1.1340000000000001
C. Chabod,Montpellier,0,0.14
C. Cosme,Nantes,4,3.474
C. Ducreux,Dijon,0,0.041
C. Dunn,PSG,0,0.14
C. Effa Effa,Le Havre,3,4.716
C. Endler,OL Lyonnes,0,1.3230000000000002
C. Fernandes,Fleury 91,8,3.575
C. Gavory,Le Havre,5,0.7380000000000001
C. Mairot,Strasbourg,0,0.048
C. Mateo,Paris FC,8,16.428
C. Meffometou,Fleury 91,7,5.778
C. N'Gazi,Olympique Marseille,0,0.146
C. Ndzana,Dijon,14,5.33
C. Ould Hocine,Paris FC,11,6.561
C. Picaud,Fleury 91,1,0.865
C. Polito,Lens,2,0.42
C. Robillard,Nantes,2,0.23
C. Tapia,Saint-Étienne,7,5.92
C. Verdier,Dijon,0,0.063
D. Bien-Aimé,Saint-Étienne,7,2.921
D. Corboz,Paris FC,12,6.09
D. Davis,Paris FC,7,6.237
D. Egurrola,OL Lyonnes,4,1.05
D. Pierre-Louis,Lens,9,4.648
D. Scannapieco,Olympique Marseille,0,0.0
E. Aigbogun,Strasbourg,8,7.965
E. Burns,Nantes,0,2.2100000000000004
E. Gaetino,PSG,7,4.6739999999999995
E. Junttila-Nelhage,OL Lyonnes,0,0.612
E. Kamczyk,Fleury 91,5,2.86
E. Laurent,Fleury 91,4,6.08
E. Lefèvre,Le Havre,2,0.018000000000000002
E. Palis,Montpellier,3,9.108
E. Paljevic,Nantes,0,1.1360000000000001
E. Siren,Dijon,19,17.216
F. Bataillard,Saint-Étienne,9,3.4499999999999997
F. Dorsin,PSG,1,0.14400000000000002
F. Jourde,PSG,3,1.634
F. Liaigre,Paris FC,7,2.466
F. Proniez,Lens,5,6.478000000000001
Fátima Pinto,Strasbourg,9,5.301
G. Grzybowska,Dijon,6,1.44
G. Mbock,PSG,9,3.052
H. Diaz,Fleury 91,1,0.7280000000000001
I. Adjabi,Le Havre,2,0.8970000000000001
I. Benyahia,OL Lyonnes,0,0.056
I. Engen,OL Lyonnes,4,10.02
I. Jaurena,Fleury 91,2,1.2610000000000001
I. Kbida,Olympique Marseille,1,0.48600000000000004
I. Koko,Montpellier,0,0.114
I. Konan,Strasbourg,3,3.915
I. Kristoffersen,Saint-Étienne,4,2.016
I. Saoud,Nantes,1,2.7550000000000003
Isabela,PSG,0,0.052000000000000005
Izarne Sarasola,Nantes,6,3.0589999999999997
J. Brand,OL Lyonnes,5,6.804
J. Brown,Olympique Marseille,1,0.4
J. Coquet,Montpellier,5,2.6670000000000003
J. Denizot,Dijon,0,0.005
J. Echegini,PSG,5,5.082
J. Groenen,PSG,7,4.14
J. Lerond,Montpellier,0,0.8160000000000001
J. Limage,Lens,18,6.569999999999999
J. Mossard,Nantes,1,1.86
J. Nassi,Le Havre,9,1.4580000000000002
J. Pasquereau,Nantes,8,3.4579999999999997
J. Perret,Olympique Marseille,9,4.482
J. Rabanne,Nantes,3,2.424
J. Rastocle,Montpellier,9,8.892000000000001
J. Rouquet,Montpellier,3,3.3320000000000003
J. Swierot,Nantes,1,0.046
K. Diani,OL Lyonnes,5,1.52
K. El Koumir,Lens,1,0.8320000000000001
K. Jedlińska,Paris FC,0,0.038
K. Korošec,Paris FC,11,8.67
K. Louis,Montpellier,12,8.064
K. Roche-Dufour,Paris FC,5,1.12
K. Shrader,OL Lyonnes,5,1.9620000000000002
K. Talaslahti,Dijon,0,0.064
K. Taylor,Dijon,6,4.266000000000001
L. Archier,Lens,0,2.668
L. Azzaro,Paris FC,4,10.23
L. Bogaert,Paris FC,4,7.695
L. Bourgouin,Olympique Marseille,1,2.3000000000000003
L. Calba,Nantes,1,0.111
L. Cance,Fleury 91,5,11.766
L. Declercq,Dijon,6,4.12
L. Fleury,Nantes,9,3.7399999999999998
L. Gay,Dijon,4,0.322
L. Goetsch,Fleury 91,12,11.28
L. Gstalter,Montpellier,8,4.862
L. Hannequin,Strasbourg,4,1.552
L. Heaps,OL Lyonnes,4,8.388000000000002
L. Hermann,Saint-Étienne,1,0.486
L. Joseph,OL Lyonnes,4,3.5000000000000004
L. Khelifi,Nantes,3,5.5680000000000005
L. Morissaint,PSG,0,0.098
L. Oillic,Lens,9,3.2580000000000005
L. Philippe,Le Havre,0,0.584
L. Pinot,Lens,4,1.691
L. Storti,Nantes,3,0.013000000000000001
L. Sylejmani,Strasbourg,0,0.048
L. Yohannes,OL Lyonnes,5,8.484
M. Agnew,Strasbourg,3,1.12
M. Babou,Strasbourg,0,0.224
M. Bethi,Nantes,12,2.737
M. Boucly,Le Havre,5,8.32
M. Bourdieu,Olympique Marseille,1,6.215999999999999
M. Chavas,Paris FC,1,0.492
M. Cosson,Nantes,10,5.355
M. Diakité,Montpellier,0,0.0
M. Diop,Strasbourg,1,4.844
M. Dumornay,OL Lyonnes,5,4.958
M. Earps,PSG,0,0.326
M. Fathallah,OL Lyonnes,3,0.5740000000000001
M. Garbino,Paris FC,2,10.05
M. Haelewyn,Dijon,1,0.048
M. Herrera,Olympique Marseille,9,4.680000000000001
M. Hoeltzel,Strasbourg,4,2.9699999999999998
M. Kanjinga,PSG,5,13.552
M. Katoto,OL Lyonnes,1,1.6380000000000001
M. Le Mouël,Olympique Marseille,8,7.378
M. Levasseur,Montpellier,10,3.91
M. Mendy,Le Havre,8,5.808999999999999
M. Moryl,Olympique Marseille,1,0.312
M. N'Dongala,Paris FC,3,0.252
M. Ngock,Fleury 91,12,7.038
M. Revelli,Lens,4,5.616
M. Romanelli,Saint-Étienne,11,5.16
M. Roth,Le Havre,5,9.774
M. Shore,Olympique Marseille,0,0.602
M. Terchoun,Dijon,5,2.064
M. Toloba,Nantes,2,0.46900000000000003
M. Traoré,Strasbourg,6,2.32
M. Vairon,Dijon,7,1.3920000000000001
M. Wahl,Strasbourg,1,1.055
Marta Carro,Olympique Marseille,4,1.4000000000000001
Morgane Martins,Fleury 91,9,4.0
N. Ali Nadjim,Saint-Étienne,0,0.004
N. Bamenga,Olympique Marseille,3,0.9400000000000001
N. Blanchard,Olympique Marseille,8,6.396000000000001
N. Carage,Dijon,8,8.382
N. Ekwalla,Fleury 91,0,0.035
N. Håheim,Paris FC,0,0.034
N. Istocki,Saint-Étienne,0,0.319
N. Krezyman,Dijon,4,14.832000000000003
N. Ngueleu,Montpellier,7,4.158
N. Vagre,Lens,8,5.986000000000001
Nelly Rodrigues,Nantes,2,3.22
O. Domin,Dijon,2,0.7380000000000001
O. Graziani,PSG,0,0.054
O. Picard,Paris FC,4,0.71
Olga Carmona,PSG,0,0.14
P. Dudek,PSG,0,0.0
R. Ajibade,PSG,5,8.736
R. Chaine,Montpellier,0,0.033
R. Corboz,Saint-Étienne,6,1.616
R. Couasnon,Olympique Marseille,0,0.02
R. Enguehard,Le Havre,12,7.56
R. Kadzere,Montpellier,1,0.116
R. Khezami,Olympique Marseille,4,4.152
R. Lejeune,Lens,5,2.0410000000000004
R. Leuchter,PSG,3,1.078
R. Éloissaint,Nantes,1,1.2960000000000003
S. Bacha,OL Lyonnes,7,22.976
S. Cambot,Saint-Étienne,4,1.4849999999999999
S. Chossenotte,Fleury 91,0,0.03
S. Elisor,Olympique Marseille,14,1.2060000000000002
S. Enge,Strasbourg,6,9.044
S. Guellati,Lens,0,1.308
S. Hornemann,Saint-Étienne,3,7.0
S. Jeudy,Lens,4,2.205
S. Karchaoui,PSG,9,14.355
S. Kassi,Le Havre,13,2.489
S. Magalhães,Olympique Marseille,2,0.0
S. Ouchene,Montpellier,10,10.844999999999999
S. Scott,Paris FC,2,0.27
