Player,Team,Minutes
A. Anderson,Angel City,1530.0
A. Berger,Gotham FC,1797.0
A. Chapman,Houston Dash,599.0
A. Cook,Kansas City Current,586.0
A. Cook,Chicago Stars,84.0
A. Crnogorčević,Seattle Reign,372.0
A. Dahlkemper,Bay,1170.0
A. Guzmán,Utah Royals,76.0
A. Hatch,Washington Spirit,827.0
A. Heilferty,Houston Dash,11.0
A. James-Turner,Seattle Reign,886.0
A. Kennedy,Angel City,1348.0
A. Kingsbury,Washington Spirit,1800.0
A. Lemos,Orlando Pride,1057.0
A. Leon,San Diego Wave,1165.0
A. Loera,Utah Royals,7.0
A. Malonson,Bay,1419.0
A. McCammon,Seattle Reign,279.0
A. Moorhouse,Orlando Pride,1760.0
A. Naeher,Chicago Stars,1619.0
A. Nagai,Utah Royals,305.0
A. Oshoala,Bay,462.0
A. Patterson,Houston Dash,1478.0
A. Pfeiffer,Kansas City Current,2.0
A. Sanchez,North Carolina Courage,1223.0
A. Schlegel,Chicago Stars,1574.0
A. Sentnor,Kansas City Current,414.0
A. Sentnor,Utah Royals,1126.0
A. Smith,Houston Dash,528.0
A. Solórzano,Utah Royals,906.0
A. Spaanstra,Portland Thorns,220.0
A. Thompson,Angel City,1397.0
A. Watt,Orlando Pride,1243.0
A. Wright,Racing Louisville,1703.0
Aline Gomes,North Carolina Courage,318.0
Ana Tejada,Utah Royals,1321.0
Angelina,Orlando Pride,1369.0
Ary Borges,Racing Louisville,954.0
B. Balcer,Racing Louisville,6.0
B. Banda,Orlando Pride,1297.0
B. Bixby,Portland Thorns,630.0
B. Courtnall,North Carolina Courage,29.0
B. Courtnall,Bay,-11.0
B. Feist,Kansas City Current,75.0
B. Franklin,Chicago Stars,1449.0
B. Martinez,Orlando Pride,0.0
B. Mozingo,Utah Royals,1113.0
B. Olivieri,Houston Dash,890.0
B. Pinto,North Carolina Courage,566.0
B. Ratcliffe,Washington Spirit,376.0
B. St-Georges,Utah Royals,919.0
Bia Zaneratto,Kansas City Current,1258.0
Bruninha,Gotham FC,963.0
C. Barry,Chicago Stars,49.0
C. Bethune,Washington Spirit,1049.0
C. Biegalski,Chicago Stars,1215.0
C. Brown,Washington Spirit,394.0
C. Conti,Bay,1159.0
C. Curran,Chicago Stars,78.0
C. Dickey,Seattle Reign,1890.0
C. Dydasco,Bay,1800.0
C. Dyke,Orlando Pride,1009.0
C. Emslie,Angel City,519.0
C. Hanks,Portland Thorns,637.0
C. Hutton,Kansas City Current,1484.0
C. Kizer,Gotham FC,38.0
C. Kizer,Utah Royals,401.0
C. Krueger,Washington Spirit,599.0
C. Lacasse,Utah Royals,327.0
C. Laris­ey,Houston Dash,182.0
C. Murphy,North Carolina Courage,1620.0
C. Okwuchukwu,San Diego Wave,234.0
C. Onwualu,Chicago Stars,1206.0
C. Paulson,Bay,34.0
C. Petersen,Racing Louisville,1799.0
C. Pickett,Orlando Pride,1020.0
C. Press,Angel City,371.0
C. Ricketts,Washington Spirit,163.0
C. Vine,North Carolina Courage,476.0
C. Westphal,Houston Dash,529.0
Casey Phair,Angel City,90.0
Claudia Zornoza,Utah Royals,1556.0
D. Abiodun,Washington Spirit,281.0
D. Arias,San Diego Wave,7.0
D. Bailey,Bay,826.0
D. Cascarino,San Diego Wave,1713.0
D. Castellanos,Portland Thorns,913.0
D. Colaprico,Houston Dash,1741.0
D. Foederer,Utah Royals,1005.0
D. Haračić,San Diego Wave,90.0
D. O'Sullivan,North Carolina Courage,1395.0
D. Ordoñez,Houston Dash,72.0
