Player,Team,GPA,Avg,GPA Rating
A. Spaanstra,Portland Thorns,1.226,0.10216666666666667,40.85
B. Bixby,Portland Thorns,4.058999999999999,0.5798571428571428,46.57
C. Hanks,Portland Thorns,3.2990000000000004,0.29990909090909096,45.04
D. Castellanos,Portland Thorns,4.508000000000001,0.26517647058823535,47.48
Daiane,Portland Thorns,0.24300000000000002,0.048600000000000004,38.87
H. Sugita,Portland Thorns,11.675,0.555952380952381,61.95
I. Obaze,Portland Thorns,10.036,0.62725,58.64
J. Dufour,Portland Thorns,0.6609999999999999,0.13219999999999998,39.71
J. Fleming,Portland Thorns,7.548,0.3774,53.62
J. Perry,Portland Thorns,11.209999999999999,0.7473333333333333,61.01
K. Torpey,Portland Thorns,7.4,0.5285714285714286,53.32
M. Alidou,Portland Thorns,3.085,0.1814705882352941,44.61
M. Arnold,Portland Thorns,8.347,0.5962142857142857,55.23
M. McKenzie,Portland Thorns,5.662,0.298,49.81
O. Moultrie,Portland Thorns,11.3,0.5380952380952382,61.2
P. Linnehan,Portland Thorns,2.5780000000000003,0.19830769230769232,43.58
P. Tordin,Portland Thorns,3.124,0.1562,44.68
R. Reyes,Portland Thorns,15.350999999999999,0.731,69.38
R. Turner,Portland Thorns,6.274,0.3137,51.05
S. Coffey,Portland Thorns,13.999,0.6999500000000001,66.65
S. Hiatt,Portland Thorns,11.853,0.6972352941176471,62.31
S. Hirst,Portland Thorns,0.42700000000000005,0.10675000000000001,39.24
A. Anderson,Angel City,9.265,0.545,57.09
A. Kennedy,Angel City,10.949000000000002,0.6843125000000001,60.49
A. Thompson,Angel City,7.039,0.4399375,52.59
C. Emslie,Angel City,3.035,0.379375,44.5
C. Press,Angel City,2.491,0.1383888888888889,43.41
Casey Phair,Angel City,0.383,0.0766,39.15
E. Shores,Angel City,4.559,0.569875,47.58
G. Thompson,Angel City,7.9,0.43888888888888894,54.33
H. Johnson,Angel City,0.205,0.205,38.79
H. Seabert,Angel City,2.522,0.6305,43.47
J. Dufour,Angel City,1.802,0.1802,42.01
J. Endō,Angel City,1.12,0.22400000000000003,40.64
K. Fuller,Angel City,8.618,0.4103809523809524,55.78
K. Zelem,Angel City,5.4350000000000005,0.36233333333333334,49.35
L. Nabet,Angel City,0.02,0.02,38.42
M. A. Vignola,Angel City,12.073,0.6354210526315789,62.76
M. Hammond,Angel City,6.312,0.3156,51.12
M. Hodge,Angel City,4.643,0.3095333333333333,47.75
M. Moriya,Angel City,8.02,0.40099999999999997,54.57
M. Reid,Angel City,8.229,0.5486,54.99
Maiara Niehues,Angel City,1.402,0.15577777777777777,41.21
N. Martin,Angel City,0.9120000000000001,0.45600000000000007,40.22
R. Tiernan,Angel City,6.187,0.29461904761904767,50.87
S. Doorsoun,Angel City,1.722,0.574,41.85
S. Gorden,Angel City,15.357,0.7312857142857142,69.39
S. Jónsdóttir,Angel City,3.647,0.455875,45.74
S. King,Angel City,6.136,0.767,50.77
S. Mattice,Angel City,0.384,0.128,39.15
A. Lemos,Orlando Pride,7.438000000000001,0.3541904761904763,53.4
A. Moorhouse,Orlando Pride,8.454,0.4227,55.45
A. Watt,Orlando Pride,5.586,0.2793,49.66
Angelina,Orlando Pride,9.317,0.49036842105263156,57.19
B. Banda,Orlando Pride,5.107,0.3191875,48.69
B. Martinez,Orlando Pride,0.077,0.077,38.53
C. Dyke,Orlando Pride,8.296000000000001,0.4608888888888889,55.13
C. Pickett,Orlando Pride,8.147,0.47923529411764704,54.83
