Player,Team,Passes,Total_xT,xT
A. Aherne,Sheffield United,11,0.11441757,0.114
A. Akpan,Southampton,21,0.019257550000000002,0.019
A. Andrews,Sheffield United,62,0.24060794,0.241
A. Baker,Birmingham City,9,0.19302766999999998,0.193
A. Blanchard,Crystal Palace,141,0.851324,0.851
A. Claypole,Nottingham Forest,18,0.013986460000000003,0.014
A. Everett,Crystal Palace,72,0.16239335,0.162
A. Ferguson,Southampton,60,1.43821965,1.438
A. Goddard,Southampton,60,0.53378094,0.534
A. Lafayette,Sheffield United,220,0.8828019199999999,0.883
A. Larkin,Crystal Palace,74,0.32183704999999996,0.322
A. Mannion,Newcastle United,338,1.56227888,1.562
A. Nixon,Portsmouth,38,0.1936052,0.194
A. Primus,Southampton,80,-0.04030739999999998,-0.04
A. Rodgers,Nottingham Forest,158,0.55755815,0.558
A. Rowbotham,Portsmouth,56,0.23798434999999998,0.238
A. Stobbs,Durham,47,0.40246865,0.402
A. Swaby,Crystal Palace,82,0.04688114,0.047
A. Thestrup,Charlton Athletic,39,-0.38047762999999996,-0.38
A. Weerden,Crystal Palace,129,0.24996788,0.25
A. Wilding,Portsmouth,20,0.03945231,0.039
B. Hepple,Durham,113,0.46656219,0.467
B. Louis,Birmingham City,27,-0.17807050999999996,-0.178
B. Lumsden,Newcastle United,89,0.5203381699999999,0.52
B. Roe,Ipswich Town,128,0.24753577,0.248
B. Salicki,Durham,18,0.05135931,0.051
B. Westrup,Sunderland,4,-0.00010375000000000141,-0.0
C. Arthur,Crystal Palace,33,0.11436885,0.114
C. Boye-Hlorkah,Nottingham Forest,127,0.17577979000000002,0.176
C. Cornet,Birmingham City,172,0.41345959,0.413
C. Devlin,Sheffield United,127,0.8714334399999999,0.871
C. Hamilton,Nottingham Forest,162,0.71005201,0.71
C. Harrison-Murray,Birmingham City,178,1.73138842,1.731
C. Moan,Newcastle United,65,0.10223857,0.102
C. Mustaki,Nottingham Forest,268,0.15744004,0.157
C. Newsham,Charlton Athletic,187,2.0617475,2.062
C. Parker-Smith,Sheffield United,73,0.16767685000000002,0.168
C. Peplow,Southampton,131,0.271188,0.271
C. Sheppard,Durham,162,0.40203545,0.402
C. Sáez,Bristol City,100,0.20541676,0.205
