Player,Team,GPA,Avg,GPA Rating
B. Westrup,Sunderland,0.086,0.086,39.21
E. Jones,Sunderland,0.152,0.076,40.34
E. Scarr,Sunderland,1.206,0.402,58.29
G. Moloney,Sunderland,1.7009999999999998,0.567,66.73
H. Greenwood,Sunderland,1.453,0.4843333333333334,62.5
I. Atkinson,Sunderland,1.024,0.3413333333333334,55.19
J. Brown,Sunderland,2.0309999999999997,0.6769999999999999,72.35
J. Finn,Sunderland,0.40199999999999997,0.13399999999999998,44.59
K. Barry,Sunderland,0.251,0.1255,42.02
K. Kitching,Sunderland,0.868,0.28933333333333333,52.53
K. Watson,Sunderland,0.916,0.30533333333333335,53.35
L. Griffiths,Sunderland,2.5669999999999997,0.8556666666666667,81.48
M. Corbyn,Sunderland,0.11300000000000002,0.11300000000000002,39.67
M. Sheva,Sunderland,0.47000000000000003,0.47000000000000003,45.75
N. Dunbar,Sunderland,0.005,0.005,37.83
N. Fenton,Sunderland,1.968,0.6559999999999999,71.28
R. Blades,Sunderland,0.098,0.098,39.41
R. Roberts,Sunderland,1.8009999999999997,0.6003333333333333,68.43
A. Thestrup,Charlton Athletic,0.29100000000000004,0.14550000000000002,42.7
C. Newsham,Charlton Athletic,1.607,0.8035,65.13
E. Bissell,Charlton Athletic,0.32,0.16,43.2
E. Mason,Charlton Athletic,1.174,0.587,57.75
E. N'Dow,Charlton Athletic,1.012,0.506,54.99
G. Kenney,Charlton Athletic,0.35,0.175,43.71
G. Pearse,Charlton Athletic,0.036,0.036,38.36
J. Chime,Charlton Athletic,0.185,0.185,40.9
J. Hutton,Charlton Athletic,1.159,0.5795,57.49
K. Bradley,Charlton Athletic,0.35500000000000004,0.35500000000000004,43.79
K. Flannery,Charlton Athletic,0.742,0.371,50.39
K. Muya,Charlton Athletic,0.429,0.2145,45.05
K. Skeels,Charlton Athletic,1.08,0.54,56.15
L. Fitzgerald,Charlton Athletic,0.367,0.1835,44.0
M. McAteer,Charlton Athletic,0.42699999999999994,0.21349999999999997,45.02
M. Ross,Charlton Athletic,0.5050000000000001,0.25250000000000006,46.35
S. Whitehouse,Charlton Athletic,0.757,0.3785,50.64
