Player,Team,VAEP_off,VAEP_def,VAEP_total,VAEP Rating,Games
N. Fenton,Sunderland,7.845398303464883,-0.00020499459734915642,7.845193308867533,99.66,3
A. Ferguson,Southampton,5.4544334354460755,-0.00011906143462494888,5.45431437401145,82.29,2
M. Collett,Southampton,5.254327555839547,3.12942031598904e-05,5.254358850042707,80.84,2
K. Kitching,Sunderland,5.099501035053524,-1.051831204985041e-05,5.099490516741474,79.72,3
L. Crosthwaite,Birmingham City,4.059331826781553,0.9991729027804085,5.058504729561961,79.42,2
E. Kelly,Newcastle United,5.057775583140603,-5.637714972486408e-05,5.057719205990878,79.41,2
C. Newsham,Charlton Athletic,4.996420978053243,3.3155026477871846e-05,4.996454133079721,78.97,2
M. Bashford,Southampton,4.348908366992321,-1.097945192925226e-05,4.348897387540391,74.27,2
C. Boye-Hlorkah,Nottingham Forest,4.0277589869230885,-0.00021580507554765682,4.027543181847541,71.93,2
K. Watson,Sunderland,3.9617826998448793,-2.361342121262136e-06,3.961780338502758,71.46,3
L. O'Brien,Ipswich Town,3.9530920162748977,8.963253753357787e-07,3.953092912600273,71.39,2
S. Peskett,Ipswich Town,3.926661577195288,1.1848526110655777e-06,3.9266627620478993,71.2,2
B. Roe,Ipswich Town,3.5572801779563687,-0.00013485085994346805,3.5571453270964253,68.52,2
D. Cooper,Newcastle United,3.112083563410944,-0.00013372863480955513,3.1119498347761345,65.28,2
I. Atkinson,Sunderland,3.082481792074568,-2.681504870873848e-05,3.082454977025859,65.07,3
M. Ross,Charlton Athletic,3.073890084043512,-0.0006340578362065899,3.073256026207306,65.0,2
A. Weerden,Crystal Palace,3.0654373169846014,8.397728213814246e-06,3.065445714712815,64.95,2
T. George,Sheffield United,2.9779049142613045,-1.226497032594353e-05,2.9778926492909785,64.31,2
O. Sevenius,Newcastle United,2.962668597862014,-7.259458204959694e-08,2.962668525267432,64.2,2
D. Rose,Nottingham Forest,2.920086933816718,6.867258776859451e-06,2.920093801075495,63.89,2
S. Wilson,Durham,1.9215844447917967,0.998436692546348,2.9200211373381446,63.89,3
G. Ayre,Durham,2.807695934165746,1.3050202630915333e-06,2.8076972391860084,63.08,3
J. Brown,Sunderland,2.77978721835492,6.051988688432595e-06,2.7797932703436086,62.87,3
L. Newell,Birmingham City,2.744549081324718,-0.0001993001757078397,2.74434978114901,62.62,2
C. Wellings,Nottingham Forest,2.6204062074234775,0.0,2.6204062074234775,61.72,1
E. Taylor,Sheffield United,2.320188506366103,-6.544860680053473e-06,2.3201819615054227,59.53,2
M. Boswell,Ipswich Town,2.3126267751937,1.4351949939314887e-06,2.312628210388694,59.48,2
E. Syme,Bristol City,2.274761869735202,5.971820151546537e-06,2.2747678415553536,59.21,2
R. Doe,Ipswich Town,2.2716435104630714,-0.00015337445479209365,2.2714901360082793,59.18,1
C. Cornet,Birmingham City,2.155867106599915,1.0035445393129274e-05,2.155877142045308,58.34,2
J. Stapleton,Nottingham Forest,2.1520996799857164,-1.4054612342493658e-06,2.152098274524482,58.31,2
E. N'Dow,Charlton Athletic,2.0690501615642614,-3.647828472148806e-06,2.0690465137357887,57.71,2
A. Mannion,Newcastle United,2.059615755146184,-0.00046400940202889074,2.059151745744155,57.64,2
M. McAteer,Charlton Athletic,2.034143112848639,-1.0613383887196548e-05,2.034132499464752,57.46,2
A. Andrews,Sheffield United,2.0216624680422894,0.00048042015381264135,2.0221428881961026,57.37,2
G. Brougham,Nottingham Forest,2.009755768502141,-5.282361138355021e-05,2.0097029448907575,57.28,2
