Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Ale,Leicester City FC,1,0.0720686987042428,0.0720686987042428,0.0
A. Beever-Jones,Chelsea FC Women,3,2.089675053954124,2.089675053954124,0.0
A. Fujino,Manchester City WFC,3,0.4355891048908232,0.1911779046058654,0.24441120028495777
A. Greenwood,Manchester City WFC,4,0.9944869950413696,0.688292443752288,0.3061945512890816
A. Kennedy,London City Lionesses LFC,2,0.911061145365238,0.0,0.911061145365238
A. Nildén,Tottenham Hotspur FCW,1,0.0897845327854156,0.0897845327854156,0.0
A. Patten,Aston Villa WFC,1,0.1827591806650162,0.0,0.1827591806650162
A. Russo,Arsenal WFC,7,2.4957829657197,0.646266207098961,1.849516758620739
A. Sandberg,Manchester United WFC,1,0.179352268576622,0.0,0.179352268576622
A. Thompson,Chelsea FC Women,1,0.1484752297401428,0.1484752297401428,0.0
B. England,Tottenham Hotspur FCW,4,2.1344524416327477,0.294610530138016,1.839841911494732
B. Mead,Arsenal WFC,1,0.791364908218384,0.791364908218384,0.0
C. Bizet,Manchester United WFC,3,0.3181658163666724,0.3181658163666724,0.0
C. Foord,Arsenal WFC,3,1.2536543384194379,0.25421414524316777,0.99944019317627
C. Grant,Tottenham Hotspur FCW,1,0.0740744695067406,0.0740744695067406,0.0
C. Holland,Liverpool FCW,3,0.4818924367427828,0.48189243674278276,0.0
C. Hunt,Tottenham Hotspur FCW,2,0.201889418065548,0.0,0.201889418065548
C. Kapocs,Liverpool FCW,2,0.406250432133674,0.406250432133674,0.0
C. Kelly,Arsenal WFC,4,1.194396503269673,1.1943965032696733,0.0
C. Macário,Chelsea FC Women,5,1.397541023790836,1.0946998745203025,0.30284114927053357
C. Tandberg,Tottenham Hotspur FCW,8,2.26423492282629,2.1634600088000298,0.1007749140262604
Carla Camacho,Brighton & Hove Albion WFC,1,0.0905785709619522,0.0905785709619522,0.0
D. Janssen,Manchester United WFC,1,0.63971483707428,0.0,0.63971483707428
D. Spence,Tottenham Hotspur FCW,2,0.8802544549107559,0.10732651501894,0.772927939891816
D. van Domselaar,West Ham United WFC,1,0.0,0.0,0.0
E. Cuthbert,Chelsea FC Women,3,1.5345709770917901,1.5345709770917901,0.0
E. Fox,Arsenal WFC,1,0.1886420994997024,0.1886420994997024,0.0
E. Linari,London City Lionesses LFC,1,0.0632601454854012,0.0,0.0632601454854012
E. Salmon,Aston Villa WFC,6,1.4059395492076872,1.4059395492076874,0.0
E. Summanen,Tottenham Hotspur FCW,3,0.3644703105092052,0.15562441200017918,0.208845898509026
E. Terland,Manchester United WFC,4,1.0689800307154673,1.0689800307154673,0.0
E. Toone,Manchester United WFC,7,1.7199571877717965,1.5560891628265374,0.163868024945259
E. van Egmond,Leicester City FC,2,0.3106089457869532,0.200718939304352,0.1098900064826012
F. Kirby,Brighton & Hove Albion WFC,1,0.1934923976659774,0.1934923976659774,0.0
F. Maanum,Arsenal WFC,5,2.172410003840925,2.172410003840925,0.0
F. Nagano,Liverpool FCW,2,0.1704305037856102,0.0,0.1704305037856102
F. Rolfö,Manchester United WFC,1,0.157117709517479,0.157117709517479,0.0
G. Bonner,Liverpool FCW,3,1.445374228060245,0.0,1.4453742280602453
G. Clinton,Manchester City WFC,2,0.30202976614236776,0.30202976614236776,0.0
