id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2736257311,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-10-20T10:30:05.034Z,2024-10-20T11:26:35Z,5298106611,130,4,5298106605,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 6f8lpm5ckuv4z0tbur533qpxx, brppytuf1766c50274dkue5pm, cnq88jph2nrn0o2tosrp4rmxh, 9cjjs4piq3t12iltsfon52h91, 1dbhha29epjmo8g4xfm5taaj9, cpvbitkove7bavl96lkgs1vc9, bpmtdn2uqnwhllfnm59ck6rit, 5ye5h1o9ndhfeqdi8mh4f9une, amg2zai9038cdz9uuql3l9rkl, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, d80r13kh5f6bcpwsy3cka75d5, 1vpy4utdaxo6zs2enj4tphejt, dzfr9ktjmxqj2eh2xibt7konp, 9jitxfwaeix5fn1n3dhartbhm, 9yzj019fl63gp6fhugc9hrhg4",5298106615,194,amg2zai9038cdz9uuql3l9rkl,5298106613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5298106619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298106617,197,8381,5298106607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5298106609,59,"1, 16, 14, 7, 15, 4, 8, 20, 28, 11, 9, 35, 2, 33, 25, 23, 10, 17, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736257357,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-10-20T10:30:11.101Z,2024-10-20T10:30:11Z,5298106795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5298106793,30,"1vejfm6fcp0xeyk30r6hv79wp, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, c6k1w8sothxmc08dbhqjzp1w5, bmw6mvkeropjorm2rxzw2fzai, 23kah59nbx1m7ro3imaaevoph, cm84oje8txj7m34zuhhv68ct1, brflebs8m00rgali2owyoyove, 10d8jj5vwrmib55tth0isfvft, bkjq8yp0rffvauz0nz94flfu2, 7gmh6g5c39asg7gnthx1jxp79, 8gxse7h6ucubo3weq7sp9dnf9, 6bcvcloym3tzxss5hgsw4h1at, 3f6hkia6zu8xuwasqdz3w759m, 8i8zuouah6iycf9fdfmkdlppm, 1hoivq7vrd8hx0e5gk4tuyxyi, ar565iwkuj9ijvgzmtniuasr8, 22blwbf4rlay0jfdecsxvu1hw",5298106811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298106797,59,"31, 18, 15, 25, 4, 5, 16, 10, 21, 8, 11, 35, 7, 9, 14, 19, 20, 28, 44, 46",5298106799,130,4,5298106801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298106803,194,c6k1w8sothxmc08dbhqjzp1w5,5298106807,197,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282323,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-10-20T11:15:14.268Z,2024-10-20T11:15:14Z,5298237769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282329,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-10-20T11:15:14.268Z,2024-10-20T22:55:14Z,5298237781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282359,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50,50,2024-10-20T11:15:14.269Z,2024-10-20T11:15:17Z,5298237941,141,59.6,5298237947,279,S,5298237939,140,39.3,5298237937,56,Back,5298237943,212,13.0,5298237945,213,2.62,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282399,4,1,1,0,2,8l30dsub3sutr6j3ruvk650xc,1,37.4,56.4,2024-10-20T11:15:16.900Z,2024-10-20T11:15:21Z,5298238137,56,Back,5298238139,140,24.7,5298238145,213,3.97,5298238143,212,19.8,5298238141,141,34.9,,,,,,,,,,brppytuf1766c50274dkue5pm,M. Kearns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282447,5,1,1,0,6,8l30dsub3sutr6j3ruvk650xc,1,23.9,35.1,2024-10-20T11:15:20.981Z,2024-10-20T11:15:24Z,5298238375,140,22.0,5298238379,141,56.4,5298238371,56,Back,5298238383,212,14.6,5298238385,213,1.71,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282481,6,1,1,0,10,8l30dsub3sutr6j3ruvk650xc,1,20.6,62.1,2024-10-20T11:15:24.293Z,2024-10-20T11:15:27Z,5298238587,56,Back,5298238591,141,58.2,5298238589,140,3.7,5298238595,213,3.29,5298238593,212,17.9,,,,,,,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282539,7,1,1,0,13,8l30dsub3sutr6j3ruvk650xc,1,6.2,66,2024-10-20T11:15:27.413Z,2024-10-20T11:15:31Z,5298238867,141,91.4,5298238869,212,27.7,5298238871,213,0.67,5298238863,56,Back,5298238865,140,26.8,5298238861,157,,5298238875,1,,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282589,8,1,1,0,17,8l30dsub3sutr6j3ruvk650xc,1,24.7,91.7,2024-10-20T11:15:31.669Z,2024-10-20T11:15:35Z,5298239099,155,,5298239101,56,Back,5298239103,140,19.3,5298239105,141,89.9,5298239107,212,5.8,5298239109,213,3.35,,,,,,,cpvbitkove7bavl96lkgs1vc9,K. Hanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
