id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/8/value,assist,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2743948525,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-11-03T18:00:57.333Z,2024-11-03T18:49:10Z,5340093771,197,25070,5340093761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5340093769,194,anghujtc4achyb9mflowgg9n9,5340093767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5340093763,59,"24, 12, 17, 6, 26, 4, 19, 23, 33, 8, 11, 1, 7, 14, 15, 16, 18, 25, 27, 29",5340093773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5340093759,30,"6bejfvxorcqyawi2fmk2kbco9, ehmzgi988h8g6rgekp3qivkr9, dm9vc2mqtbb982sx6kkd992ax, agdmqurwrf5k6izewj4voxcdl, 4wxqckb43bkeobwanys62zvmd, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, 7b1wnybwn288obuc03bea8962, 69nz7p1izpw4i8tle2c8hls2y, cij18xj0bx2zyx3mi9xwykn9x, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, 27oce8op8b7a6fmyp8utoz5gq, 3c80px00lrpe84s9yurszqcid, 6ypmyozp8zmq4tk36n49oz5xx, dej9w2n7m9uzfb12yozvly5pm, 7np6c6939ms55m37juqvw0oa, 1n48nxf4v6reoxuyai88haw6i, eihksc6tdooqw7ref4nt520a, 5m8q057u3ek6rjdpmlu98uesq",5340093765,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743949665,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-11-03T18:02:05.439Z,2024-11-03T19:10:59Z,5340100215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5340100221,130,8,5340100213,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, 6kitz3oodxt3ejj5u0fwzhhat, 3fta0gg3ghja3x9ouubjjfzl5, 60yw6ejn1dnlz7ki0q05xsjdg, e6s5iphbrws04dxrvw0xqd7f9, 57ubfxv6ujkk5cictmez4op1x, 1o571356wx95l3qbpbe00o991, 27iu58a0k5jqsxidnaxbothbd, coq2v02vrvkhdlsio0pactkru, aeqzzuu4bp7trwyjezfigr9ih, ekmg1wlig0qdtzhafm3lwsz4l, 2hbrb48fqcvv05srmzclbyp2i, 8zpj2ov0kc2d7a2b14ys2y8dl, ei8nkccvojz33whslareh4a1h, 3tot15elwrc9lz9ohha1z0ij9, dkcbvcqk9uzamv07oe49uznys, ea9dttgvt5s0lzmm355ttbsic, 9oge2hx0rg79kf79o55oovnu2",5340100217,59,"1, 17, 21, 6, 4, 20, 9, 8, 25, 47, 19, 7, 11, 12, 13, 14, 38, 40, 42",5340100233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5340100231,197,726,5340100229,194,e6s5iphbrws04dxrvw0xqd7f9,5340100227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984443,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-11-03T18:45:31.088Z,2024-11-03T18:45:31Z,5340289769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984453,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-11-03T18:45:31.088Z,2024-11-07T13:37:37Z,5340289809,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984475,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,49.6,50.4,2024-11-03T18:45:31.089Z,2024-11-03T18:45:34Z,5340289915,56,Back,5340289921,212,11.2,5340289925,279,S,5340289917,140,39.5,5340289923,213,2.81,5340289919,141,55.8,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984519,4,1,1,0,3,7kt37xy93vjy6wac8vq6fqz3g,1,36.5,53.6,2024-11-03T18:45:34.559Z,2024-11-03T21:25:54Z,5340290223,141,82.6,5340290219,56,Back,5340290227,213,1.58,5340290225,212,19.7,5340290221,140,36.3,,,,,,,,,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984561,5,1,1,0,5,7kt37xy93vjy6wac8vq6fqz3g,0,40,89,2024-11-03T18:45:36.351Z,2024-11-03T18:54:51Z,5340290437,213,0.97,5340290429,56,Back,5340290433,141,100.0,5340290431,140,45.8,5340290435,212,10.7,,,,,,,,,,6kitz3oodxt3ejj5u0fwzhhat,V. Sarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984589,3,5,1,0,6,spi3g782q7m4evjxn1sv6cfa,1,55.2,-2,2024-11-03T18:45:37.357Z,2024-11-03T18:45:42Z,5340290627,233,6,5340290585,56,Right,5340290587,347,,,,,,,,,,,,,,,,,2m6wew2746q1xsoio3703t8t1,J. Rytting Kaneryd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984571,6,5,1,0,6,7kt37xy93vjy6wac8vq6fqz3g,0,44.8,102,2024-11-03T18:45:37.357Z,2024-11-03T19:04:59Z,5340290481,347,,5340290683,233,3,5340290479,56,Back,,,,,,,,,,,,,,,,aeqzzuu4bp7trwyjezfigr9ih,H. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743984783,4,1,1,0,18,spi3g782q7m4evjxn1sv6cfa,1,58.2,0,2024-11-03T18:45:49.721Z,2024-11-03T18:55:10Z,5340291633,140,34.6,5340291639,212,26.2,5340291643,213,2.82,5340291635,141,10.4,5340291649,1,,5340331483,189,,5340291629,56,Back,5340291627,107,,ehmzgi988h8g6rgekp3qivkr9,A. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
