id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2727813939,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-09-29T10:43:32.956Z,2024-09-29T11:31:50Z,5251998113,197,1154,5251998107,130,4,5251998111,194,c6k1w8sothxmc08dbhqjzp1w5,5251998109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5251998101,30,"1vejfm6fcp0xeyk30r6hv79wp, 4iweh8975rkssez3r9vlk1wfe, 8hq106ex872xezlr1j901kpux, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, c6k1w8sothxmc08dbhqjzp1w5, bmw6mvkeropjorm2rxzw2fzai, wupxscyf4x7rsjidpmp0wnv9, cm84oje8txj7m34zuhhv68ct1, 8i8zuouah6iycf9fdfmkdlppm, 10d8jj5vwrmib55tth0isfvft, bkjq8yp0rffvauz0nz94flfu2, 7gmh6g5c39asg7gnthx1jxp79, brflebs8m00rgali2owyoyove, 8gxse7h6ucubo3weq7sp9dnf9, 23kah59nbx1m7ro3imaaevoph, 6bcvcloym3tzxss5hgsw4h1at, 3f6hkia6zu8xuwasqdz3w759m, ar565iwkuj9ijvgzmtniuasr8, 22blwbf4rlay0jfdecsxvu1hw",5251998103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5251998115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5251998105,59,"31, 3, 18, 25, 4, 5, 16, 6, 21, 20, 11, 35, 7, 8, 9, 10, 14, 19, 44, 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727814371,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-09-29T10:45:04.803Z,2024-09-29T10:45:04Z,5252000509,130,13,5252000517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252000503,30,"el8c138wsa0bnop68caop5uxh, 8m3okb64mh1m7dfmp0km4wct1, 8lf62k2iwmb23gywex08s6m09, dld1dfaxrkcje24pmw72odzpw, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5t9mthxv6kthq6tnntv5q4fdh, dedol1cdecfmywapqdnndxucp, 52w10pe7mkfv4twb2p2c5ugnp, d1fnp3b9t3mfz4aj2csayfhwq, 9t2pn6dp6w38b169a5qo9c60a, 2eoggfnen5l1u32thxevo3sb8, c705ailfiov40xwoysz0ggct1, af3x1ptiil8vti00lxf1x8ewa, 5zscs0qkg39k01a2n0qu9tvkk, 2w5e7dfxr588qpxex7cstyyy2, 8jcspom7vgzuzen8yw4php711, 4uest450f12ikgunglu92j0tl, 4payujvwgv750r4y1eeprn1g4",5252000513,194,5t9mthxv6kthq6tnntv5q4fdh,5252000507,59,"32, 14, 3, 16, 5, 2, 6, 19, 8, 11, 20, 25, 9, 18, 21, 23, 27, 28, 59",5252000511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5252000505,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5252000515,197,24728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831647,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-09-29T11:30:15.694Z,2024-09-29T11:30:17Z,5252094649,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831643,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-09-29T11:30:15.694Z,2024-09-29T11:30:15Z,5252094629,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831665,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,49.9,50,2024-09-29T11:30:15.695Z,2024-09-29T11:30:18Z,5252094753,140,38.9,5252094759,213,3.68,5252094751,56,Back,5252094757,212,13.5,5252094761,279,S,5252094755,141,39.8,,,,,,,52w10pe7mkfv4twb2p2c5ugnp,P. Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831685,4,1,1,0,2,dcdnoyf6kzhj46iyfm7xq43fy,1,37,35.4,2024-09-29T11:30:18.334Z,2024-09-29T11:30:20Z,5252094839,56,Back,5252094847,141,23.6,5252094853,212,13.1,5252094859,213,3.80,5252094843,140,27.1,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831709,5,1,1,0,5,dcdnoyf6kzhj46iyfm7xq43fy,1,27,23.7,2024-09-29T11:30:20.813Z,2024-09-29T11:30:24Z,5252094987,213,0.03,5252094981,140,36.8,5252094983,141,24.1,5252094979,56,Back,5252094985,212,10.3,,,,,,,,,,589yqifloa5j7qwp2gnemyml1,M. Þórisdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831711,3,45,1,0,8,36tr17foeaf9ejjmt2txuoy3y,0,58.4,75.6,2024-09-29T11:30:24.301Z,2024-09-29T11:30:27Z,5252094991,56,Center,5252094993,285,,5252095033,233,6,,,,,,,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831719,6,3,1,0,8,dcdnoyf6kzhj46iyfm7xq43fy,1,41.6,24.4,2024-09-29T11:30:24.301Z,2024-09-29T11:34:36Z,5252095005,286,,5252095003,56,Back,5252095025,233,3,,,,,,,,,,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727831755,7,1,1,0,9,dcdnoyf6kzhj46iyfm7xq43fy,1,41.1,16.7,2024-09-29T11:30:24.733Z,2024-09-29T11:34:38Z,5252095175,140,54.0,5252095177,141,2.9,5252095179,212,16.5,5252095181,213,5.68,5252095173,56,Right,,,,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
