id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/15/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,keyPass,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2745541955,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-11-08T18:15:12.256Z,2024-11-08T19:18:32Z,5348926485,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348926471,30,"el8c138wsa0bnop68caop5uxh, 5zscs0qkg39k01a2n0qu9tvkk, 8lf62k2iwmb23gywex08s6m09, dld1dfaxrkcje24pmw72odzpw, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5t9mthxv6kthq6tnntv5q4fdh, af3x1ptiil8vti00lxf1x8ewa, c705ailfiov40xwoysz0ggct1, 8m3okb64mh1m7dfmp0km4wct1, d1fnp3b9t3mfz4aj2csayfhwq, a7mvfblbrdc2xzot87jwzk4d0, 7273nb8va4nhiathm3qpatii1, dedol1cdecfmywapqdnndxucp, 9t2pn6dp6w38b169a5qo9c60a, 2eoggfnen5l1u32thxevo3sb8, 8jcspom7vgzuzen8yw4php711, 4uest450f12ikgunglu92j0tl",5348926473,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5348926479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5348926475,59,"32, 21, 3, 16, 5, 2, 6, 18, 9, 14, 11, 7, 17, 19, 20, 25, 27, 28",5348926481,194,5t9mthxv6kthq6tnntv5q4fdh,5348926483,197,26348,5348926477,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745542559,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-11-08T18:16:10.909Z,2024-11-08T19:12:16Z,5348929551,130,2,5348929543,30,"dib5a7vebmtxqcksi1tuteklx, n70i0c7uk1qxianxoiotqmeh, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, e3fa1ou90dirp8yjjterhrs9h, 3sn815dsm0i0rnw9nigjyb0et, e8ivbfq0irn8f2p8krhkikzx1, 5qxvej7pcqqr989sba7k0jv85, 1o0o6thivoulnmsklkpbwpiad, ddagc0khq0zh1ywynyci8nzrp, bd1752qgxbodnsgdus42fc99l, 3kfxvwa38a7oq0d126jm4o9ka, 70axdagp6dkm3fvv79ofsxfro, 30z4o4w3iw0frztn9isqwx2ei, 24qwx85sfxy0r8pld85w7tzze, dcr6epadtrotjsk6yzsir7t62, 3i4ljm3hqc6wg8s6l4onlagut, ec1vrqeqni3lmibeazgq62eol, c8jqnf6qf93zkyzdxtz20tgix",5348929553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348929559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348929549,59,"1, 2, 11, 10, 6, 7, 9, 13, 23, 12, 19, 3, 5, 62, 32, 22, 16, 17, 25, 14",5348929557,197,723,5348929545,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5348929555,194,5m2ilglr6tlmgs2d4qzk5wno5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564733,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-11-08T19:01:27.052Z,2024-11-08T19:01:27Z,5349048225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564739,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-11-08T19:01:27.052Z,2024-11-08T19:01:29Z,5349048253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564779,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2024-11-08T19:01:27.053Z,2024-11-08T19:01:29Z,5349048431,212,12.8,5349048433,213,3.55,5349048425,56,Back,5349048427,140,38.8,5349048429,141,42.5,5349048435,279,S,,,,,,,c705ailfiov40xwoysz0ggct1,N. Parris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564835,4,1,1,0,2,dcdnoyf6kzhj46iyfm7xq43fy,1,38.4,43.4,2024-11-08T19:01:29.589Z,2024-11-08T19:01:32Z,5349048683,140,28.5,5349048681,56,Back,5349048687,212,17.3,5349048685,141,63.7,5349048691,213,2.22,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564881,5,1,1,0,5,dcdnoyf6kzhj46iyfm7xq43fy,1,27.9,63.3,2024-11-08T19:01:32.533Z,2024-11-08T19:01:36Z,5349048937,212,33.9,5349048935,141,13.5,5349048939,213,4.66,5349048931,56,Back,5349048933,140,26.3,5349048941,1,,,,,,,,dld1dfaxrkcje24pmw72odzpw,J. Carabalí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564907,6,1,1,0,8,dcdnoyf6kzhj46iyfm7xq43fy,1,26,11.9,2024-11-08T19:01:36.038Z,2024-11-08T19:01:37Z,5349049057,56,Back,5349049067,213,5.85,5349049063,212,9.0,5349049061,141,6.4,5349049059,140,33.8,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564929,7,1,1,0,10,dcdnoyf6kzhj46iyfm7xq43fy,1,33,6.4,2024-11-08T19:01:37.685Z,2024-11-08T19:01:39Z,5349049145,140,32.0,5349049147,141,16.1,5349049149,212,6.7,5349049151,213,1.73,5349049143,56,Back,5349049191,156,,,,,,,,589yqifloa5j7qwp2gnemyml1,M. Þórisdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745564951,8,1,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,1,32.7,12.8,2024-11-08T19:01:39.350Z,2024-11-08T19:01:39Z,5349049277,213,4.34,5349049273,141,8.0,5349049271,140,31.5,5349049269,56,Back,5349049275,212,3.5,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
