id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2743593271,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-11-03T13:17:50.387Z,2024-11-03T14:00:05Z,5338164961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338164957,194,c6k1w8sothxmc08dbhqjzp1w5,5338164943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5338164941,30,"bkjq8yp0rffvauz0nz94flfu2, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 6bcvcloym3tzxss5hgsw4h1at, c6k1w8sothxmc08dbhqjzp1w5, bmw6mvkeropjorm2rxzw2fzai, 23kah59nbx1m7ro3imaaevoph, cm84oje8txj7m34zuhhv68ct1, 8i8zuouah6iycf9fdfmkdlppm, 10d8jj5vwrmib55tth0isfvft, 6r271sec7c84p1vqi2b1p5td5, 7gmh6g5c39asg7gnthx1jxp79, 8gxse7h6ucubo3weq7sp9dnf9, 3f6hkia6zu8xuwasqdz3w759m, 1hoivq7vrd8hx0e5gk4tuyxyi, ar565iwkuj9ijvgzmtniuasr8, 22blwbf4rlay0jfdecsxvu1hw, e7pnmdmll71gjbouggfrzrfh0",5338164953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5338164947,130,4,5338164959,197,25082,5338164945,59,"35, 18, 15, 25, 14, 5, 16, 10, 21, 20, 11, 40, 7, 9, 19, 28, 44, 46, 52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743601133,1,34,16,0,0,6o6989d7o4w1kn35cu75y1mny,1,0,0,2024-11-03T13:25:16.965Z,2024-11-03T13:25:19Z,5338207635,194,9mfotw533oa5qs1muu2z8t8lx,5338207629,59,"30, 14, 23, 17, 32, 3, 20, 5, 28, 10, 24, 19, 4, 8, 11, 27, 77",5338207637,197,12037,5338207625,30,"4x0c0fhtuohubcm7u16qzr2wa, 9mfotw533oa5qs1muu2z8t8lx, 2jwojltrp06sa8qloordtohrd, 3acexvvnl6jkxur5649bwjpxw, f204o8gildjfs87uhezqphul0, 8ojm3gdn5n6t8vw7by016uvh1, 189vxko1d1i7iiiol5ye10uay, d3uulb80d2j3hciw1v7ueodwq, dw593ezeekrbzlc2qhtc805p1, 6spinfzc1go7q5euom2apcdwq, cpd3iq3dx1c9p1g74331i2mtw, bhby3ex548cqf2rd527fk9iad, d9cewkta4tz35v0p71n5mcvkl, 3y8r35i7dm7sbgd9bxjd0je5m, bibuxh4qtt5zr3er5o8pssvzd, cpujkte9oflwdrorh61l50v10, 50ef8q2ctd099il4iq14i0cfd",5338207639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338207633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5338207631,130,8,5338207627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639935,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-11-03T14:00:43.518Z,2024-11-03T14:00:43Z,5338414005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639943,2,32,1,0,0,6o6989d7o4w1kn35cu75y1mny,1,0,0,2024-11-03T14:00:43.518Z,2024-11-03T14:00:45Z,5338414041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639985,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50,50,2024-11-03T14:00:43.519Z,2024-11-03T14:00:48Z,5338414263,56,Back,5338414273,279,S,5338414271,213,3.15,5338414269,212,27.7,5338414267,141,49.7,5338414265,140,23.6,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640035,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,24.5,49,2024-11-03T14:00:47.921Z,2024-11-03T14:00:51Z,5338414537,56,Center,5338414543,212,47.9,5338414541,141,72.6,5338414535,157,,5338414545,213,0.34,5338414547,1,,5338414539,140,67.5,,,,bkjq8yp0rffvauz0nz94flfu2,K. Keating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640045,5,44,1,0,7,36tr17foeaf9ejjmt2txuoy3y,1,69.4,66,2024-11-03T14:00:51.153Z,2024-11-03T14:52:38Z,5338414593,56,Center,5338414735,233,3,5338414595,286,,,,,,,,,,,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640069,3,44,1,0,7,6o6989d7o4w1kn35cu75y1mny,0,30.6,34,2024-11-03T14:00:51.154Z,2024-11-03T14:52:38Z,5338414689,56,Back,5338414691,285,,5338414741,233,5,,,,,,,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640051,6,1,1,0,7,36tr17foeaf9ejjmt2txuoy3y,0,67.5,72.6,2024-11-03T14:00:51.265Z,2024-11-03T14:00:51Z,5338414621,213,0.27,5338414617,141,74.2,5338414613,56,Center,5338414611,168,,5338414619,212,4.1,5338414615,140,71.3,5338414609,3,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743640101,4,61,1,0,11,6o6989d7o4w1kn35cu75y1mny,1,27.7,37.7,2024-11-03T14:00:54.518Z,2024-11-03T14:00:54Z,5338414837,56,Back,,,,,,,,,,,,,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
