id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2766534657,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-01-18T16:40:18.519Z,2025-01-18T17:42:37Z,5462849341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5462849329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5462849339,197,726,5462849335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5462849333,130,2,5462849331,59,"1, 19, 17, 16, 20, 5, 7, 6, 9, 25, 8, 12, 11, 14, 15, 18, 21, 29, 42, 47",5462849337,194,e6s5iphbrws04dxrvw0xqd7f9,5462849327,30,"ds8eeciyv1vk6nwh26qgy1lg5, aeqzzuu4bp7trwyjezfigr9ih, avttb0ne86ra4pqruk0d8al05, 1haq2mkmbebj3jbt0z2jom4lx, e6s5iphbrws04dxrvw0xqd7f9, edc7fwwkl9fcuu9zzxmm3s1nu, ekmg1wlig0qdtzhafm3lwsz4l, 3fta0gg3ghja3x9ouubjjfzl5, 57ubfxv6ujkk5cictmez4op1x, 27iu58a0k5jqsxidnaxbothbd, 1o571356wx95l3qbpbe00o991, 8zpj2ov0kc2d7a2b14ys2y8dl, 2hbrb48fqcvv05srmzclbyp2i, 3tot15elwrc9lz9ohha1z0ij9, 9qidpdp5vlw8ma2z9synky6ms, etyrg2e7ftd9i9qggqfuy9gk4, 6kitz3oodxt3ejj5u0fwzhhat, cbozn7nychmtwwwkrxae2ga21, 9oge2hx0rg79kf79o55oovnu2, coq2v02vrvkhdlsio0pactkru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766542803,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2025-01-18T16:45:22.444Z,2025-01-18T19:01:31Z,5462893795,194,amg2zai9038cdz9uuql3l9rkl,5462893799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5462893787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5462893797,197,8381,5462893791,130,8,5462893789,59,"1, 16, 3, 8, 4, 14, 19, 22, 28, 9, 17, 35, 2, 33, 15, 25, 20, 11, 23",5462893785,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 3ws5zg8wy6j86cr8yrqxnsx9m, 1dbhha29epjmo8g4xfm5taaj9, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, 321yjdo3gio1l33hc1pdps4wl, 9yzs0w3tjas15ic0o2b51q86h, bpmtdn2uqnwhllfnm59ck6rit, amg2zai9038cdz9uuql3l9rkl, 9jitxfwaeix5fn1n3dhartbhm, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cnq88jph2nrn0o2tosrp4rmxh, d80r13kh5f6bcpwsy3cka75d5, cpvbitkove7bavl96lkgs1vc9, 5ye5h1o9ndhfeqdi8mh4f9une, 1vpy4utdaxo6zs2enj4tphejt",5462893793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585225,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2025-01-18T17:31:05.272Z,2025-01-18T17:31:06Z,5463117301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585215,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-01-18T17:31:05.272Z,2025-01-18T17:31:07Z,5463117277,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585233,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,49.5,51.5,2025-01-18T17:31:05.468Z,2025-01-18T17:44:33Z,5463117345,140,37.5,5463117347,141,60.6,5463117353,279,S,5463117349,212,14.0,5463117351,213,2.69,5463117343,56,Back,,,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585321,4,1,1,0,2,7kt37xy93vjy6wac8vq6fqz3g,0,37.7,61.8,2025-01-18T17:31:07.334Z,2025-01-18T17:31:10Z,5463117813,56,Right,5463117823,213,5.45,5463117827,1,,5463117811,157,,5463117817,141,0.0,5463117819,212,58.4,5463117815,140,74.9,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585353,3,5,1,0,5,8l30dsub3sutr6j3ruvk650xc,1,21.4,102,2025-01-18T17:31:10.720Z,2025-01-18T18:09:46Z,5463117997,56,Back,5463117999,347,,5463118019,233,5,,,,,,,,,,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585333,5,5,1,0,5,7kt37xy93vjy6wac8vq6fqz3g,0,78.6,-2,2025-01-18T17:31:10.720Z,2025-01-18T17:31:15Z,5463118047,233,3,5463117863,347,,5463117861,56,Right,,,,,,,,,,,,,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585489,4,1,1,0,12,8l30dsub3sutr6j3ruvk650xc,1,16.7,100,2025-01-18T17:31:18.236Z,2025-01-18T17:31:19Z,5463118645,107,,5463118649,140,27.0,5463118659,213,5.82,5463118655,212,12.1,5463118647,56,Back,5463118651,141,93.9,,,,,,,3ws5zg8wy6j86cr8yrqxnsx9m,Paula Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766585505,5,1,1,0,13,8l30dsub3sutr6j3ruvk650xc,1,27,93.9,2025-01-18T17:31:19.131Z,2025-01-18T17:31:21Z,5463118747,141,98.1,5463118743,56,Back,5463118751,213,2.65,5463118749,212,6.1,5463118745,140,21.9,5463118771,156,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
