id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,assist,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/13/value
2772046961,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2025-02-02T18:01:45.293Z,2025-02-02T18:50:28Z,5492575519,30,"bxrfg32lc9sspg2ewx160yqxh, tzc4bqcf2wkz1k7d96l8g3my, 7um4xb0p8zr4o11lsyd9n0hqt, 90qa8llm1atqyk6k7xbyjpln9, 78f7fs64o2wlgzys9fmlmk1yh, elelvar8kyxwpfqzwr1v00b85, 1to70vfsch5kwvw3kjgo1iggl, 5nad4qgy5hlwfsm64mhkwadw5, ctzcuzproy4kwpa5wweruw3px, 9zdmc8v5sfrv9z7da49odn4a2, a1v4wcs80zp79nq6u2efnzgfd, 4vgx21i9mmnoud5h6px197f11, 1oib97ihu6ofz1fvsvih0mnkl, 5kbwhmf4o0nfhvcl3j774fzoq, bdxyymqus7p5r9g6spjbq02xh, zk4ronpcad8dn05o88b29yhh, e6cmu4ldmjrd36qcd3983ee7e, bpktqs6zdoml7z1ykcqhif2wa, enqn8azrcz6vks9d21ze9w2c5, 3kg34rp7ealsortc9i0bqyxw4",5492575525,130,2,5492575523,59,"1, 29, 6, 12, 15, 5, 8, 10, 9, 17, 7, 22, 21, 2, 20, 14, 11, 13, 23, 31",5492575529,194,ctzcuzproy4kwpa5wweruw3px,5492575527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5492575531,197,6732,5492575533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5492575521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772047137,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2025-02-02T18:01:54.752Z,2025-02-02T18:01:54Z,5492576511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5492576507,30,"8btgs1e799s3xyjfqloeg2iju, 13up673x1kzlwwi22awilagvd, 8e7wbpcbwxvdz0fojwuyov3rp, dqpv2janh4g4qkiqx7h7vs8gl, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 8gh56ar8x8yxjfcm66m7532ll, enh0z58rrftq2m6hybzhgf65l, brs6i21j86k1w7cpgzorrxxwp, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 8ll4dyc6p81nlfz81v8nz3m96, 3u2e56fhs12qok7truspt65zp, acubyto4nolysndygirwjwhzo, a6nt0vn3kgt05g1hdnubrh0yc, 1ry82n1adajgmjtce487u9q1g, ct4fyrkcvk3i01xiz1wpsyuw9, 1234a1tb7y6trj9xsoqvx0x5h",5492576517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5492576513,59,"91, 14, 3, 17, 4, 21, 15, 20, 19, 7, 11, 39, 5, 2, 13, 8, 9, 28",5492576519,194,9t8eb24gwj56ucggp7x0n0ewa,5492576521,197,8474,5492576515,130,8,5492576523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077809,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2025-02-02T18:45:26.459Z,2025-02-02T21:19:11Z,5492745963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077847,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2025-02-02T18:45:26.459Z,2025-02-02T18:45:28Z,5492746193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077873,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,49.9,50,2025-02-02T18:45:26.460Z,2025-02-02T18:45:30Z,5492746303,279,S,5492746297,141,59.1,5492746293,56,Back,5492746299,212,16.8,5492746295,140,35.0,5492746301,213,2.76,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077895,4,1,1,0,3,9ijyncrxsejz505dbadwr1dir,1,39,57.7,2025-02-02T18:45:30.001Z,2025-02-02T21:18:57Z,5492746413,213,6.07,5492746405,56,Center,5492746411,212,15.4,5492746409,141,53.0,5492746407,140,53.3,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077939,5,1,1,0,4,9ijyncrxsejz505dbadwr1dir,1,47.7,52.3,2025-02-02T18:45:30.991Z,2025-02-02T21:19:24Z,5492746635,141,94.0,5492746631,56,Back,5492746633,140,46.3,5492746639,213,1.62,5492746637,212,28.4,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077945,6,1,1,0,6,9ijyncrxsejz505dbadwr1dir,0,42.2,93.2,2025-02-02T18:45:33.414Z,2025-02-02T21:19:29Z,5492746681,141,83.4,5492746685,212,8.6,5492746677,140,47.4,5492746673,56,Back,5492746687,213,5.40,,,,,,,,,,7um4xb0p8zr4o11lsyd9n0hqt,A. Nildén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772077933,3,61,1,0,7,axwnneoekq2f2yq6r1l704y96,1,51.7,8.6,2025-02-02T18:45:34.331Z,2025-02-02T18:45:34Z,5492746617,56,Right,,,,,,,,,,,,,,,,,,,,,,8gh56ar8x8yxjfcm66m7532ll,C. Bizet Ildhusøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772083075,64,61,1,0,10,9ijyncrxsejz505dbadwr1dir,1,44,87.3,2025-02-02T18:45:37.079Z,2025-02-02T18:52:50Z,5492777183,56,Back,,,,,,,,,,,,,,,,,,,,,,90qa8llm1atqyk6k7xbyjpln9,J. Rybrink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
