id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/9/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2756836285,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-12-08T12:15:12.714Z,2024-12-08T13:07:53Z,5410351067,59,"1, 19, 23, 17, 20, 8, 47, 6, 25, 7, 14, 4, 9, 11, 12, 21, 27, 42",5410351077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5410351073,194,e6s5iphbrws04dxrvw0xqd7f9,5410351071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5410351063,30,"ds8eeciyv1vk6nwh26qgy1lg5, aeqzzuu4bp7trwyjezfigr9ih, 24i5v2hlbeen8brcaa79oqjft, avttb0ne86ra4pqruk0d8al05, e6s5iphbrws04dxrvw0xqd7f9, 1o571356wx95l3qbpbe00o991, coq2v02vrvkhdlsio0pactkru, 3fta0gg3ghja3x9ouubjjfzl5, 27iu58a0k5jqsxidnaxbothbd, ekmg1wlig0qdtzhafm3lwsz4l, 3tot15elwrc9lz9ohha1z0ij9, 60yw6ejn1dnlz7ki0q05xsjdg, 57ubfxv6ujkk5cictmez4op1x, 2hbrb48fqcvv05srmzclbyp2i, 8zpj2ov0kc2d7a2b14ys2y8dl, 6kitz3oodxt3ejj5u0fwzhhat, bdiuv7a7j50drm3gsc9ne28dl, 9oge2hx0rg79kf79o55oovnu2",5410351069,130,11,5410351075,197,22620,5410351065,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756838549,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-12-08T12:18:49.032Z,2024-12-08T13:03:46Z,5410363273,130,2,5410363271,59,"27, 29, 6, 24, 15, 5, 8, 25, 9, 17, 7, 26, 2, 20, 10, 14, 13, 77, 30, 31",5410363277,194,ctzcuzproy4kwpa5wweruw3px,5410363269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5410363275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5410363279,197,6732,5410363281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5410363265,30,"ai2jlzvprjrgdyvkgo5kqfl2i, tzc4bqcf2wkz1k7d96l8g3my, 7um4xb0p8zr4o11lsyd9n0hqt, drwlmmiguqz2mfzsh6gjmklx, 78f7fs64o2wlgzys9fmlmk1yh, elelvar8kyxwpfqzwr1v00b85, 1to70vfsch5kwvw3kjgo1iggl, 6aaes6ikbmrg75h6asm58wpg5, ctzcuzproy4kwpa5wweruw3px, 9zdmc8v5sfrv9z7da49odn4a2, a1v4wcs80zp79nq6u2efnzgfd, 55djg9khr4ffwd6aisz5yi9ec, 5kbwhmf4o0nfhvcl3j774fzoq, bdxyymqus7p5r9g6spjbq02xh, 5nad4qgy5hlwfsm64mhkwadw5, zk4ronpcad8dn05o88b29yhh, bpktqs6zdoml7z1ykcqhif2wa, v0q4f70xrc8ylwip5lfva5ed, e3mxj8l3xrr2fa55nqpp86jv8, 3kg34rp7ealsortc9i0bqyxw4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756865933,3,43,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-12-08T13:00:12.168Z,2024-12-08T15:05:25Z,5410505455,141,58.2,5410505459,213,2.56,5410505461,279,S,5410505457,212,10.1,5411331155,144,1,5410505451,56,Back,5410505453,140,42.0,,,,ekmg1wlig0qdtzhafm3lwsz4l,C. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756865653,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-12-08T13:00:26.589Z,2024-12-08T13:00:31Z,5410504075,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756865659,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-12-08T13:00:26.589Z,2024-12-08T13:00:30Z,5410504093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756865981,4,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,49.9,50.1,2024-12-08T13:00:26.590Z,2024-12-08T13:00:34Z,5410505665,278,,5410505657,141,55.2,5410505653,56,Back,5410505655,140,44.1,5410505659,212,7.0,5410505661,213,2.62,5410505663,279,S,,,,ekmg1wlig0qdtzhafm3lwsz4l,C. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756866009,5,1,1,0,6,7kt37xy93vjy6wac8vq6fqz3g,0,44.1,55.2,2024-12-08T13:00:33.498Z,2024-12-08T15:05:36Z,5410505809,140,71.2,5410505819,1,,5410505817,213,5.50,5410505807,56,Right,5410505803,157,,5410505811,141,13.4,5410505813,212,40.2,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756865995,3,1,1,0,7,9ijyncrxsejz505dbadwr1dir,0,32.4,86.8,2024-12-08T13:00:33.822Z,2024-12-08T13:00:35Z,5410505745,213,6.21,5410505737,56,Back,5410505741,141,85.1,5410505743,212,15.8,5410505735,3,,5410505739,140,47.4,,,,,,,7um4xb0p8zr4o11lsyd9n0hqt,A. Nildén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756866097,6,1,1,0,11,7kt37xy93vjy6wac8vq6fqz3g,1,68,4.3,2024-12-08T13:00:37.986Z,2024-12-08T13:00:39Z,5410506245,141,2.9,5410506247,212,7.0,5410506249,213,6.15,5410506241,56,Right,5410506243,140,74.6,,,,,,,,,,coq2v02vrvkhdlsio0pactkru,K. Olesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756866123,7,1,1,0,12,7kt37xy93vjy6wac8vq6fqz3g,1,74.6,2.9,2024-12-08T13:00:39.522Z,2024-12-08T13:00:41Z,5410506349,140,62.0,5410506353,212,13.3,5410506351,141,5.3,5410506357,213,3.02,5410506347,56,Right,,,,,,,,,,aeqzzuu4bp7trwyjezfigr9ih,H. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
