id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,assist,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2743783425,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-11-03T15:46:38.723Z,2024-11-03T16:41:00Z,5339186625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5339186623,130,12,5339186627,194,40drqeciuqe2j07g5cnc6xf55,5339186633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339186629,197,25073,5339186621,59,"1, 4, 12, 6, 23, 17, 14, 18, 11, 9, 8, 16, 2, 3, 5, 7, 13, 20, 34",5339186617,30,"cn8ti0qxxvg0z0vvmwkocggr9, 230r9tcwg89z5b9kxdqwi336d, 40drqeciuqe2j07g5cnc6xf55, 871cll4se1mtci0na61o632dx, 5wjfxb57gtzmp7m29wotyafv9, doqt0my3sg0u3zmfgg59l8zxl, 15b0z85uttk1ibcag2g4476jt, 9v895fdc1blaaboscv14vp149, 91ovdvx90zfx13eu2ood6jmga, 7k5or8x3fqo7qkzii18kwpaeh, efvcf4syatkaw5fbo37i5hat, 6uncwzelwxah4myhp8nzh63md, cq1ojxtj31dshjvlex145zw4q, 9parlijxpxnfis96jwy9p37bp, 13ch4zgnhtydtkf9vlvh68hjp, 9zmawcjx19fpz5yxrh2hkw3c9, bq6qae0iohn03ghdjgqiq7eac, 153m45p2fkc2q8x9zq105g45, d1qqpvdx6b20aqcqav7l2dvdg",5339186619,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743784461,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-11-03T15:47:22.867Z,2024-11-03T16:36:30Z,5339192303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339192299,194,amg2zai9038cdz9uuql3l9rkl,5339192297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339192289,59,"1, 11, 20, 14, 4, 15, 8, 7, 28, 9, 19, 35, 2, 16, 5, 36, 25, 23, 10, 17",5339192277,30,"e0gysmymetthyhdkn2q54l51x, 5ye5h1o9ndhfeqdi8mh4f9une, cpvbitkove7bavl96lkgs1vc9, 6f8lpm5ckuv4z0tbur533qpxx, 9cjjs4piq3t12iltsfon52h91, cnq88jph2nrn0o2tosrp4rmxh, 1dbhha29epjmo8g4xfm5taaj9, brppytuf1766c50274dkue5pm, bpmtdn2uqnwhllfnm59ck6rit, amg2zai9038cdz9uuql3l9rkl, 321yjdo3gio1l33hc1pdps4wl, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, 8jooatan3cxd38v2jyf23pot1, cs8bo5xvtd2bq7kd91flepwwl, 9yzj019fl63gp6fhugc9hrhg4, d80r13kh5f6bcpwsy3cka75d5, 1vpy4utdaxo6zs2enj4tphejt, dzfr9ktjmxqj2eh2xibt7konp, 9jitxfwaeix5fn1n3dhartbhm",5339192283,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5339192301,197,8381,5339192295,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743843687,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-11-03T16:33:25.166Z,2024-11-03T16:33:27Z,5339515725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743843675,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-11-03T16:33:25.166Z,2024-11-03T16:33:25Z,5339515625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743843723,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50,50,2024-11-03T16:33:25.167Z,2024-11-03T16:33:29Z,5339515921,213,3.09,5339515913,56,Back,5339515923,279,S,5339515919,212,14.0,5339515915,140,36.7,5339515917,141,51.0,,,,,,,321yjdo3gio1l33hc1pdps4wl,A. Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743843847,4,1,1,0,4,8l30dsub3sutr6j3ruvk650xc,1,35.1,41.9,2024-11-03T16:33:29.697Z,2024-11-03T16:33:31Z,5339516693,212,14.3,5339516687,56,Back,5339516691,141,23.4,5339516695,213,4.22,5339516689,140,28.6,,,,,,,,,,brppytuf1766c50274dkue5pm,M. Kearns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743843957,5,1,1,0,6,8l30dsub3sutr6j3ruvk650xc,1,29.8,14.6,2024-11-03T16:33:31.782Z,2024-11-03T16:33:34Z,5339517135,213,5.26,5339517131,141,1.9,5339517103,140,34.8,5339517101,56,Back,5339517133,212,10.1,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743844025,6,1,1,0,9,8l30dsub3sutr6j3ruvk650xc,1,34.4,2.5,2024-11-03T16:33:34.645Z,2024-11-03T16:37:16Z,5339517427,56,Back,5339517433,212,5.9,5339517429,140,39.2,5339517431,141,7.0,5339517435,213,0.55,,,,,,,,,,5ye5h1o9ndhfeqdi8mh4f9une,K. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743844061,7,1,1,0,12,8l30dsub3sutr6j3ruvk650xc,0,33.4,4.1,2024-11-03T16:33:37.462Z,2024-11-03T16:33:39Z,5339517603,140,27.9,5339517609,213,1.93,5339517601,56,Back,5339517607,212,16.5,5339517605,141,26.8,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743844077,3,1,1,0,14,mjejb0x57ms54j9ry6s8njwh,0,69.9,69.7,2024-11-03T16:33:39.662Z,2024-11-03T16:33:40Z,5339517695,141,74.2,5339517733,233,8,5339517693,140,74.9,5339517697,212,6.1,5339517731,236,,5339517737,286,,5339517691,56,Center,5339517699,213,0.53,91ovdvx90zfx13eu2ood6jmga,O. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
