id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2731537309,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-10-06T12:30:02.058Z,2024-10-06T13:23:42Z,5272313637,197,738,5272313631,130,12,5272313625,30,"cn8ti0qxxvg0z0vvmwkocggr9, 15b0z85uttk1ibcag2g4476jt, 40drqeciuqe2j07g5cnc6xf55, 871cll4se1mtci0na61o632dx, 5wjfxb57gtzmp7m29wotyafv9, cq1ojxtj31dshjvlex145zw4q, efvcf4syatkaw5fbo37i5hat, 9zmawcjx19fpz5yxrh2hkw3c9, 2nqlq23w7g732ttrbnt2u2s4p, 91ovdvx90zfx13eu2ood6jmga, d0da7ef6pvbmrnw0j93iv1jze, 9parlijxpxnfis96jwy9p37bp, 13ch4zgnhtydtkf9vlvh68hjp, 7k5or8x3fqo7qkzii18kwpaeh, bq6qae0iohn03ghdjgqiq7eac, doqt0my3sg0u3zmfgg59l8zxl, 153m45p2fkc2q8x9zq105g45, d1qqpvdx6b20aqcqav7l2dvdg",5272313639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272313629,59,"1, 14, 12, 6, 23, 2, 8, 7, 10, 11, 15, 3, 5, 9, 13, 17, 20, 34",5272313633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5272313635,194,15b0z85uttk1ibcag2g4476jt,5272313627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731537355,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-10-06T12:30:04.987Z,2024-10-06T13:28:39Z,5272313873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272313859,30,"4vgx21i9mmnoud5h6px197f11, tzc4bqcf2wkz1k7d96l8g3my, 7um4xb0p8zr4o11lsyd9n0hqt, 6aaes6ikbmrg75h6asm58wpg5, elelvar8kyxwpfqzwr1v00b85, 78f7fs64o2wlgzys9fmlmk1yh, 1to70vfsch5kwvw3kjgo1iggl, 5nad4qgy5hlwfsm64mhkwadw5, 9zdmc8v5sfrv9z7da49odn4a2, drwlmmiguqz2mfzsh6gjmklx, a1v4wcs80zp79nq6u2efnzgfd, 55djg9khr4ffwd6aisz5yi9ec, 1oib97ihu6ofz1fvsvih0mnkl, 5kbwhmf4o0nfhvcl3j774fzoq, bdxyymqus7p5r9g6spjbq02xh, zk4ronpcad8dn05o88b29yhh, bpktqs6zdoml7z1ykcqhif2wa, ctzcuzproy4kwpa5wweruw3px, 3kg34rp7ealsortc9i0bqyxw4, e3mxj8l3xrr2fa55nqpp86jv8",5272313865,130,8,5272313863,59,"22, 29, 6, 25, 5, 15, 8, 10, 17, 24, 7, 26, 21, 2, 20, 14, 13, 9, 31, 30",5272313869,194,elelvar8kyxwpfqzwr1v00b85,5272313871,197,6732,5272313867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272313861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731590755,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-10-06T13:14:37.543Z,2024-10-06T13:14:37Z,5272597285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731590789,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-10-06T13:14:37.543Z,2024-10-06T13:14:38Z,5272597423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731590929,3,1,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,50,50,2024-10-06T13:14:37.544Z,2024-10-06T13:14:43Z,5272598117,56,Back,5272598133,212,28.8,5272598127,141,44.2,5272598121,140,22.8,5272598137,213,3.28,5272598139,279,S,,,,,,,2nqlq23w7g732ttrbnt2u2s4p,S. Haug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731590979,4,1,1,0,6,mjejb0x57ms54j9ry6s8njwh,0,24.4,41.3,2024-10-06T13:14:43.571Z,2024-10-06T13:14:45Z,5272598435,56,Center,5272598433,157,,5272598441,212,48.3,5272598439,141,67.6,5272598437,140,67.1,5272598443,213,0.38,5272598445,1,,,,,cn8ti0qxxvg0z0vvmwkocggr9,R. Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731591025,3,1,1,0,7,9ijyncrxsejz505dbadwr1dir,1,30.9,22.7,2024-10-06T13:14:45.365Z,2024-10-06T13:14:47Z,5272598659,140,33.9,5272598665,213,1.11,5272598663,212,7.1,5272598657,56,Back,5272598661,141,32.1,5272598655,3,,,,,,,,tzc4bqcf2wkz1k7d96l8g3my,A. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731591037,4,61,1,0,9,9ijyncrxsejz505dbadwr1dir,0,33.9,32.1,2024-10-06T13:14:47.089Z,2024-10-06T13:14:47Z,5272598709,56,Back,,,,,,,,,,,,,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731591123,5,50,1,0,12,mjejb0x57ms54j9ry6s8njwh,1,65.8,80.6,2024-10-06T13:14:50.036Z,2024-10-06T13:14:52Z,5272599165,286,,5272599163,56,Left,5272599315,233,5,,,,,,,,,,,,,,,,efvcf4syatkaw5fbo37i5hat,F. Nagano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731591137,5,7,1,0,12,9ijyncrxsejz505dbadwr1dir,0,34.2,19.4,2024-10-06T13:14:50.037Z,2024-10-06T13:32:47Z,5272599193,56,Back,5272599195,285,,5272599231,233,5,,,,,,,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
