id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2769264709,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-01-26T14:15:24.322Z,2025-01-26T15:12:37Z,5477536027,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, 24i5v2hlbeen8brcaa79oqjft, 1haq2mkmbebj3jbt0z2jom4lx, e6s5iphbrws04dxrvw0xqd7f9, edc7fwwkl9fcuu9zzxmm3s1nu, ekmg1wlig0qdtzhafm3lwsz4l, 3fta0gg3ghja3x9ouubjjfzl5, 57ubfxv6ujkk5cictmez4op1x, 27iu58a0k5jqsxidnaxbothbd, cbozn7nychmtwwwkrxae2ga21, 1o571356wx95l3qbpbe00o991, 8zpj2ov0kc2d7a2b14ys2y8dl, 3tot15elwrc9lz9ohha1z0ij9, 9qidpdp5vlw8ma2z9synky6ms, etyrg2e7ftd9i9qggqfuy9gk4, aeqzzuu4bp7trwyjezfigr9ih, 9oge2hx0rg79kf79o55oovnu2, coq2v02vrvkhdlsio0pactkru",5477536041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477536039,197,726,5477536029,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5477536031,59,"1, 17, 23, 16, 20, 5, 7, 6, 9, 25, 29, 8, 12, 14, 15, 18, 19, 42, 47",5477536033,130,6,5477536037,194,e6s5iphbrws04dxrvw0xqd7f9,5477536035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769277257,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-01-26T14:27:40.165Z,2025-01-26T15:08:03Z,5477602105,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477602103,197,5223,5477602099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477602101,194,e3n8fh86gv7xkw2zi6jlqelzp,5477602091,30,"dxojafbkfxjskl0ek4nucrnpx, f1xb9y38jfjmrhgv22svv9sa2, 560192sxsuoxdpwpe27ibst05, bnzgfrgoiwlw6boq7e7ngi162, cs3pg64kurip4uftscemh01k9, q3xvi1pbz5hmr6zw6np6v4yd, 81w3pjqsk98f0l09d9ianrbah, e3n8fh86gv7xkw2zi6jlqelzp, 4kddxgnkpjzwkucvert2bhzsa, a5ew0j9hz4ounrjkeco7g6iuh, e93vn46w6kk9xwdb8forgzil1, czz8zqjv03gdbbxiadp90pq6t, dfodeak21qhzgxr7qs85f3vf9, 8t1kb3jiu25l2ztaooa294e09, 9ov9x5gap2t34kv8clhwjqvh1, 628hrbjq5whml5fixspdqvd62, cannlc91eqjjy24i7keyvyaui, 30pcgn07mnn0sk4jp0t7bx9ed, 7oxif0j9hg9lpvrmqj8ocdnmd, e7127p8bj7v1b9ytzhsv7u7tg",5477602093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5477602097,130,2,5477602095,59,"1, 18, 29, 4, 5, 17, 77, 22, 19, 9, 20, 25, 2, 7, 10, 11, 12, 14, 26, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300725,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-01-26T15:01:02.807Z,2025-01-26T15:01:05Z,5477725817,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300715,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-01-26T15:01:02.807Z,2025-01-26T15:01:03Z,5477725779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300743,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,50.2,50.6,2025-01-26T15:01:02.808Z,2025-01-26T15:01:06Z,5477725881,140,45.9,5477725885,141,48.5,5477725893,213,3.45,5477725877,56,Back,5477725889,212,4.7,5477725895,279,S,5477726033,278,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300773,4,1,1,0,3,7kt37xy93vjy6wac8vq6fqz3g,0,45.9,48.5,2025-01-26T15:01:06.246Z,2025-01-26T15:01:07Z,5477726055,157,,5477726057,56,Left,5477726061,141,100.0,5477726063,212,61.0,5477726067,1,,5477726065,213,0.63,5477726059,140,92.7,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300799,3,5,1,0,4,cz26xwowfjp8ei14n9z2ac135,1,8.1,-1.8,2025-01-26T15:01:07.370Z,2025-01-26T15:16:02Z,5477726157,56,Back,5477726163,233,5,5477726159,347,,,,,,,,,,,,,,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300777,5,5,1,0,4,7kt37xy93vjy6wac8vq6fqz3g,0,91.9,101.8,2025-01-26T15:01:07.370Z,2025-01-26T15:01:10Z,5477726185,233,3,5477726081,56,Left,5477726083,347,,,,,,,,,,,,,,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300831,4,1,1,0,11,cz26xwowfjp8ei14n9z2ac135,1,8.4,0,2025-01-26T15:01:14.534Z,2025-01-26T15:01:17Z,5477726369,107,,5477726379,213,0.69,5477726371,56,Back,5477726373,140,17.0,5477726377,212,11.7,5477726375,141,8.9,,,,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769300845,5,1,1,0,14,cz26xwowfjp8ei14n9z2ac135,0,17,8.9,2025-01-26T15:01:17.222Z,2025-01-26T15:01:20Z,5477726441,212,8.7,5477726445,213,4.16,5477726437,141,0.0,5477726429,56,Back,5477726431,140,12.6,,,,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
