id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2771807797,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-02-02T13:19:29.996Z,2025-02-02T14:04:17Z,5491287195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491287187,30,"dxojafbkfxjskl0ek4nucrnpx, f1xb9y38jfjmrhgv22svv9sa2, 560192sxsuoxdpwpe27ibst05, bnzgfrgoiwlw6boq7e7ngi162, 6d8zrjdl4ii8cjpn5vo7emz11, 30pcgn07mnn0sk4jp0t7bx9ed, 81w3pjqsk98f0l09d9ianrbah, e3n8fh86gv7xkw2zi6jlqelzp, 4kddxgnkpjzwkucvert2bhzsa, a5ew0j9hz4ounrjkeco7g6iuh, e93vn46w6kk9xwdb8forgzil1, czz8zqjv03gdbbxiadp90pq6t, dfodeak21qhzgxr7qs85f3vf9, 8t1kb3jiu25l2ztaooa294e09, 9ov9x5gap2t34kv8clhwjqvh1, 628hrbjq5whml5fixspdqvd62, cannlc91eqjjy24i7keyvyaui, q3xvi1pbz5hmr6zw6np6v4yd, 7oxif0j9hg9lpvrmqj8ocdnmd, e7127p8bj7v1b9ytzhsv7u7tg",5491287193,130,2,5491287191,59,"1, 18, 29, 4, 13, 14, 77, 22, 19, 9, 20, 25, 2, 7, 10, 11, 12, 17, 26, 35",5491287189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5491287205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491287197,194,e3n8fh86gv7xkw2zi6jlqelzp,5491287201,197,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771807807,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2025-02-02T13:19:30.226Z,2025-02-02T14:05:19Z,5491287241,194,40drqeciuqe2j07g5cnc6xf55,5491287237,130,12,5491287231,30,"6uncwzelwxah4myhp8nzh63md, cq1ojxtj31dshjvlex145zw4q, 40drqeciuqe2j07g5cnc6xf55, 9parlijxpxnfis96jwy9p37bp, doqt0my3sg0u3zmfgg59l8zxl, 230r9tcwg89z5b9kxdqwi336d, 15b0z85uttk1ibcag2g4476jt, 9v895fdc1blaaboscv14vp149, 91ovdvx90zfx13eu2ood6jmga, 7k5or8x3fqo7qkzii18kwpaeh, 5wswj1tehi9zmdzxrid4qj74l, cn8ti0qxxvg0z0vvmwkocggr9, 9zmawcjx19fpz5yxrh2hkw3c9, efvcf4syatkaw5fbo37i5hat, bq6qae0iohn03ghdjgqiq7eac, dej9w2n7m9uzfb12yozvly5pm, 153m45p2fkc2q8x9zq105g45, eupa2sfidmlkbyxz8uu9b6mfo, 2nqlq23w7g732ttrbnt2u2s4p, 5wjfxb57gtzmp7m29wotyafv9",5491287245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491287239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491287233,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5491287243,197,738,5491287235,59,"16, 2, 12, 3, 17, 4, 14, 18, 11, 9, 24, 1, 7, 8, 13, 19, 20, 36, 10, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835039,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-02-02T14:00:45.123Z,2025-02-02T14:00:48Z,5491425497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835253,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2025-02-02T14:00:45.123Z,2025-02-02T14:00:50Z,5491426585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771840491,65,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50.1,50.1,2025-02-02T14:00:46.019Z,2025-02-02T14:07:36Z,5491460795,56,Back,5491460799,141,47.4,5491460801,212,23.1,5491460797,140,28.2,5491460803,213,3.22,5491461041,279,S,,,,,,,4kddxgnkpjzwkucvert2bhzsa,S. Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771840477,63,1,1,0,1,cz26xwowfjp8ei14n9z2ac135,0,34.3,30.9,2025-02-02T14:00:46.779Z,2025-02-02T14:16:39Z,5491462567,213,0.69,5491462559,56,Center,5491462557,157,,5491462569,1,,5491462561,140,62.8,5491462565,212,38.7,5491462563,141,67.1,,,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835347,3,1,1,0,2,mjejb0x57ms54j9ry6s8njwh,0,36.4,25.6,2025-02-02T14:00:47.123Z,2025-02-02T14:07:32Z,5491427135,140,70.5,5491427143,1,,5491427133,56,Center,5491427139,212,36.4,5491427131,157,,5491427137,141,34.9,5491427141,213,0.17,,,,15b0z85uttk1ibcag2g4476jt,M. Höbinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771840469,62,1,1,0,3,cz26xwowfjp8ei14n9z2ac135,1,34.6,66.9,2025-02-02T14:00:48.635Z,2025-02-02T14:08:24Z,5491468477,212,16.9,5491468469,3,,5491468479,213,0.58,5491468471,56,Back,5491468475,141,80.5,5491468473,140,48.1,,,,,,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771843729,80,61,1,0,11,cz26xwowfjp8ei14n9z2ac135,1,44,82.8,2025-02-02T14:00:56.547Z,2025-02-02T14:09:20Z,5491473869,56,Back,,,,,,,,,,,,,,,,,,,,,,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835429,3,1,1,0,12,cz26xwowfjp8ei14n9z2ac135,0,40.5,60.2,2025-02-02T14:00:57.387Z,2025-02-02T14:00:58Z,5491427541,140,60.1,5491427543,141,62.0,5491427545,212,20.6,5491427537,157,,5491427547,213,0.06,5491427549,1,,5491427539,56,Center,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
