id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2766915439,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2025-01-19T13:15:09.179Z,2025-01-19T14:52:04Z,5464850539,197,723,5464850527,30,"c8jqnf6qf93zkyzdxtz20tgix, 1o0o6thivoulnmsklkpbwpiad, 6679bfd6bjylogbe4ebese85x, e3fa1ou90dirp8yjjterhrs9h, 6zaowm8oua2nzpobekogff1lh, n70i0c7uk1qxianxoiotqmeh, 5m2ilglr6tlmgs2d4qzk5wno5, 30z4o4w3iw0frztn9isqwx2ei, 5qxvej7pcqqr989sba7k0jv85, 3sn815dsm0i0rnw9nigjyb0et, 6291bj0xqq1w2631bajrpeb4l, dib5a7vebmtxqcksi1tuteklx, dzcslji43ovtyyvy37dewv2fo, bd1752qgxbodnsgdus42fc99l, 3kfxvwa38a7oq0d126jm4o9ka, e8ivbfq0irn8f2p8krhkikzx1, 8lfnj5bvo97dimx52no42nmqd, dcr6epadtrotjsk6yzsir7t62, 70axdagp6dkm3fvv79ofsxfro, ddagc0khq0zh1ywynyci8nzrp",5464850541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5464850531,59,"14, 12, 11, 7, 6, 2, 10, 32, 23, 9, 8, 1, 40, 3, 5, 13, 26, 16, 62, 19",5464850535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5464850537,194,5m2ilglr6tlmgs2d4qzk5wno5,5464850529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5464850533,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766916285,1,34,16,0,0,6o6989d7o4w1kn35cu75y1mny,1,0,0,2025-01-19T13:16:08.632Z,2025-01-19T14:02:12Z,5464854811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5464854815,197,25092,5464854817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5464854813,194,da2wvt67j64u7zlybcel46n3e,5464854809,130,11,5464854803,30,"4x0c0fhtuohubcm7u16qzr2wa, 9mfotw533oa5qs1muu2z8t8lx, 2jwojltrp06sa8qloordtohrd, 8kmne7pn10uwqe6g1kc4w69cl, da2wvt67j64u7zlybcel46n3e, 5k2tg6abpiefmb8cu4ef7z4k5, d3uulb80d2j3hciw1v7ueodwq, 3acexvvnl6jkxur5649bwjpxw, dw593ezeekrbzlc2qhtc805p1, 6spinfzc1go7q5euom2apcdwq, 70h5ahiv905igqhjk86okzwt1, bhby3ex548cqf2rd527fk9iad, 8ojm3gdn5n6t8vw7by016uvh1, d9cewkta4tz35v0p71n5mcvkl, 3y8r35i7dm7sbgd9bxjd0je5m, bibuxh4qtt5zr3er5o8pssvzd, cpujkte9oflwdrorh61l50v10",5464854807,59,"30, 14, 23, 2, 6, 15, 5, 17, 28, 10, 22, 19, 3, 4, 8, 11, 27",5464854805,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944219,2,32,1,0,0,6o6989d7o4w1kn35cu75y1mny,1,0,0,2025-01-19T14:00:01.778Z,2025-01-19T14:00:02Z,5465002101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944225,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2025-01-19T14:00:01.778Z,2025-01-19T14:00:04Z,5465002137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944237,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50,50,2025-01-19T14:00:01.779Z,2025-01-19T14:00:05Z,5465002179,212,23.7,5465002183,213,3.12,5465002185,279,S,5465002175,140,27.4,5465002177,141,50.7,5465002173,56,Back,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944245,3,43,1,0,2,6o6989d7o4w1kn35cu75y1mny,1,0,0,2025-01-19T14:00:04.167Z,2025-01-19T14:00:06Z,5465002213,56,Center,5465002305,144,61,,,,,,,,,,,,,,,,,,,8kmne7pn10uwqe6g1kc4w69cl,K. Veje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944287,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,27.2,51.9,2025-01-19T14:00:05.137Z,2025-01-19T14:00:08Z,5465002417,56,Back,5465002425,213,1.54,5465002421,141,72.4,5465002423,212,13.9,5465002419,140,27.6,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944307,5,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,31.9,68.5,2025-01-19T14:00:08.178Z,2025-01-19T14:00:10Z,5465002545,213,4.57,5465002541,141,47.6,5465002543,212,14.4,5465002539,140,29.9,5465002537,56,Back,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944353,6,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,28.7,46.6,2025-01-19T14:00:10.483Z,2025-01-19T14:00:14Z,5465002761,56,Back,5465002767,141,10.4,5465002763,140,32.1,5465002773,213,4.86,5465002771,212,24.9,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766944439,7,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,32,16.8,2025-01-19T14:00:14.499Z,2025-01-19T14:00:20Z,5465003169,140,28.5,5465003173,212,21.2,5465003171,141,47.5,5465003175,213,1.75,5465003167,56,Back,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
