id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2749020823,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-11-17T14:15:11.785Z,2024-11-17T15:04:34Z,5367914703,197,726,5367914695,59,"1, 19, 17, 23, 8, 20, 25, 6, 9, 7, 14, 4, 11, 12, 13, 21, 38, 40, 42, 47",5367914697,130,11,5367914705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5367914691,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5367914687,30,"ds8eeciyv1vk6nwh26qgy1lg5, aeqzzuu4bp7trwyjezfigr9ih, avttb0ne86ra4pqruk0d8al05, 24i5v2hlbeen8brcaa79oqjft, 1o571356wx95l3qbpbe00o991, e6s5iphbrws04dxrvw0xqd7f9, 27iu58a0k5jqsxidnaxbothbd, 3fta0gg3ghja3x9ouubjjfzl5, 57ubfxv6ujkk5cictmez4op1x, ekmg1wlig0qdtzhafm3lwsz4l, 3tot15elwrc9lz9ohha1z0ij9, 60yw6ejn1dnlz7ki0q05xsjdg, 2hbrb48fqcvv05srmzclbyp2i, 8zpj2ov0kc2d7a2b14ys2y8dl, ei8nkccvojz33whslareh4a1h, 6kitz3oodxt3ejj5u0fwzhhat, dkcbvcqk9uzamv07oe49uznys, ea9dttgvt5s0lzmm355ttbsic, 9oge2hx0rg79kf79o55oovnu2, coq2v02vrvkhdlsio0pactkru",5367914701,194,e6s5iphbrws04dxrvw0xqd7f9,5367914699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749020827,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-11-17T14:15:12.365Z,2024-11-17T15:15:05Z,5367914725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5367914719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5367914727,194,40drqeciuqe2j07g5cnc6xf55,5367914723,130,19,5367914717,30,"6uncwzelwxah4myhp8nzh63md, 230r9tcwg89z5b9kxdqwi336d, 40drqeciuqe2j07g5cnc6xf55, 5wjfxb57gtzmp7m29wotyafv9, doqt0my3sg0u3zmfgg59l8zxl, d1qqpvdx6b20aqcqav7l2dvdg, 15b0z85uttk1ibcag2g4476jt, efvcf4syatkaw5fbo37i5hat, 91ovdvx90zfx13eu2ood6jmga, 7k5or8x3fqo7qkzii18kwpaeh, 9v895fdc1blaaboscv14vp149, 5t33t50frov7hoglzo0oxaql0, 9parlijxpxnfis96jwy9p37bp, 13ch4zgnhtydtkf9vlvh68hjp, 9zmawcjx19fpz5yxrh2hkw3c9, bq6qae0iohn03ghdjgqiq7eac, 153m45p2fkc2q8x9zq105g45, eupa2sfidmlkbyxz8uu9b6mfo",5367914729,197,738,5367914721,59,"16, 4, 12, 23, 17, 34, 14, 8, 11, 9, 18, 47, 3, 5, 7, 13, 20, 36",5367914731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034009,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2024-11-17T15:00:27.234Z,2024-11-17T15:00:29Z,5367984973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749033999,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-11-17T15:00:27.234Z,2024-11-17T19:14:50Z,5367984961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034011,3,1,1,0,0,mjejb0x57ms54j9ry6s8njwh,0,50,50,2024-11-17T15:00:27.235Z,2024-11-17T15:00:40Z,5367984987,213,0.66,5367984985,212,57.0,5367984983,141,100.0,5367985061,157,,5367984989,1,,5367985155,279,S,5367984979,56,Left,5367984981,140,92.8,15b0z85uttk1ibcag2g4476jt,M. Höbinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034017,3,5,1,0,3,7kt37xy93vjy6wac8vq6fqz3g,1,8.6,-1.6,2024-11-17T15:00:31.082Z,2024-11-17T15:08:14Z,5367985015,233,4,5367985011,56,Back,5367985013,347,,,,,,,,,,,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034013,4,5,1,0,3,mjejb0x57ms54j9ry6s8njwh,0,91.4,101.6,2024-11-17T15:00:31.082Z,2024-11-17T15:00:34Z,5367984993,56,Left,5367984995,347,,5367985021,233,3,,,,,,,,,,,,,,,,15b0z85uttk1ibcag2g4476jt,M. Höbinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034061,4,1,1,0,16,7kt37xy93vjy6wac8vq6fqz3g,0,11,0,2024-11-17T15:00:43.356Z,2024-11-17T15:02:19Z,5367985233,56,Back,5367985241,213,0.35,5367985231,107,,5367985239,212,18.7,5367985235,140,27.7,5367985237,141,8.0,,,,,,,aeqzzuu4bp7trwyjezfigr9ih,H. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749035799,99,1,1,0,17,mjejb0x57ms54j9ry6s8njwh,1,73.8,96.7,2024-11-17T15:00:44.456Z,2024-11-17T15:07:39Z,5367995425,1,,5367995423,157,,5367995387,140,79.1,5367995385,56,Center,5367995391,212,17.2,5367995393,213,5.04,5367995389,141,72.8,,,,9v895fdc1blaaboscv14vp149,C. Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034067,5,49,1,0,20,mjejb0x57ms54j9ry6s8njwh,1,74.8,78.4,2024-11-17T15:00:47.724Z,2024-11-17T15:00:47Z,,,,,,,,,,,,,,,,,,,,,,,,,91ovdvx90zfx13eu2ood6jmga,O. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034069,6,50,1,0,21,mjejb0x57ms54j9ry6s8njwh,1,75,73,2024-11-17T15:00:48.811Z,2024-11-17T15:00:54Z,5367985331,233,5,5367985287,286,,5367985285,56,Center,,,,,,,,,,,,,,,,91ovdvx90zfx13eu2ood6jmga,O. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034075,5,7,1,0,21,7kt37xy93vjy6wac8vq6fqz3g,0,25,27,2024-11-17T15:00:48.812Z,2024-11-17T19:28:04Z,5367985325,233,6,5368397309,385,,5367985323,285,,5367985321,56,Back,,,,,,,,,,,,,aeqzzuu4bp7trwyjezfigr9ih,H. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749036347,69,83,1,0,22,7kt37xy93vjy6wac8vq6fqz3g,0,26.4,27.4,2024-11-17T15:00:49.238Z,2024-11-17T15:09:10Z,5367997587,399,91ovdvx90zfx13eu2ood6jmga,,,,,,,,,,,,,,,,,,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034079,7,1,1,0,23,mjejb0x57ms54j9ry6s8njwh,1,71.1,76.7,2024-11-17T15:00:50.277Z,2024-11-17T15:00:52Z,5367985349,141,60.6,5367985353,213,3.93,5367985347,140,60.7,5367985351,212,15.5,5367985345,56,Center,,,,,,,,,,91ovdvx90zfx13eu2ood6jmga,O. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034087,8,1,1,0,24,mjejb0x57ms54j9ry6s8njwh,1,60.7,60.6,2024-11-17T15:00:52.044Z,2024-11-17T15:00:55Z,5367985389,212,11.9,5367985383,56,Center,5367985391,213,4.03,5367985385,140,53.5,5367985387,141,47.0,,,,,,,,,,efvcf4syatkaw5fbo37i5hat,F. Nagano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749034097,9,1,1,0,27,mjejb0x57ms54j9ry6s8njwh,1,48.4,45.8,2024-11-17T15:00:54.860Z,2024-11-17T15:01:00Z,5367985455,213,1.70,5367985453,212,18.2,5367985449,140,46.2,5367985447,56,Back,5367985451,141,72.3,,,,,,,,,,doqt0my3sg0u3zmfgg59l8zxl,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
