id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2748682271,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-11-16T11:45:33.111Z,2024-11-16T12:45:06Z,5366087265,194,e3n8fh86gv7xkw2zi6jlqelzp,5366087269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5366087261,130,7,5366087263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5366087255,30,"dxojafbkfxjskl0ek4nucrnpx, dfodeak21qhzgxr7qs85f3vf9, f1xb9y38jfjmrhgv22svv9sa2, e3n8fh86gv7xkw2zi6jlqelzp, cs3pg64kurip4uftscemh01k9, 30pcgn07mnn0sk4jp0t7bx9ed, 628hrbjq5whml5fixspdqvd62, bnzgfrgoiwlw6boq7e7ngi162, a5ew0j9hz4ounrjkeco7g6iuh, 81w3pjqsk98f0l09d9ianrbah, e93vn46w6kk9xwdb8forgzil1, czz8zqjv03gdbbxiadp90pq6t, 8t1kb3jiu25l2ztaooa294e09, 9ov9x5gap2t34kv8clhwjqvh1, cannlc91eqjjy24i7keyvyaui, 54hjbtj3pm6a4qruhfsz6z3zd, q3xvi1pbz5hmr6zw6np6v4yd, cqfxdqu4j8ws6ejoklc7ahz6y, 2zatof747jxpl4fl2ifie47pw, 8oodn5j37l323zriztyypkx78",5366087259,59,"1, 2, 18, 22, 5, 14, 11, 4, 9, 77, 20, 25, 7, 10, 12, 21, 17, 33, 36, 44",5366087257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5366087267,197,24472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748685359,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-11-16T12:01:21.721Z,2024-11-16T13:05:12Z,5366105457,59,"32, 27, 3, 19, 18, 5, 11, 6, 14, 9, 21, 8, 10, 17, 20, 25, 28, 59, 61, 63",5366105467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5366105465,197,24727,5366105461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5366105453,30,"el8c138wsa0bnop68caop5uxh, 8jcspom7vgzuzen8yw4php711, 8lf62k2iwmb23gywex08s6m09, dedol1cdecfmywapqdnndxucp, af3x1ptiil8vti00lxf1x8ewa, 18f6a50q9okw7dcii40i8vd91, d1fnp3b9t3mfz4aj2csayfhwq, 5t9mthxv6kthq6tnntv5q4fdh, 8m3okb64mh1m7dfmp0km4wct1, c705ailfiov40xwoysz0ggct1, 5zscs0qkg39k01a2n0qu9tvkk, 52w10pe7mkfv4twb2p2c5ugnp, 2hkkfeyzmu2pkqgjw3bpl7cnp, 7273nb8va4nhiathm3qpatii1, 9t2pn6dp6w38b169a5qo9c60a, 2eoggfnen5l1u32thxevo3sb8, 4uest450f12ikgunglu92j0tl, 4payujvwgv750r4y1eeprn1g4, 3m0u2csibgcyfm6sf8jzq5ct0, 99s0gm8evx0ftk6pyc6pju3v8",5366105459,130,3,5366105455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5366105463,194,5t9mthxv6kthq6tnntv5q4fdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690653,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-11-16T12:31:00.182Z,2024-11-16T13:24:58Z,5366136923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690657,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-11-16T12:31:00.182Z,2024-11-16T12:31:01Z,5366136943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690665,3,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50.2,50,2024-11-16T12:31:00.183Z,2024-11-16T12:31:03Z,5366136985,213,3.07,5366136981,141,51.9,5366136983,212,18.8,5366136977,56,Back,5366136979,140,32.3,5366136987,279,S,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690673,4,1,1,0,2,cz26xwowfjp8ei14n9z2ac135,0,32.3,51.9,2024-11-16T12:31:03.153Z,2024-11-16T12:31:04Z,5366137017,140,75.3,5366137021,212,45.8,5366137025,1,,5366137023,213,0.17,5366137013,157,,5366137015,56,Center,5366137019,141,63.6,,,,cs3pg64kurip4uftscemh01k9,A. Tysiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690679,3,49,1,0,4,dcdnoyf6kzhj46iyfm7xq43fy,1,20.5,32.2,2024-11-16T12:31:04.959Z,2024-11-16T12:31:05Z,,,,,,,,,,,,,,,,,,,,,,,,,af3x1ptiil8vti00lxf1x8ewa,M. Symonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690681,4,1,1,0,5,dcdnoyf6kzhj46iyfm7xq43fy,1,20.7,30.9,2024-11-16T12:31:05.519Z,2024-11-16T12:31:06Z,5366137063,213,4.71,5366137059,141,21.5,5366137055,56,Back,5366137061,212,6.4,5366137057,140,20.7,,,,,,,,,,af3x1ptiil8vti00lxf1x8ewa,M. Symonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690683,5,1,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,1,20.7,21.5,2024-11-16T12:31:06.558Z,2024-11-16T12:31:07Z,5366137077,213,0.22,5366137071,140,29.8,5366137075,212,9.8,5366137069,56,Back,5366137073,141,24.7,,,,,,,,,,8jcspom7vgzuzen8yw4php711,R. McLauchlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748690685,6,1,1,0,7,dcdnoyf6kzhj46iyfm7xq43fy,1,29.8,24.7,2024-11-16T12:31:07.695Z,2024-11-16T12:31:39Z,5366137085,141,20.1,5366137089,213,3.76,5366137081,56,Back,5366137083,140,25.6,5366137087,212,5.4,5366137093,156,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
