id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2766051935,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2025-01-17T18:15:11.194Z,2025-01-17T20:13:51Z,5460319831,30,"6uncwzelwxah4myhp8nzh63md, cq1ojxtj31dshjvlex145zw4q, 40drqeciuqe2j07g5cnc6xf55, 9parlijxpxnfis96jwy9p37bp, d1qqpvdx6b20aqcqav7l2dvdg, 230r9tcwg89z5b9kxdqwi336d, 5wswj1tehi9zmdzxrid4qj74l, 9v895fdc1blaaboscv14vp149, 91ovdvx90zfx13eu2ood6jmga, 9zmawcjx19fpz5yxrh2hkw3c9, efvcf4syatkaw5fbo37i5hat, cn8ti0qxxvg0z0vvmwkocggr9, 7k5or8x3fqo7qkzii18kwpaeh, bq6qae0iohn03ghdjgqiq7eac, 15b0z85uttk1ibcag2g4476jt, doqt0my3sg0u3zmfgg59l8zxl, 153m45p2fkc2q8x9zq105g45, dej9w2n7m9uzfb12yozvly5pm, eupa2sfidmlkbyxz8uu9b6mfo, 5wjfxb57gtzmp7m29wotyafv9",5460319853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5460319849,194,40drqeciuqe2j07g5cnc6xf55,5460319841,130,12,5460319851,197,738,5460319833,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5460319845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5460319839,59,"16, 2, 12, 3, 34, 4, 24, 18, 11, 7, 8, 1, 9, 13, 14, 17, 20, 19, 36, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766055821,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-01-17T18:30:59.508Z,2025-01-17T18:43:11Z,5460341517,130,17,5460341521,194,5t9mthxv6kthq6tnntv5q4fdh,5460341515,59,"32, 27, 19, 3, 5, 16, 6, 10, 9, 11, 20, 28, 2, 8, 17, 18, 21, 46",5460341525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5460341511,30,"el8c138wsa0bnop68caop5uxh, 8jcspom7vgzuzen8yw4php711, dedol1cdecfmywapqdnndxucp, 8lf62k2iwmb23gywex08s6m09, 18f6a50q9okw7dcii40i8vd91, dld1dfaxrkcje24pmw72odzpw, 5t9mthxv6kthq6tnntv5q4fdh, 2hkkfeyzmu2pkqgjw3bpl7cnp, c705ailfiov40xwoysz0ggct1, d1fnp3b9t3mfz4aj2csayfhwq, 9t2pn6dp6w38b169a5qo9c60a, 4uest450f12ikgunglu92j0tl, 589yqifloa5j7qwp2gnemyml1, 52w10pe7mkfv4twb2p2c5ugnp, 7273nb8va4nhiathm3qpatii1, af3x1ptiil8vti00lxf1x8ewa, 5zscs0qkg39k01a2n0qu9tvkk, 99rp3jhhal9j9d2miufb5tp90",5460341523,197,24727,5460341519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5460341513,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066395,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-01-17T19:00:59.744Z,2025-01-17T19:01:01Z,5460394247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066389,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2025-01-17T19:00:59.744Z,2025-01-17T21:12:30Z,5460394223,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066429,3,1,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,50,50,2025-01-17T19:00:59.745Z,2025-01-17T19:08:00Z,5460394419,140,23.5,5460394423,212,27.8,5460394427,279,S,5460394425,213,3.14,5460394417,56,Back,5460394421,141,49.9,,,,,,,91ovdvx90zfx13eu2ood6jmga,O. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066461,4,1,1,0,4,mjejb0x57ms54j9ry6s8njwh,1,22.8,45.1,2025-01-17T19:01:04.210Z,2025-01-17T19:01:07Z,5460394591,213,5.00,5460394583,56,Back,5460394585,140,26.3,5460394589,212,12.8,5460394587,141,27.1,,,,,,,,,,6uncwzelwxah4myhp8nzh63md,T. Micah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066495,5,1,1,0,7,mjejb0x57ms54j9ry6s8njwh,1,25.6,26.8,2025-01-17T19:01:07.089Z,2025-01-17T19:01:09Z,5460394739,141,48.8,5460394741,212,16.9,5460394737,140,18.1,5460394735,56,Back,5460394743,213,2.06,,,,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066543,6,1,1,0,10,mjejb0x57ms54j9ry6s8njwh,1,18.7,52.7,2025-01-17T19:01:09.825Z,2025-01-17T19:01:13Z,5460394963,140,19.2,5460394961,56,Back,5460394965,141,76.0,5460394969,213,1.54,5460394967,212,15.9,,,,,,,,,,6uncwzelwxah4myhp8nzh63md,T. Micah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066577,7,1,1,0,13,mjejb0x57ms54j9ry6s8njwh,1,19.3,70.6,2025-01-17T19:01:13.730Z,2025-01-17T19:01:17Z,5460395151,212,18.8,5460395153,213,4.00,5460395149,141,49.7,5460395145,56,Back,5460395147,140,7.6,,,,,,,,,,9parlijxpxnfis96jwy9p37bp,G. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066605,8,1,1,0,17,mjejb0x57ms54j9ry6s8njwh,1,5.6,47.9,2025-01-17T19:01:16.978Z,2025-01-17T19:01:19Z,5460395301,140,18.5,5460395307,213,0.28,5460395305,212,14.1,5460395303,141,53.7,5460395299,56,Back,,,,,,,,,,6uncwzelwxah4myhp8nzh63md,T. Micah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066611,9,61,1,0,18,mjejb0x57ms54j9ry6s8njwh,0,19.2,53.4,2025-01-17T19:01:18.026Z,2025-01-17T19:08:35Z,5460395333,56,Back,,,,,,,,,,,,,,,,,,,,,,d1qqpvdx6b20aqcqav7l2dvdg,H. Silcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066619,3,49,1,0,19,dcdnoyf6kzhj46iyfm7xq43fy,1,72,57.5,2025-01-17T19:01:19.021Z,2025-01-17T19:08:54Z,,,,,,,,,,,,,,,,,,,,,,,,,2hkkfeyzmu2pkqgjw3bpl7cnp,J. Čanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766072571,99,83,1,0,20,mjejb0x57ms54j9ry6s8njwh,0,19.1,52.1,2025-01-17T19:01:19.918Z,2025-01-17T19:08:52Z,5460426691,399,2hkkfeyzmu2pkqgjw3bpl7cnp,,,,,,,,,,,,,,,,,,,,,,d1qqpvdx6b20aqcqav7l2dvdg,H. Silcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066669,4,1,1,0,21,dcdnoyf6kzhj46iyfm7xq43fy,1,73.1,50.7,2025-01-17T19:01:20.771Z,2025-01-17T19:01:23Z,5460395577,213,4.93,5460395575,212,17.5,5460395569,56,Center,5460395571,140,76.7,5460395573,141,25.5,,,,,,,,,,2hkkfeyzmu2pkqgjw3bpl7cnp,J. Čanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066673,5,50,1,0,24,dcdnoyf6kzhj46iyfm7xq43fy,1,77,25.9,2025-01-17T19:01:23.795Z,2025-01-17T19:56:51Z,5460395597,56,Center,5460395599,286,,5460395831,233,10,,,,,,,,,,,,,,,,d1fnp3b9t3mfz4aj2csayfhwq,K. Seike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066713,10,7,1,0,24,mjejb0x57ms54j9ry6s8njwh,1,23,74.1,2025-01-17T19:01:23.796Z,2025-01-17T21:13:01Z,5460395821,233,5,5460880433,384,,5460395789,285,,5460395787,56,Back,,,,,,,,,,,,,40drqeciuqe2j07g5cnc6xf55,T. Hinds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066717,11,49,1,0,27,mjejb0x57ms54j9ry6s8njwh,1,11.7,64.9,2025-01-17T19:01:27.106Z,2025-01-17T19:01:27Z,,,,,,,,,,,,,,,,,,,,,,,,,d1qqpvdx6b20aqcqav7l2dvdg,H. Silcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766066741,12,1,1,0,27,mjejb0x57ms54j9ry6s8njwh,1,7.8,68.2,2025-01-17T19:01:27.718Z,2025-01-17T19:01:30Z,5460395937,141,86.5,5460395935,140,6.1,5460395941,213,1.71,5460395933,56,Back,5460395939,212,12.6,,,,,,,,,,d1qqpvdx6b20aqcqav7l2dvdg,H. Silcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
