id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2768476191,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-01-25T11:16:55.686Z,2025-01-25T12:03:56Z,5473416619,30,"1vejfm6fcp0xeyk30r6hv79wp, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, 96m4k5sb92ttshdu7ktfm2aqd, 23kah59nbx1m7ro3imaaevoph, bmw6mvkeropjorm2rxzw2fzai, wupxscyf4x7rsjidpmp0wnv9, 8i8zuouah6iycf9fdfmkdlppm, brflebs8m00rgali2owyoyove, 2ed87s29sld107jhmvmsdg7bo, 4iweh8975rkssez3r9vlk1wfe, 3f6hkia6zu8xuwasqdz3w759m, cm84oje8txj7m34zuhhv68ct1, 1hoivq7vrd8hx0e5gk4tuyxyi, ekiwe5yf61qrcnlbk3fo68222, 22blwbf4rlay0jfdecsxvu1hw, 1bw2kkdm9fcqpl2brljc0g8vd",5473416631,197,1154,5473416623,59,"31, 18, 15, 25, 4, 27, 10, 16, 6, 20, 8, 12, 3, 19, 21, 28, 30, 46, 14",5473416629,194,470uu9issmbdfyhxjq75gdbs9,5473416633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5473416625,130,4,5473416627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5473416621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768478009,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2025-01-25T11:25:07.676Z,2025-01-25T12:10:55Z,5473426733,130,8,5473426739,197,8381,5473426741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5473426727,30,"e0gysmymetthyhdkn2q54l51x, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, 9yzs0w3tjas15ic0o2b51q86h, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, 321yjdo3gio1l33hc1pdps4wl, 1dbhha29epjmo8g4xfm5taaj9, 1vpy4utdaxo6zs2enj4tphejt, amg2zai9038cdz9uuql3l9rkl, cpvbitkove7bavl96lkgs1vc9, 8jooatan3cxd38v2jyf23pot1, 3ws5zg8wy6j86cr8yrqxnsx9m, cnq88jph2nrn0o2tosrp4rmxh, d80r13kh5f6bcpwsy3cka75d5, 5ye5h1o9ndhfeqdi8mh4f9une, 9jitxfwaeix5fn1n3dhartbhm, bpmtdn2uqnwhllfnm59ck6rit, 55djg9khr4ffwd6aisz5yi9ec",5473426737,194,amg2zai9038cdz9uuql3l9rkl,5473426731,59,"1, 2, 33, 22, 4, 14, 19, 8, 23, 9, 20, 16, 3, 15, 25, 11, 17, 28, 30",5473426729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5473426735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487875,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-01-25T12:00:28.390Z,2025-01-25T12:00:28Z,5473480821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487883,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2025-01-25T12:00:28.390Z,2025-01-25T17:12:36Z,5473480849,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487913,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,49.9,49.9,2025-01-25T12:00:28.391Z,2025-01-25T12:00:32Z,5473480975,213,3.06,5473480967,56,Back,5473480977,279,S,5473480971,141,52.8,5473480969,140,27.6,5473480973,212,23.5,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487923,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,0,29.6,53.3,2025-01-25T12:00:32.627Z,2025-01-25T12:00:34Z,5473481017,1,,5473481011,141,34.2,5473481005,157,,5473481013,212,36.4,5473481007,56,Center,5473481015,213,5.92,5473481009,140,62.0,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487953,3,1,1,0,6,8l30dsub3sutr6j3ruvk650xc,0,28.8,63.3,2025-01-25T12:00:35.379Z,2025-01-25T12:00:36Z,5473481135,56,Back,5473481141,212,12.8,5473481143,213,0.44,5473481133,3,,5473481139,141,71.4,5473481137,140,39.8,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768487971,5,1,1,0,8,36tr17foeaf9ejjmt2txuoy3y,0,56.8,30.9,2025-01-25T12:00:36.403Z,2025-01-25T12:05:00Z,5473481245,141,37.2,5473481241,140,66.8,5473481247,212,11.3,5473481237,56,Center,5473481249,213,0.39,5473481235,3,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768488013,4,1,1,0,9,8l30dsub3sutr6j3ruvk650xc,0,32.2,65.4,2025-01-25T12:00:37.939Z,2025-01-25T12:00:40Z,5473481451,140,47.9,5473481457,141,43.6,5473481461,213,5.55,5473481447,56,Back,5473481459,212,22.2,5473481463,1,,5473481443,157,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768488027,6,61,1,0,14,36tr17foeaf9ejjmt2txuoy3y,1,53.6,56.4,2025-01-25T12:00:42.635Z,2025-01-25T12:05:24Z,5473481519,56,Center,,,,,,,,,,,,,,,,,,,,,,brflebs8m00rgali2owyoyove,M. Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
