id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2733735675,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2024-10-13T12:21:00.217Z,2024-10-13T13:02:39Z,5284400009,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, 9ww7juyjcdpja51ov7t9hnf1l, d3qtg5xhiwe3zamb4mh50whjp, 4u9olqnk9orietagu35v6s355, 38gaf1qjazayc2lo9wvly9tzo, 3km1u2mw1tkioh2mucow7d1pl, 60q198d41n3y887jeiezr850q, 7p90xt2oakctnbc9a0bgbjpw5, 1ct6g590mpcg14jw94v4g2tm2, bxrfg32lc9sspg2ewx160yqxh, 15ueea8j21zale5d23rifkct1, 5mcszf3yuxwxcggl8ds2v1a7d, cf88cbpwlbfw6ampeklh3kcbu, 3hi3jauxk9i5k94dniki04mei, 1d7tayhjn8fifmy0brq7b5bvu, 3322apmmg9crui9646d4cbm5l, ceww6vauxaqddgogso515rcru, 8o43d3brdt33k5s01cja64s9g",5284400021,197,25096,5284400017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5284400011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5284400015,130,8,5284400013,59,"1, 4, 2, 6, 5, 22, 28, 3, 30, 29, 20, 23, 11, 17, 31, 18, 10, 7, 12, 55",5284400019,194,d3qtg5xhiwe3zamb4mh50whjp,5284400023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733735699,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-10-13T12:21:15.388Z,2024-10-13T13:07:18Z,5284400201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5284400207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5284400193,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 6f8lpm5ckuv4z0tbur533qpxx, brppytuf1766c50274dkue5pm, cnq88jph2nrn0o2tosrp4rmxh, 9cjjs4piq3t12iltsfon52h91, 1vpy4utdaxo6zs2enj4tphejt, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, bpmtdn2uqnwhllfnm59ck6rit, cpvbitkove7bavl96lkgs1vc9, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, d80r13kh5f6bcpwsy3cka75d5, dzfr9ktjmxqj2eh2xibt7konp, 5ye5h1o9ndhfeqdi8mh4f9une, 321yjdo3gio1l33hc1pdps4wl, 9jitxfwaeix5fn1n3dhartbhm",5284400195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5284400199,130,8,5284400203,194,amg2zai9038cdz9uuql3l9rkl,5284400205,197,8381,5284400197,59,"1, 16, 14, 7, 15, 4, 23, 8, 9, 28, 20, 35, 2, 33, 5, 25, 10, 11, 19, 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740565,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-10-13T13:00:42.249Z,2024-10-13T13:00:44Z,5284427571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740563,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2024-10-13T13:00:42.249Z,2024-10-13T13:00:42Z,5284427569,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740567,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50.7,49.6,2024-10-13T13:00:42.250Z,2024-10-13T13:00:44Z,5284427583,141,54.2,5284427585,212,14.4,5284427589,279,S,5284427579,56,Back,5284427587,213,2.92,5284427581,140,37.3,,,,,,,60q198d41n3y887jeiezr850q,R. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740573,4,1,1,0,1,28u3q82ip96ahymkup01vfxli,1,37.4,54.2,2024-10-13T13:00:43.575Z,2024-10-13T13:00:47Z,5284427631,140,24.4,5284427639,213,3.89,5284427637,212,18.6,5284427635,141,35.7,5284427629,56,Back,,,,,,,,,,9ww7juyjcdpja51ov7t9hnf1l,S. Takarada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740591,5,1,1,0,4,28u3q82ip96ahymkup01vfxli,1,24.8,37.1,2024-10-13T13:00:47.222Z,2024-10-13T13:00:49Z,5284427717,212,19.4,5284427711,56,Back,5284427713,140,23.5,5284427715,141,65.5,5284427719,213,1.64,,,,,,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740601,6,1,1,0,7,28u3q82ip96ahymkup01vfxli,1,27.1,68.8,2024-10-13T13:00:49.590Z,2024-10-13T13:00:52Z,5284427785,212,13.7,5284427783,141,89.0,5284427781,140,27.5,5284427787,213,1.54,5284427779,56,Back,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740609,7,1,1,0,10,28u3q82ip96ahymkup01vfxli,1,21.4,81.7,2024-10-13T13:00:52.391Z,2024-10-13T13:00:54Z,5284427859,212,10.7,5284427853,56,Back,5284427855,140,14.0,5284427857,141,70.8,5284427861,213,3.90,,,,,,,,,,4r1z04gidueqs684yxeyrq8ve,C. Nevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733740627,8,1,1,0,12,28u3q82ip96ahymkup01vfxli,1,10.8,63.9,2024-10-13T13:00:54.855Z,2024-10-13T13:00:59Z,5284427973,212,25.5,5284427967,56,Back,5284427975,213,4.84,5284427969,140,13.9,5284427971,141,26.7,,,,,,,,,,4u9olqnk9orietagu35v6s355,S. Kees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
