id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2759387185,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-12-15T11:45:55.949Z,2024-12-15T12:44:04Z,5424138827,194,470uu9issmbdfyhxjq75gdbs9,5424138819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5424138825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5424138823,130,8,5424138821,59,"35, 18, 15, 25, 14, 4, 16, 10, 8, 19, 20, 31, 7, 9, 28, 46, 52, 53, 44",5424138831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5424138829,197,24729,5424138817,30,"bkjq8yp0rffvauz0nz94flfu2, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 6bcvcloym3tzxss5hgsw4h1at, 470uu9issmbdfyhxjq75gdbs9, bmw6mvkeropjorm2rxzw2fzai, 23kah59nbx1m7ro3imaaevoph, brflebs8m00rgali2owyoyove, 3f6hkia6zu8xuwasqdz3w759m, 8i8zuouah6iycf9fdfmkdlppm, 1vejfm6fcp0xeyk30r6hv79wp, 7gmh6g5c39asg7gnthx1jxp79, 8gxse7h6ucubo3weq7sp9dnf9, 1hoivq7vrd8hx0e5gk4tuyxyi, 22blwbf4rlay0jfdecsxvu1hw, e7pnmdmll71gjbouggfrzrfh0, 64bhyq7li8xssicmjrgy46n10, ar565iwkuj9ijvgzmtniuasr8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759388035,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-12-15T11:48:36.907Z,2024-12-15T22:09:13Z,5424143477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5424143475,197,726,5424143469,130,11,5424143467,59,"1, 19, 23, 17, 20, 8, 14, 25, 9, 7, 6, 12, 11, 21, 38, 40, 42, 47",5424143465,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5424143473,194,e6s5iphbrws04dxrvw0xqd7f9,5424143471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5424143463,30,"ds8eeciyv1vk6nwh26qgy1lg5, aeqzzuu4bp7trwyjezfigr9ih, 24i5v2hlbeen8brcaa79oqjft, avttb0ne86ra4pqruk0d8al05, e6s5iphbrws04dxrvw0xqd7f9, 1o571356wx95l3qbpbe00o991, 3tot15elwrc9lz9ohha1z0ij9, 27iu58a0k5jqsxidnaxbothbd, 57ubfxv6ujkk5cictmez4op1x, ekmg1wlig0qdtzhafm3lwsz4l, 3fta0gg3ghja3x9ouubjjfzl5, 8zpj2ov0kc2d7a2b14ys2y8dl, 2hbrb48fqcvv05srmzclbyp2i, 6kitz3oodxt3ejj5u0fwzhhat, dkcbvcqk9uzamv07oe49uznys, ea9dttgvt5s0lzmm355ttbsic, 9oge2hx0rg79kf79o55oovnu2, coq2v02vrvkhdlsio0pactkru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759403843,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-12-15T12:30:39.189Z,2024-12-15T19:41:37Z,5424232421,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759403835,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-12-15T12:30:39.189Z,2024-12-15T12:30:39Z,5424232367,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759403869,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50,50,2024-12-15T12:30:39.190Z,2024-12-15T12:30:43Z,5424232559,213,2.82,5424232557,212,26.4,5424232555,141,62.4,5424232561,279,S,5424232553,140,26.2,5424232551,56,Back,,,,,,,brflebs8m00rgali2owyoyove,M. Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759403905,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,28.3,63,2024-12-15T12:30:43.885Z,2024-12-15T12:30:45Z,5424232743,140,30.2,5424232739,56,Back,5424232747,141,40.6,5424232749,212,15.4,5424232753,213,4.84,,,,,,,,,,6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759404003,5,1,1,0,6,36tr17foeaf9ejjmt2txuoy3y,1,30.2,40.6,2024-12-15T12:30:45.293Z,2024-12-15T12:30:54Z,5424233235,212,13.8,5424233231,140,29.8,5424233233,141,60.9,5424233237,213,1.60,5424233229,56,Back,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759404031,6,1,1,0,14,36tr17foeaf9ejjmt2txuoy3y,1,33.3,63.7,2024-12-15T12:30:53.853Z,2024-12-15T12:30:56Z,5424233407,141,43.1,5424233411,212,20.2,5424233415,213,5.52,5424233403,140,47.2,5424233401,56,Back,,,,,,,,,,6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759404049,7,1,1,0,17,36tr17foeaf9ejjmt2txuoy3y,1,47,43,2024-12-15T12:30:56.253Z,2024-12-15T19:42:25Z,5424233477,56,Back,5426448487,156,,5424233483,212,24.9,5424233481,141,66.0,5424233479,140,28.6,5424233485,213,2.46,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759404073,8,1,1,0,18,36tr17foeaf9ejjmt2txuoy3y,1,27.7,67.3,2024-12-15T12:30:57.965Z,2024-12-15T12:31:00Z,5424233621,56,Back,5424233625,141,53.9,5424233623,140,10.8,5424233627,212,19.9,5424233629,213,3.62,,,,,,,,,,6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
