id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/10/value,qualifier/14/value,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2751144931,2,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-11-24T11:15:28.291Z,2024-11-24T12:19:32Z,5379427031,30,"6bejfvxorcqyawi2fmk2kbco9, 1dg7whnmk3nb1adw7n8a7nnbp, dm9vc2mqtbb982sx6kkd992ax, cij18xj0bx2zyx3mi9xwykn9x, 3c80px00lrpe84s9yurszqcid, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, agdmqurwrf5k6izewj4voxcdl, 27oce8op8b7a6fmyp8utoz5gq, 7b1wnybwn288obuc03bea8962, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, 6ypmyozp8zmq4tk36n49oz5xx, 5m8q057u3ek6rjdpmlu98uesq, ehmzgi988h8g6rgekp3qivkr9, 1n48nxf4v6reoxuyai88haw6i, eihksc6tdooqw7ref4nt520a, 7np6c6939ms55m37juqvw0oa, 69nz7p1izpw4i8tle2c8hls2y, 5ibsbj2zqv62c94k5wijnayy2",5379427041,194,anghujtc4achyb9mflowgg9n9,5379427037,130,8,5379427039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379427033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379427043,197,25069,5379427045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379427035,59,"24, 22, 17, 8, 14, 4, 19, 6, 7, 23, 11, 1, 15, 29, 12, 25, 27, 18, 33, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751144965,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-11-24T11:15:33.221Z,2024-11-24T12:00:23Z,5379427185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5379427181,59,"91, 14, 3, 13, 4, 21, 15, 17, 28, 8, 23, 39, 2, 38, 11, 12, 20, 34, 9",5379427191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379427177,30,"8btgs1e799s3xyjfqloeg2iju, 13up673x1kzlwwi22awilagvd, 8e7wbpcbwxvdz0fojwuyov3rp, a6nt0vn3kgt05g1hdnubrh0yc, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 8gh56ar8x8yxjfcm66m7532ll, dqpv2janh4g4qkiqx7h7vs8gl, 1234a1tb7y6trj9xsoqvx0x5h, 1ry82n1adajgmjtce487u9q1g, dzhvgrdkl4nuj8z4fd9to0ag9, 8ll4dyc6p81nlfz81v8nz3m96, acubyto4nolysndygirwjwhzo, 66wqtn91bp4oqrlry02sg2bdg, d29d4xtq3ib0nim6keirgdx3p, 1haq2mkmbebj3jbt0z2jom4lx, enh0z58rrftq2m6hybzhgf65l, etyrg2e7ftd9i9qggqfuy9gk4, ct4fyrkcvk3i01xiz1wpsyuw9",5379427179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5379427187,194,9t8eb24gwj56ucggp7x0n0ewa,5379427189,197,8474,5379427183,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161055,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-11-24T12:00:14.296Z,2024-11-24T12:00:15Z,5379514287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161047,3,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-11-24T12:00:14.296Z,2024-11-24T17:34:43Z,5379514241,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161069,4,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,49.9,49.6,2024-11-24T12:00:14.297Z,2024-11-24T12:00:16Z,5379514343,279,S,5379514339,212,14.5,5379514337,141,44.8,5379514333,140,36.4,5379514341,213,3.37,5379514329,56,Back,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161081,5,1,1,0,2,spi3g782q7m4evjxn1sv6cfa,1,36.1,43.7,2024-11-24T12:00:16.725Z,2024-11-24T12:00:19Z,5379514441,212,14.8,5379514437,140,25.3,5379514439,141,29.8,5379514443,213,3.84,5379514435,56,Back,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161093,6,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,1,24.4,36,2024-11-24T12:00:19.045Z,2024-11-24T12:00:22Z,5379514515,212,18.6,5379514511,140,24.2,5379514509,56,Back,5379514513,141,63.4,5379514517,213,1.58,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161131,7,1,1,0,8,spi3g782q7m4evjxn1sv6cfa,1,25.6,58.2,2024-11-24T12:00:22.501Z,2024-11-24T12:00:27Z,5379514785,141,28.0,5379514787,212,20.6,5379514789,213,4.65,5379514783,140,24.4,5379514781,56,Back,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161135,8,1,1,0,12,spi3g782q7m4evjxn1sv6cfa,1,28,22.5,2024-11-24T12:00:26.981Z,2024-11-24T12:00:27Z,5379514805,56,Back,5379514813,213,0.46,5379514809,141,27.3,5379514807,140,34.3,5379514811,212,7.4,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751161149,9,1,1,0,13,spi3g782q7m4evjxn1sv6cfa,1,34.3,27.3,2024-11-24T12:00:27.621Z,2024-11-24T12:00:29Z,5379514851,56,Back,5379514857,212,12.3,5379514859,213,3.33,5379514853,140,22.8,5379514855,141,23.9,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
