id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2771805593,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2025-02-02T13:16:19.544Z,2025-02-02T14:02:12Z,5491274665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491274655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491274651,59,"1, 4, 12, 11, 5, 17, 21, 3, 27, 29, 20, 13, 2, 22, 31, 6, 47, 28, 53, 14",5491274649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5491274647,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, ceww6vauxaqddgogso515rcru, 15ueea8j21zale5d23rifkct1, d3qtg5xhiwe3zamb4mh50whjp, 5mcszf3yuxwxcggl8ds2v1a7d, 7f7tbbjqhhyydjj4wurm28xcl, 3km1u2mw1tkioh2mucow7d1pl, 19qjvbtfwo55xwsqu5dmwh9ii, 7p90xt2oakctnbc9a0bgbjpw5, 1ct6g590mpcg14jw94v4g2tm2, 59pvotzjierh8rs68s99honl6, 4r1z04gidueqs684yxeyrq8ve, 4u9olqnk9orietagu35v6s355, cf88cbpwlbfw6ampeklh3kcbu, 9ww7juyjcdpja51ov7t9hnf1l, 9hgyk9yij7batwf9gf6l0jxuc, 38gaf1qjazayc2lo9wvly9tzo, 70itgnsfoz6fiynrcmdxtv0no, 4y88tihssafjvxl809gs19nmx",5491274653,130,8,5491274663,197,25097,5491274659,194,15ueea8j21zale5d23rifkct1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771805683,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-02-02T13:16:28.121Z,2025-02-02T14:09:54Z,5491275205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491275207,194,avttb0ne86ra4pqruk0d8al05,5491275209,197,726,5491275197,30,"ds8eeciyv1vk6nwh26qgy1lg5, aeqzzuu4bp7trwyjezfigr9ih, 24i5v2hlbeen8brcaa79oqjft, 1haq2mkmbebj3jbt0z2jom4lx, avttb0ne86ra4pqruk0d8al05, edc7fwwkl9fcuu9zzxmm3s1nu, ekmg1wlig0qdtzhafm3lwsz4l, 3fta0gg3ghja3x9ouubjjfzl5, 57ubfxv6ujkk5cictmez4op1x, 27iu58a0k5jqsxidnaxbothbd, cbozn7nychmtwwwkrxae2ga21, 8zpj2ov0kc2d7a2b14ys2y8dl, 1o571356wx95l3qbpbe00o991, 3tot15elwrc9lz9ohha1z0ij9, 9qidpdp5vlw8ma2z9synky6ms, etyrg2e7ftd9i9qggqfuy9gk4, 6kitz3oodxt3ejj5u0fwzhhat, bdiuv7a7j50drm3gsc9ne28dl, bqbs20rirfi1eh7k7ss4pt0ix, coq2v02vrvkhdlsio0pactkru",5491275201,59,"1, 19, 23, 16, 17, 5, 7, 6, 9, 25, 29, 12, 8, 14, 15, 18, 21, 27, 28, 47",5491275211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5491275199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5491275203,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835119,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2025-02-02T14:00:33.425Z,2025-02-02T14:00:33Z,5491425877,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835123,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2025-02-02T14:00:33.425Z,2025-02-02T14:00:36Z,5491425883,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835141,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,49.8,49.9,2025-02-02T14:00:33.426Z,2025-02-02T14:56:15Z,5491426037,279,S,5491426035,213,2.97,5491426027,56,Back,5491426029,140,43.9,5491426031,141,51.5,5491426033,212,6.3,,,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835167,4,1,1,0,2,7kt37xy93vjy6wac8vq6fqz3g,0,43.9,51.5,2025-02-02T14:00:36.171Z,2025-02-02T14:35:45Z,5491426145,141,22.8,5491426139,155,,5491426141,56,Center,5491426143,140,94.6,5491426147,212,56.7,5491426151,1,,5491426149,213,5.93,,,,24i5v2hlbeen8brcaa79oqjft,S. Holmgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835201,3,1,1,0,5,28u3q82ip96ahymkup01vfxli,1,16.9,73.8,2025-02-02T14:00:38.903Z,2025-02-02T14:00:40Z,5491426265,140,22.3,5491426271,213,0.80,5491426267,141,82.3,5491426269,212,8.1,5491426261,3,,5491426263,56,Back,,,,,,,5mcszf3yuxwxcggl8ds2v1a7d,J. Thibaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835205,4,50,1,0,7,28u3q82ip96ahymkup01vfxli,1,24.4,79.4,2025-02-02T14:00:40.710Z,2025-02-02T14:10:47Z,5491479733,285,,5491426283,56,Back,5491482333,233,108,,,,,,,,,,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771845471,108,7,1,0,7,7kt37xy93vjy6wac8vq6fqz3g,1,75.6,20.6,2025-02-02T14:00:40.711Z,2025-02-02T14:10:51Z,5491482311,233,4,5491482287,56,Right,5491482289,286,,,,,,,,,,,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771835245,5,1,1,0,9,7kt37xy93vjy6wac8vq6fqz3g,0,89.3,26.7,2025-02-02T14:00:42.923Z,2025-02-02T14:00:44Z,5491426565,233,5,5491426521,212,3.8,5491426523,213,1.80,5491426571,286,,5491426513,56,Center,5491426561,236,,5491426519,141,32.1,5491426517,140,88.5,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
