id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2743508545,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-11-03T11:45:28.796Z,2024-11-03T12:32:39Z,5337712197,197,24485,5337712191,130,8,5337712193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337712199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337712195,194,5m2ilglr6tlmgs2d4qzk5wno5,5337712185,30,"c8jqnf6qf93zkyzdxtz20tgix, n70i0c7uk1qxianxoiotqmeh, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, e3fa1ou90dirp8yjjterhrs9h, ddagc0khq0zh1ywynyci8nzrp, e8ivbfq0irn8f2p8krhkikzx1, 5qxvej7pcqqr989sba7k0jv85, 1o0o6thivoulnmsklkpbwpiad, 6291bj0xqq1w2631bajrpeb4l, dib5a7vebmtxqcksi1tuteklx, 3kfxvwa38a7oq0d126jm4o9ka, 24qwx85sfxy0r8pld85w7tzze, 70axdagp6dkm3fvv79ofsxfro, 30z4o4w3iw0frztn9isqwx2ei, 3sn815dsm0i0rnw9nigjyb0et, dcr6epadtrotjsk6yzsir7t62, 3i4ljm3hqc6wg8s6l4onlagut, ec1vrqeqni3lmibeazgq62eol",5337712187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5337712189,59,"14, 2, 11, 10, 6, 7, 19, 13, 23, 12, 8, 1, 5, 22, 62, 32, 9, 16, 17, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743508565,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-11-03T11:45:30.077Z,2024-11-03T11:45:30Z,5337712315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337712311,194,9t8eb24gwj56ucggp7x0n0ewa,5337712313,197,8474,5337712309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337712303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5337712301,30,"8btgs1e799s3xyjfqloeg2iju, 3u2e56fhs12qok7truspt65zp, 8e7wbpcbwxvdz0fojwuyov3rp, dqpv2janh4g4qkiqx7h7vs8gl, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 8gh56ar8x8yxjfcm66m7532ll, 5c00ea33ei5ie1iauirtge505, brs6i21j86k1w7cpgzorrxxwp, 2a45d0hq84uxfi5t9c65dw7vt, 1ry82n1adajgmjtce487u9q1g, 8ll4dyc6p81nlfz81v8nz3m96, 13up673x1kzlwwi22awilagvd, a6nt0vn3kgt05g1hdnubrh0yc, 1haq2mkmbebj3jbt0z2jom4lx, enh0z58rrftq2m6hybzhgf65l, etyrg2e7ftd9i9qggqfuy9gk4, dzhvgrdkl4nuj8z4fd9to0ag9, ct4fyrkcvk3i01xiz1wpsyuw9, 1234a1tb7y6trj9xsoqvx0x5h",5337712307,130,8,5337712305,59,"91, 5, 3, 17, 4, 21, 15, 16, 19, 7, 8, 39, 14, 13, 12, 20, 34, 23, 9, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540501,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-11-03T12:30:21.513Z,2024-11-03T18:37:05Z,5337886497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540523,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-11-03T12:30:21.513Z,2024-11-03T12:30:22Z,5337886589,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540535,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50.1,49.4,2024-11-03T12:30:21.514Z,2024-11-03T12:30:24Z,5337886655,212,23.9,5337886653,141,37.9,5337886651,140,28.6,5337886657,213,3.48,5337886659,279,S,5337886649,56,Back,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540577,4,1,1,0,2,axwnneoekq2f2yq6r1l704y96,1,26,36.3,2024-11-03T12:30:24.033Z,2024-11-03T12:30:26Z,5337886885,141,62.9,5337886889,213,1.63,5337886881,56,Back,5337886887,212,18.1,5337886883,140,24.9,,,,,,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540617,5,1,1,0,5,axwnneoekq2f2yq6r1l704y96,1,24.9,60.6,2024-11-03T12:30:26.657Z,2024-11-03T12:30:29Z,5337887099,212,22.1,5337887091,140,21.2,5337887095,141,28.6,5337887103,213,4.54,5337887087,56,Back,,,,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540689,6,1,1,0,7,axwnneoekq2f2yq6r1l704y96,1,20.9,24.4,2024-11-03T12:30:29.089Z,2024-11-03T12:30:32Z,5337887459,56,Back,5337887465,212,14.5,5337887463,141,4.3,5337887461,140,25.5,5337887469,213,5.05,,,,,,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540721,7,1,1,0,11,axwnneoekq2f2yq6r1l704y96,1,26.9,6.7,2024-11-03T12:30:32.514Z,2024-11-03T12:30:34Z,5337887603,212,9.4,5337887601,141,20.4,5337887597,56,Back,5337887605,213,1.48,5337887599,140,27.7,,,,,,,,,,3u2e56fhs12qok7truspt65zp,A. Mannion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743540735,8,1,1,0,12,axwnneoekq2f2yq6r1l704y96,1,30.4,20,2024-11-03T12:30:34.368Z,2024-11-03T12:30:35Z,5337887661,56,Back,5337887669,141,8.3,5337887665,140,41.9,5337887671,212,14.5,5337887673,213,5.70,,,,,,,,,,5c00ea33ei5ie1iauirtge505,L. Naalsund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
