id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2731477403,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-10-06T11:18:02.197Z,2024-10-06T12:05:15Z,5271988429,59,"1, 26, 14, 10, 5, 17, 18, 22, 9, 20, 12, 25, 4, 7, 11, 21, 33, 42, 77",5271988427,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5271988435,194,e3n8fh86gv7xkw2zi6jlqelzp,5271988433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5271988439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271988431,130,2,5271988437,197,26489,5271988425,30,"dxojafbkfxjskl0ek4nucrnpx, 7oxif0j9hg9lpvrmqj8ocdnmd, 30pcgn07mnn0sk4jp0t7bx9ed, 9ov9x5gap2t34kv8clhwjqvh1, cs3pg64kurip4uftscemh01k9, q3xvi1pbz5hmr6zw6np6v4yd, f1xb9y38jfjmrhgv22svv9sa2, e3n8fh86gv7xkw2zi6jlqelzp, a5ew0j9hz4ounrjkeco7g6iuh, e93vn46w6kk9xwdb8forgzil1, cannlc91eqjjy24i7keyvyaui, czz8zqjv03gdbbxiadp90pq6t, bnzgfrgoiwlw6boq7e7ngi162, 8t1kb3jiu25l2ztaooa294e09, 628hrbjq5whml5fixspdqvd62, 54hjbtj3pm6a4qruhfsz6z3zd, cqfxdqu4j8ws6ejoklc7ahz6y, cbw2n8nlinptip8gtkc442qdw, 81w3pjqsk98f0l09d9ianrbah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731479435,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-10-06T11:23:06.842Z,2024-10-06T12:16:25Z,5272000389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5272000393,130,4,5272000399,197,1154,5272000401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272000387,30,"1vejfm6fcp0xeyk30r6hv79wp, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, c6k1w8sothxmc08dbhqjzp1w5, 3f6hkia6zu8xuwasqdz3w759m, 23kah59nbx1m7ro3imaaevoph, brflebs8m00rgali2owyoyove, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, bkjq8yp0rffvauz0nz94flfu2, 4iweh8975rkssez3r9vlk1wfe, wupxscyf4x7rsjidpmp0wnv9, 7gmh6g5c39asg7gnthx1jxp79, 6bcvcloym3tzxss5hgsw4h1at, 8i8zuouah6iycf9fdfmkdlppm, cm84oje8txj7m34zuhhv68ct1, ar565iwkuj9ijvgzmtniuasr8, 22blwbf4rlay0jfdecsxvu1hw",5272000397,194,c6k1w8sothxmc08dbhqjzp1w5,5272000391,59,"31, 18, 15, 25, 4, 5, 19, 10, 8, 9, 11, 35, 3, 6, 7, 14, 20, 21, 44, 46",5272000395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507689,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2024-10-06T12:01:43.456Z,2024-10-06T12:01:43Z,5272151141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507699,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2024-10-06T12:01:43.456Z,2024-10-06T12:01:45Z,5272151173,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507713,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50,50,2024-10-06T12:01:43.491Z,2024-10-06T12:01:47Z,5272151229,141,48.5,5272151235,279,S,5272151227,140,26.9,5272151233,213,3.18,5272151225,56,Back,5272151231,212,24.3,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507783,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,27.2,48.8,2024-10-06T12:01:47.566Z,2024-10-06T12:01:51Z,5272151717,141,42.1,5272151719,212,10.8,5272151713,56,Back,5272151721,213,5.85,5272151715,140,36.5,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507865,5,1,1,0,7,36tr17foeaf9ejjmt2txuoy3y,1,35.6,37.4,2024-10-06T12:01:51.455Z,2024-10-06T12:01:55Z,5272152093,56,Back,5272152099,212,16.1,5272152101,213,4.86,5272152095,140,37.8,5272152097,141,14.0,,,,,,,,,,3f6hkia6zu8xuwasqdz3w759m,L. Blindkilde Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507937,6,1,1,0,11,36tr17foeaf9ejjmt2txuoy3y,1,36.6,18.8,2024-10-06T12:01:55.342Z,2024-10-06T12:01:59Z,5272152415,212,11.0,5272152409,56,Back,5272152411,140,38.9,5272152417,213,1.35,5272152413,141,34.6,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508009,7,1,1,0,15,36tr17foeaf9ejjmt2txuoy3y,1,38.2,34.6,2024-10-06T12:01:59.119Z,2024-10-06T12:02:03Z,5272152757,141,20.6,5272152759,212,10.4,5272152753,56,Back,5272152755,140,42.3,5272152761,213,5.14,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508077,8,1,1,0,19,36tr17foeaf9ejjmt2txuoy3y,1,57.2,20.4,2024-10-06T12:02:03.279Z,2024-10-06T12:02:06Z,5272153093,56,Right,5272153103,141,6.4,5272153097,140,71.7,5272153111,213,5.72,5272153107,212,18.0,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
