id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2769171333,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2025-01-26T11:45:02.848Z,2025-01-26T18:28:44Z,5477049711,30,"c8jqnf6qf93zkyzdxtz20tgix, n70i0c7uk1qxianxoiotqmeh, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, e3fa1ou90dirp8yjjterhrs9h, 3sn815dsm0i0rnw9nigjyb0et, 30z4o4w3iw0frztn9isqwx2ei, 5qxvej7pcqqr989sba7k0jv85, 6291bj0xqq1w2631bajrpeb4l, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, bd1752qgxbodnsgdus42fc99l, 3kfxvwa38a7oq0d126jm4o9ka, 1o0o6thivoulnmsklkpbwpiad, e8ivbfq0irn8f2p8krhkikzx1, dcr6epadtrotjsk6yzsir7t62, ec1vrqeqni3lmibeazgq62eol, 8lfnj5bvo97dimx52no42nmqd, 70axdagp6dkm3fvv79ofsxfro",5477049721,194,5m2ilglr6tlmgs2d4qzk5wno5,5477049725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477049715,59,"14, 2, 11, 10, 6, 7, 9, 32, 23, 8, 19, 1, 3, 5, 12, 13, 16, 25, 26, 62",5477049719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477049723,197,723,5477049717,130,8,5477049713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769171533,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2025-01-26T11:45:27.669Z,2025-01-26T12:35:47Z,5477050697,130,8,5477050687,30,"6bejfvxorcqyawi2fmk2kbco9, 1dg7whnmk3nb1adw7n8a7nnbp, c0my4y3kjf7jbbfujj5l8e8yx, agdmqurwrf5k6izewj4voxcdl, 3c80px00lrpe84s9yurszqcid, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, cij18xj0bx2zyx3mi9xwykn9x, 27oce8op8b7a6fmyp8utoz5gq, 5ibsbj2zqv62c94k5wijnayy2, dm9vc2mqtbb982sx6kkd992ax, 6xrzl8rljlz8zmlaj69qqktlh, ehmzgi988h8g6rgekp3qivkr9, 1n48nxf4v6reoxuyai88haw6i, 7np6c6939ms55m37juqvw0oa, eihksc6tdooqw7ref4nt520a, 7b1wnybwn288obuc03bea8962, 1cfhmihovl78l8osqbo1w9nth, 69nz7p1izpw4i8tle2c8hls2y, 9n2d2dv38kp2exb7z3xh2ykiy",5477050701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477050695,59,"24, 22, 21, 6, 14, 4, 19, 8, 7, 9, 17, 1, 12, 25, 18, 27, 23, 11, 33, 10",5477050705,194,anghujtc4achyb9mflowgg9n9,5477050711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5477050691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5477050709,197,25069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189041,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2025-01-26T12:30:08.390Z,2025-01-26T17:25:41Z,5477147053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189031,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2025-01-26T12:30:08.390Z,2025-01-26T12:30:08Z,5477147019,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189049,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50.1,49.7,2025-01-26T12:30:08.391Z,2025-01-26T12:30:11Z,5477147097,56,Back,5477147107,279,S,5477147105,213,2.96,5477147101,141,53.1,5477147103,212,12.7,5477147099,140,38.2,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189079,4,1,1,0,2,spi3g782q7m4evjxn1sv6cfa,1,37.3,51.6,2025-01-26T12:30:11.011Z,2025-01-26T12:30:15Z,5477147281,212,19.0,5477147283,213,4.09,5477147277,140,26.8,5477147279,141,28.9,5477147275,56,Back,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189083,5,1,1,0,6,spi3g782q7m4evjxn1sv6cfa,1,26.9,28.9,2025-01-26T12:30:15.058Z,2025-01-26T12:30:17Z,5477147331,140,22.4,5477147337,213,1.76,5477147335,212,25.7,5477147333,141,66.0,5477147329,56,Back,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189109,6,1,1,0,9,spi3g782q7m4evjxn1sv6cfa,1,20.3,67.9,2025-01-26T12:30:17.667Z,2025-01-26T12:30:21Z,5477147491,213,4.18,5477147487,141,47.0,5477147483,56,Back,5477147489,212,16.5,5477147485,140,12.4,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189119,7,1,1,0,12,spi3g782q7m4evjxn1sv6cfa,1,12.4,45.4,2025-01-26T12:30:20.771Z,2025-01-26T12:30:22Z,5477147563,141,14.3,5477147559,56,Back,5477147567,213,5.25,5477147565,212,24.7,5477147561,140,24.5,,,,,,,,,,6bejfvxorcqyawi2fmk2kbco9,H. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769189157,8,1,1,0,13,spi3g782q7m4evjxn1sv6cfa,1,25,13.4,2025-01-26T12:30:22.387Z,2025-01-26T12:30:26Z,5477147705,213,2.19,5477147701,141,39.8,5477147697,56,Back,5477147703,212,22.0,5477147699,140,12.9,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
