id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2733362655,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-10-12T12:00:38.546Z,2024-10-12T13:01:57Z,5282367845,59,"14, 2, 11, 13, 6, 3, 9, 10, 23, 8, 19, 1, 5, 7, 62, 12, 16, 22, 32, 25",5282367855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5282367841,30,"c8jqnf6qf93zkyzdxtz20tgix, n70i0c7uk1qxianxoiotqmeh, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, 5m2ilglr6tlmgs2d4qzk5wno5, 5qxvej7pcqqr989sba7k0jv85, 6291bj0xqq1w2631bajrpeb4l, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, 3kfxvwa38a7oq0d126jm4o9ka, e3fa1ou90dirp8yjjterhrs9h, 70axdagp6dkm3fvv79ofsxfro, 1o0o6thivoulnmsklkpbwpiad, dcr6epadtrotjsk6yzsir7t62, 24qwx85sfxy0r8pld85w7tzze, 30z4o4w3iw0frztn9isqwx2ei, ec1vrqeqni3lmibeazgq62eol",5282367843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5282367853,197,723,5282367851,194,5m2ilglr6tlmgs2d4qzk5wno5,5282367849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5282367847,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733362681,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-10-12T12:00:41.241Z,2024-10-12T12:57:47Z,5282367995,197,25069,5282367983,30,"6bejfvxorcqyawi2fmk2kbco9, 1dg7whnmk3nb1adw7n8a7nnbp, dm9vc2mqtbb982sx6kkd992ax, agdmqurwrf5k6izewj4voxcdl, 4wxqckb43bkeobwanys62zvmd, anghujtc4achyb9mflowgg9n9, 7np6c6939ms55m37juqvw0oa, 9n2d2dv38kp2exb7z3xh2ykiy, 27oce8op8b7a6fmyp8utoz5gq, 2m6wew2746q1xsoio3703t8t1, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, cij18xj0bx2zyx3mi9xwykn9x, ehmzgi988h8g6rgekp3qivkr9, 69nz7p1izpw4i8tle2c8hls2y, 6ypmyozp8zmq4tk36n49oz5xx, 7b1wnybwn288obuc03bea8962, eihksc6tdooqw7ref4nt520a, 5ibsbj2zqv62c94k5wijnayy2, 3c80px00lrpe84s9yurszqcid",5282367989,130,4,5282367987,59,"24, 22, 17, 6, 26, 4, 18, 10, 7, 19, 11, 1, 8, 12, 33, 15, 23, 27, 9, 14",5282367993,194,anghujtc4achyb9mflowgg9n9,5282367991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5282367985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5282367997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374723,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-10-12T12:45:17.436Z,2024-10-12T12:45:19Z,5282433421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374719,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-10-12T12:45:17.436Z,2024-10-12T15:26:01Z,5282433415,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374727,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50.1,50.3,2024-10-12T12:45:17.467Z,2024-10-12T12:45:20Z,5282433437,141,49.1,5282433439,212,15.8,5282433433,56,Back,5282433441,213,3.19,5282433443,279,S,5282433435,140,35.1,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374759,4,1,1,0,2,spi3g782q7m4evjxn1sv6cfa,1,35.2,49.1,2024-10-12T12:45:19.955Z,2024-10-12T12:45:23Z,5282433605,56,Back,5282433609,141,46.6,5282433607,140,27.6,5282433611,212,8.2,5282433613,213,3.35,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374787,5,1,1,0,5,spi3g782q7m4evjxn1sv6cfa,1,27.9,35.4,2024-10-12T12:45:22.979Z,2024-10-12T12:45:26Z,5282433787,140,36.5,5282433789,141,30.9,5282433785,56,Back,5282433791,212,9.5,5282433793,213,5.96,,,,,,,,,,4wxqckb43bkeobwanys62zvmd,K. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374795,6,1,1,0,9,spi3g782q7m4evjxn1sv6cfa,1,36.9,27.3,2024-10-12T12:45:26.755Z,2024-10-12T12:45:29Z,5282433837,213,4.21,5282433833,141,8.8,5282433831,140,30.3,5282433829,56,Back,5282433835,212,14.4,,,,,,,,,,7np6c6939ms55m37juqvw0oa,W. Kaptein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374815,7,1,1,0,11,spi3g782q7m4evjxn1sv6cfa,1,31.1,10.9,2024-10-12T12:45:29.075Z,2024-10-12T12:45:31Z,5282433917,212,10.7,5282433919,213,0.97,5282433911,56,Back,5282433913,140,36.9,5282433915,141,23.9,,,,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374863,8,2,1,0,14,spi3g782q7m4evjxn1sv6cfa,1,40.7,27.6,2024-10-12T12:45:31.652Z,2024-10-12T12:45:55Z,5282434113,140,54.7,5282434115,141,42.3,5282434121,56,Center,5282434119,7,1cfhmihovl78l8osqbo1w9nth,,,,,,,,,,,,,7np6c6939ms55m37juqvw0oa,W. Kaptein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
