id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId
2723098575,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-09-21T10:40:19.262Z,2024-09-21T11:49:36Z,5226261489,30,"el8c138wsa0bnop68caop5uxh, 8m3okb64mh1m7dfmp0km4wct1, 8lf62k2iwmb23gywex08s6m09, dld1dfaxrkcje24pmw72odzpw, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5t9mthxv6kthq6tnntv5q4fdh, dedol1cdecfmywapqdnndxucp, 52w10pe7mkfv4twb2p2c5ugnp, d1fnp3b9t3mfz4aj2csayfhwq, 9t2pn6dp6w38b169a5qo9c60a, c705ailfiov40xwoysz0ggct1, 2hkkfeyzmu2pkqgjw3bpl7cnp, af3x1ptiil8vti00lxf1x8ewa, 5zscs0qkg39k01a2n0qu9tvkk, 2eoggfnen5l1u32thxevo3sb8, 8jcspom7vgzuzen8yw4php711, 4uest450f12ikgunglu92j0tl, 4payujvwgv750r4y1eeprn1g4, 2w5e7dfxr588qpxex7cstyyy2",5226261495,130,13,5226261497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226261493,59,"32, 14, 3, 16, 5, 2, 6, 19, 8, 11, 20, 9, 10, 18, 21, 17, 27, 28, 59, 23",5226261503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226261501,197,24727,5226261499,194,5t9mthxv6kthq6tnntv5q4fdh,5226261491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723099197,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-09-21T10:41:26.629Z,2024-09-21T11:37:59Z,5226264557,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5226264567,197,24725,5226264555,30,"ds8eeciyv1vk6nwh26qgy1lg5, 1o571356wx95l3qbpbe00o991, 24i5v2hlbeen8brcaa79oqjft, d71c1o7e1t448gemysrgisj8q, e6s5iphbrws04dxrvw0xqd7f9, bdiuv7a7j50drm3gsc9ne28dl, 57ubfxv6ujkk5cictmez4op1x, e2lt71eeqb97hw6wnebjrrgt1, 27iu58a0k5jqsxidnaxbothbd, ekmg1wlig0qdtzhafm3lwsz4l, 6kitz3oodxt3ejj5u0fwzhhat, coq2v02vrvkhdlsio0pactkru, 3fta0gg3ghja3x9ouubjjfzl5, avttb0ne86ra4pqruk0d8al05, 2hbrb48fqcvv05srmzclbyp2i, aeqzzuu4bp7trwyjezfigr9ih, 60yw6ejn1dnlz7ki0q05xsjdg, 9oge2hx0rg79kf79o55oovnu2, ei8nkccvojz33whslareh4a1h",5226264565,194,e6s5iphbrws04dxrvw0xqd7f9,5226264559,59,"1, 8, 23, 10, 20, 27, 9, 22, 25, 7, 21, 47, 6, 17, 11, 19, 4, 42, 13",5226264561,130,5,5226264569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5226264563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132495,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-09-21T11:30:25.758Z,2024-09-21T11:30:25Z,5226427417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132509,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-09-21T11:30:25.758Z,2024-09-21T11:30:28Z,5226427461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132533,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2024-09-21T11:30:25.759Z,2024-09-21T11:30:29Z,5226427577,56,Back,5226427591,279,S,5226427587,212,18.7,5226427583,141,44.3,5226427589,213,3.35,5226427581,140,32.6,,,,,,,52w10pe7mkfv4twb2p2c5ugnp,P. Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132647,4,1,1,0,3,dcdnoyf6kzhj46iyfm7xq43fy,1,35.1,41.3,2024-09-21T11:30:29.219Z,2024-09-21T11:30:34Z,5226428103,56,Back,5226428105,140,31.1,5226428111,213,4.36,5226428107,141,24.7,5226428109,212,12.0,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132675,5,1,1,0,8,dcdnoyf6kzhj46iyfm7xq43fy,1,29.3,25.5,2024-09-21T11:30:34.051Z,2024-09-21T11:35:40Z,5226428287,141,45.7,5226428285,140,29.3,5226428291,213,1.57,5226428289,212,13.7,5226428283,56,Back,,,,,,,,,,589yqifloa5j7qwp2gnemyml1,M. Þórisdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132747,6,1,1,0,10,dcdnoyf6kzhj46iyfm7xq43fy,1,27.8,47.9,2024-09-21T11:30:36.596Z,2024-09-21T11:35:46Z,5226428655,213,1.48,5226428649,140,29.3,5226428647,56,Back,5226428653,212,18.2,5226428651,141,74.5,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132777,7,1,1,0,13,dcdnoyf6kzhj46iyfm7xq43fy,1,26.7,85,2024-09-21T11:30:39.716Z,2024-09-21T11:30:41Z,5226428815,141,94.4,5226428813,140,32.7,5226428819,213,0.79,5226428811,56,Back,5226428817,212,9.0,,,,,,,,,,dld1dfaxrkcje24pmw72odzpw,J. Carabalí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723132829,8,1,1,0,15,dcdnoyf6kzhj46iyfm7xq43fy,1,31.2,94.4,2024-09-21T11:30:41.188Z,2024-09-21T11:36:06Z,5226429051,212,5.1,5226429045,56,Back,5226429053,213,4.90,5226429047,140,32.1,5226429049,141,87.1,,,,,,,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
