id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2727873675,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-09-29T12:16:39.979Z,2024-09-29T13:00:14Z,5252311627,130,4,5252311633,197,25101,5252311623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5252311629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252311625,59,"91, 14, 11, 17, 4, 21, 8, 16, 19, 23, 7, 39, 3, 5, 13, 12, 20, 15, 9, 28",5252311635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252311621,30,"8btgs1e799s3xyjfqloeg2iju, 13up673x1kzlwwi22awilagvd, d29d4xtq3ib0nim6keirgdx3p, dqpv2janh4g4qkiqx7h7vs8gl, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 1ry82n1adajgmjtce487u9q1g, 5c00ea33ei5ie1iauirtge505, brs6i21j86k1w7cpgzorrxxwp, dzhvgrdkl4nuj8z4fd9to0ag9, 2a45d0hq84uxfi5t9c65dw7vt, 8ll4dyc6p81nlfz81v8nz3m96, 8e7wbpcbwxvdz0fojwuyov3rp, 3u2e56fhs12qok7truspt65zp, a6nt0vn3kgt05g1hdnubrh0yc, 1haq2mkmbebj3jbt0z2jom4lx, enh0z58rrftq2m6hybzhgf65l, 8gh56ar8x8yxjfcm66m7532ll, ct4fyrkcvk3i01xiz1wpsyuw9, 1234a1tb7y6trj9xsoqvx0x5h",5252311631,194,9t8eb24gwj56ucggp7x0n0ewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727879995,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-09-29T12:22:21.957Z,2024-09-29T13:19:21Z,5252345993,130,13,5252345989,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5252345997,194,e6s5iphbrws04dxrvw0xqd7f9,5252345987,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, 24i5v2hlbeen8brcaa79oqjft, bdiuv7a7j50drm3gsc9ne28dl, e6s5iphbrws04dxrvw0xqd7f9, 1o571356wx95l3qbpbe00o991, 3fta0gg3ghja3x9ouubjjfzl5, ekmg1wlig0qdtzhafm3lwsz4l, 27iu58a0k5jqsxidnaxbothbd, d71c1o7e1t448gemysrgisj8q, coq2v02vrvkhdlsio0pactkru, 57ubfxv6ujkk5cictmez4op1x, 6kitz3oodxt3ejj5u0fwzhhat, 2hbrb48fqcvv05srmzclbyp2i, 9oge2hx0rg79kf79o55oovnu2, aeqzzuu4bp7trwyjezfigr9ih, 60yw6ejn1dnlz7ki0q05xsjdg, ei8nkccvojz33whslareh4a1h, ea9dttgvt5s0lzmm355ttbsic",5252345991,59,"1, 17, 23, 27, 20, 8, 6, 7, 25, 10, 47, 9, 21, 11, 42, 19, 4, 13, 40",5252346001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252345995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5252345999,197,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923695,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-09-29T13:01:42.520Z,2024-09-29T13:01:45Z,5252578413,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923673,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2024-09-29T13:01:42.520Z,2024-09-29T13:01:42Z,5252578329,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923717,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50.2,48.5,2024-09-29T13:01:42.640Z,2024-09-29T13:01:46Z,5252578533,56,Back,5252578539,140,32.1,5252578559,213,3.95,5252578543,141,19.1,5252578551,212,27.6,5252578565,279,S,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923865,4,1,1,0,3,axwnneoekq2f2yq6r1l704y96,1,32.9,24.4,2024-09-29T13:01:46.058Z,2024-09-29T13:01:49Z,5252579223,56,Right,5252579243,213,6.20,5252579229,140,67.9,5252579239,212,36.9,5252579235,141,19.7,5252579219,157,,5252579247,1,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923871,5,43,1,0,6,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-09-29T13:01:49.050Z,2024-09-29T13:09:07Z,5252647839,144,44,5252579293,56,Center,5252579297,286,0,,,,,,,,,,,,,,,,1ry82n1adajgmjtce487u9q1g,G. Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923887,6,1,1,0,6,axwnneoekq2f2yq6r1l704y96,0,65,23.6,2024-09-29T13:01:49.292Z,2024-09-29T13:01:50Z,5252579365,3,,5252579369,56,Center,5252579381,213,0.65,5252579373,141,41.6,5252579375,212,20.1,5252579367,168,,5252579371,140,80.2,,,,1ry82n1adajgmjtce487u9q1g,G. Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727923941,3,49,1,0,9,7kt37xy93vjy6wac8vq6fqz3g,1,26.6,46.4,2024-09-29T13:01:52.419Z,2024-09-29T13:09:14Z,,,,,,,,,,,,,,,,,,,,,,,,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727924007,4,1,1,0,10,7kt37xy93vjy6wac8vq6fqz3g,1,26.6,46.4,2024-09-29T13:01:52.643Z,2024-09-29T13:09:16Z,5252580091,212,25.2,5252580081,140,37.6,5252580093,213,5.19,5252580077,56,Back,5252580089,141,13.4,,,,,,,,,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727924025,5,1,1,0,11,7kt37xy93vjy6wac8vq6fqz3g,1,36.7,12.5,2024-09-29T13:01:53.771Z,2024-09-29T13:09:31Z,5252580199,56,Back,5252580207,213,0.44,5252580203,141,17.6,5252580205,212,8.2,5252580201,140,43.8,,,,,,,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727924059,6,1,1,0,12,7kt37xy93vjy6wac8vq6fqz3g,1,43.8,17.6,2024-09-29T13:01:54.667Z,2024-09-29T13:09:33Z,5252580411,140,37.7,5252580425,213,2.50,5252580415,141,24.6,5252580419,212,8.0,5252580409,56,Back,,,,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727937429,61,61,1,0,13,7kt37xy93vjy6wac8vq6fqz3g,0,42.3,18.8,2024-09-29T13:01:56.047Z,2024-09-29T13:09:51Z,5252655705,56,Back,,,,,,,,,,,,,,,,,,,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727924069,7,49,1,0,14,axwnneoekq2f2yq6r1l704y96,1,70.9,62.4,2024-09-29T13:01:57.177Z,2024-09-29T13:01:57Z,,,,,,,,,,,,,,,,,,,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
