id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2728078659,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-09-29T14:45:09.459Z,2024-09-29T14:45:09Z,5253417033,30,"4vgx21i9mmnoud5h6px197f11, tzc4bqcf2wkz1k7d96l8g3my, 7um4xb0p8zr4o11lsyd9n0hqt, 6aaes6ikbmrg75h6asm58wpg5, elelvar8kyxwpfqzwr1v00b85, 78f7fs64o2wlgzys9fmlmk1yh, 1to70vfsch5kwvw3kjgo1iggl, 5nad4qgy5hlwfsm64mhkwadw5, 9zdmc8v5sfrv9z7da49odn4a2, drwlmmiguqz2mfzsh6gjmklx, a1v4wcs80zp79nq6u2efnzgfd, 55djg9khr4ffwd6aisz5yi9ec, 4i9innbdajn1n5vqs1mp2ei, 5kbwhmf4o0nfhvcl3j774fzoq, bdxyymqus7p5r9g6spjbq02xh, zk4ronpcad8dn05o88b29yhh, bpktqs6zdoml7z1ykcqhif2wa, ctzcuzproy4kwpa5wweruw3px, 3kg34rp7ealsortc9i0bqyxw4, e3mxj8l3xrr2fa55nqpp86jv8",5253417047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253417039,130,8,5253417035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5253417045,197,24726,5253417037,59,"22, 29, 6, 25, 5, 15, 8, 10, 17, 24, 7, 26, 3, 2, 20, 14, 13, 9, 31, 30",5253417041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253417043,194,elelvar8kyxwpfqzwr1v00b85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728078711,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-09-29T14:45:12.435Z,2024-09-29T15:35:05Z,5253417369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5253417381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253417377,194,amg2zai9038cdz9uuql3l9rkl,5253417375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253417379,197,8381,5253417371,59,"1, 16, 3, 7, 4, 15, 23, 8, 9, 10, 20, 35, 2, 33, 14, 5, 25, 11, 19, 17",5253417367,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 3ws5zg8wy6j86cr8yrqxnsx9m, brppytuf1766c50274dkue5pm, 9cjjs4piq3t12iltsfon52h91, cnq88jph2nrn0o2tosrp4rmxh, 1vpy4utdaxo6zs2enj4tphejt, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, dzfr9ktjmxqj2eh2xibt7konp, cpvbitkove7bavl96lkgs1vc9, 3i90wgjkjzq4krgms7tfhp5p0, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, 6f8lpm5ckuv4z0tbur533qpxx, cs8bo5xvtd2bq7kd91flepwwl, d80r13kh5f6bcpwsy3cka75d5, 5ye5h1o9ndhfeqdi8mh4f9une, 321yjdo3gio1l33hc1pdps4wl, 9jitxfwaeix5fn1n3dhartbhm",5253417373,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132547,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2024-09-29T15:30:36.306Z,2024-09-29T15:30:36Z,5253712245,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132559,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2024-09-29T15:30:36.306Z,2024-09-29T15:30:39Z,5253712291,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132625,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,50,50,2024-09-29T15:30:36.307Z,2024-09-29T15:30:39Z,5253712589,56,Back,5253712603,279,S,5253712591,140,37.2,5253712595,212,15.0,5253712599,213,2.69,5253712593,141,59.7,,,,,,,9zdmc8v5sfrv9z7da49odn4a2,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132647,4,1,1,0,2,9ijyncrxsejz505dbadwr1dir,1,37.2,59.7,2024-09-29T15:30:38.410Z,2024-09-29T15:30:40Z,5253712679,213,3.69,5253712675,141,47.9,5253712671,56,Back,5253712673,140,24.7,5253712677,212,15.4,,,,,,,,,,6aaes6ikbmrg75h6asm58wpg5,E. Summanen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132709,5,1,1,0,3,9ijyncrxsejz505dbadwr1dir,1,24.7,47.9,2024-09-29T15:30:39.899Z,2024-09-29T15:30:43Z,5253713031,141,63.0,5253713029,140,22.8,5253713035,213,1.76,5253713033,212,10.5,5253713027,56,Back,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132789,6,1,1,0,6,9ijyncrxsejz505dbadwr1dir,1,22.8,66.7,2024-09-29T15:30:43.219Z,2024-09-29T15:30:46Z,5253713449,140,22.9,5253713453,212,18.6,5253713451,141,39.4,5253713447,56,Back,5253713455,213,4.72,,,,,,,,,,78f7fs64o2wlgzys9fmlmk1yh,C. Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132823,7,1,1,0,10,9ijyncrxsejz505dbadwr1dir,1,23.2,37.6,2024-09-29T15:30:46.450Z,2024-09-29T15:30:47Z,5253713627,140,35.6,5253713633,213,6.11,5253713625,56,Back,5253713631,212,13.2,5253713629,141,34.2,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728132863,8,1,1,0,11,9ijyncrxsejz505dbadwr1dir,1,34.5,34,2024-09-29T15:30:47.810Z,2024-09-29T15:30:49Z,5253713867,56,Back,5253713873,212,12.3,5253713875,213,3.11,5253713869,140,22.8,5253713871,141,34.5,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
