Player,Team,Assists,ShotAssists,xAG
A. Bélem,SD Eibar,0,2,0.12
A. Leitner,DUX Logroño,0,1,0.09
A. Marques,Sevilla FC,0,1,0.03
A. Poljak,Madrid CFF,0,2,0.06
A. Zaremba,CD Tenerife,1,4,1.08
A. Álvarez,Sevilla FC,1,2,0.4
Aiara Agirrezabala,Real Sociedad de Fútbol,0,4,0.7
Ainhoa Marín,RC Deportivo de La Coruña,0,3,0.18
Ainoa Campo,Reial Club Deportiu Espanyol,1,2,0.48
Aitana Bonmatí,FC Barcelona,0,3,0.32
Aithiara Carballo,CD Tenerife,0,2,0.35
Alba Pérez,Granada CF,0,2,0.06
Alexia Fernández,Club Atlético de Madrid Féminas,0,6,0.44
Alexia Putellas,FC Barcelona,0,10,0.71
Alharilla Casado,Levante UD,0,1,0.04
Alicia Redondo,Sevilla FC,0,1,0.06
Amaia Iribarren,SD Eibar,0,1,0.09
Ana Franco,Levante UD,0,1,0.1
Ana González,FC Badalona Women,0,3,0.62
Ana Velázquez,Alhama CF,0,1,0.04
Ana Vitória,Club Atlético de Madrid Féminas,0,1,0.34
Andrea Medina,Club Atlético de Madrid Féminas,0,1,0.07
Andreia Jacinto,Real Sociedad de Fútbol,0,11,0.62
Ane Azkona,Athletic Club Bilbao,0,2,0.11
Ane Campos,Athletic Club Bilbao,0,1,0.04
Ane Etxezarreta,SD Eibar,0,1,0.03
Anita Marcos,Madrid CFF,0,1,0.03
Anna Torrodà,Reial Club Deportiu Espanyol,0,3,0.16
Arene Altonaga,SD Eibar,0,1,0.03
Ariadna Mingueza,Granada CF,1,4,0.36
Arola Aparicio,Real Sociedad de Fútbol,2,5,0.75
Astrid Álvarez,Alhama CF,0,6,0.34
Athenea del Castillo,Real Madrid CF,1,1,0.16
Aïcha Cámara,FC Barcelona,0,2,0.2
Bascu,Levante UD,0,1,0.04
Blanca Muñoz,Granada CF,0,2,0.7
Bárbara Latorre,RC Deportivo de La Coruña,1,2,0.7
C. Cavanagh,RC Deportivo de La Coruña,0,1,0.05
C. Graham Hansen,FC Barcelona,0,4,0.28
C. Weir,Real Madrid CF,0,1,0.15
Carla Andrés,SD Eibar,0,1,0.05
Carla Castiñeyras,Alhama CF,1,0,0.05
Carlota Suárez,CD Tenerife,0,1,0.05
Carmen Menayo,Club Atlético de Madrid Féminas,0,1,0.03
Carol Marín,Levante UD,0,2,0.16
Cecilia Marcos,Real Sociedad de Fútbol,0,2,0.06
Clara Rodríguez,Granada CF,0,2,0.15
Clàudia Pina,FC Barcelona,0,4,0.3
Cristina Postigo,Granada CF,1,2,0.58
D. Falfán,DUX Logroño,0,1,0.05
Daniela Agote,Athletic Club Bilbao,0,5,0.56
Dolores Silva,Levante UD,0,2,0.42
Débora García,Sevilla FC,0,2,0.17
E. Banini,FC Badalona Women,0,1,0.03
E. Brugts,FC Barcelona,0,3,0.23
E. Pajor,FC Barcelona,3,8,2.29
Elba Vergés,CD Tenerife,2,0,0.87
Elena Julve,FC Badalona Women,0,3,0.48
Elena Vázquez,RC Deportivo de La Coruña,0,1,0.05
Elene Guridi,Real Sociedad de Fútbol,0,3,0.24
Emma Moreno,SD Eibar,0,1,0.05
Encarni,Alhama CF,0,2,0.1
Esther Laborde,Madrid CFF,0,3,0.17
Esther Martín-Pozuelo,Sevilla FC,0,2,0.08
Eva Alonso,Levante UD,0,1,0.04
Eva Navarro,Real Madrid CF,1,2,0.51
F. Dembele,CD Tenerife,0,1,0.05
Fatou Kanteh,Sevilla FC,0,1,0.09
Fiamma Benítez,Club Atlético de Madrid Féminas,1,3,0.53
G. García,Club Atlético de Madrid Féminas,2,1,0.92
Garazi Fácila,SD Eibar,0,6,0.41
Guereñu,SD Eibar,0,2,0.16
H. Antonsdóttir,Madrid CFF,1,2,0.2
Intza Eguiguren,Real Sociedad de Fútbol,0,1,0.09
Inés Rizo,Levante UD,1,0,0.34
Iria Castro,DUX Logroño,0,1,0.05
Irina Uribe,FC Badalona Women,0,2,0.35
Iris Arnaiz,Sevilla FC,0,1,0.03
Isina,DUX Logroño,0,3,0.58
Itziar Pinillos,FC Badalona Women,0,3,0.11
J. Morcillo,DUX Logroño,0,1,0.07
Jone Amezaga,Athletic Club Bilbao,0,1,0.1
Julia Torres,Sevilla FC,0,1,0.03
Júlia Bartel,Club Atlético de Madrid Féminas,0,1,0.03
K. Cahynová,Real Sociedad de Fútbol,0,3,0.26
K. Melgård,Madrid CFF,1,4,1.25
Kika Nazareth,FC Barcelona,3,4,1.47
L. Caicedo,Real Madrid CF,0,5,1.34
L. Chamorro,FC Badalona Women,0,1,0.1
L. Kullashi,FC Badalona Women,1,4,0.6
L. Solvoll,Granada CF,0,1,0.03
Laia Aleixandri,FC Barcelona,0,1,0.03
Laura Camino,SD Eibar,0,3,0.2
Laura Martínez,Reial Club Deportiu Espanyol,0,7,0.96
Laura Pérez,Granada CF,0,8,0.43
Lauri,Granada CF,1,7,0.53
Leire Baños,Athletic Club Bilbao,0,1,0.06
Leles,Granada CF,0,1,0.05
Luany,Club Atlético de Madrid Féminas,2,4,0.52
Lucía Moral,Sevilla FC,0,2,0.12
Lucía Pardo,Real Sociedad de Fútbol,0,5,0.38
