Player,Team,Passes,Total_xT,xT
A. Bélem,Eibar,103,0.23937032,0.239
A. Canales,Badalona,113,0.16140828000000002,0.161
A. Leitner,Logroño,94,1.9744218599999999,1.974
A. Marques,Sevilla,159,0.7513387699999999,0.751
A. Poljak,Madrid,144,-0.25688972,-0.257
A. Quintero,Alhama,70,0.19300219999999998,0.193
A. Zaremba,Tenerife,127,0.51836286,0.518
A. Álvarez,Sevilla,58,0.04459556,0.045
Adriana Folgado,Real Madrid,5,-0.0006888099999999998,-0.001
Adriana Nanclares,Athletic Club,167,0.42636357,0.426
Aiara Agirrezabala,Real Sociedad,156,0.07903358,0.079
Ainhoa Marín,Deportivo La Coruña,95,0.58649522,0.586
Ainhoa Moraza,Real Sociedad,274,0.44529799999999997,0.445
Ainoa Campo,Espanyol,95,-0.07527162,-0.075
Aitana Bonmatí,Barcelona,167,1.3037855299999999,1.304
Aitana Zumárraga,Alhama,109,1.5307739999999999,1.531
Aithiara Carballo,Tenerife,111,0.047249870000000006,0.047
Alba Cerrato,Sevilla,44,0.07251841,0.073
Alba López,Sevilla,24,0.10036120999999998,0.1
Alba Pérez,Granada,276,0.29398605,0.294
Alba Redondo,Real Madrid,21,0.03010265,0.03
Alba Ruiz,Madrid,66,0.44834551,0.448
Alexia Fernández,Atlético Madrid,115,1.1125186599999999,1.113
Alexia Putellas,Barcelona,137,0.34316183999999994,0.343
Alharilla Casado,Levante,215,1.51019781,1.51
Alicia Redondo,Sevilla,20,0.12348020999999998,0.123
Amaia Iribarren,Eibar,29,0.006712149999999997,0.007
Amaia Martínez,Espanyol,106,0.34250048,0.343
Amaiur Sarriegi,Atlético Madrid,25,-0.03091315,-0.031
Ana Franco,Levante,21,0.26206473999999996,0.262
Ana González,Badalona,82,0.17863965999999998,0.179
Ana Velázquez,Alhama,83,0.10255542,0.103
Ana Vitória,Atlético Madrid,32,0.2458356,0.246
Andrea Colomina,Logroño,33,0.29390466,0.294
Andrea Gómez,Granada,31,0.6111295999999999,0.611
Andrea Medina,Atlético Madrid,110,0.43967430999999996,0.44
Andrea Tarazona,Levante,56,0.04230957000000001,0.042
Andreia Jacinto,Real Sociedad,215,1.29391977,1.294
Ane Azkona,Athletic Club,22,0.27194119,0.272
Ane Campos,Athletic Club,25,-0.020575839999999998,-0.021
Ane Elexpuru,Athletic Club,166,0.86789971,0.868
Ane Etxezarreta,Eibar,108,0.43401871999999997,0.434
Anita Marcos,Madrid,33,0.13740374,0.137
Anna Torrodà,Espanyol,121,0.31425980000000003,0.314
Arene Altonaga,Eibar,63,0.13094733,0.131
Ariadna Mingueza,Granada,201,1.06180853,1.062
Ariana Arias,Tenerife,17,-0.021644089999999998,-0.022
Arola Aparicio,Real Sociedad,106,0.22326309999999994,0.223
Astrid Álvarez,Alhama,51,0.02852806,0.029
Athenea del Castillo,Real Madrid,51,0.21722518,0.217
Aïcha Cámara,Barcelona,74,0.38854479,0.389
B. Amani,Tenerife,72,0.09819926999999999,0.098
B. Schulze,Athletic Club,80,0.054721530000000004,0.055
Bascu,Levante,52,0.09582100999999998,0.096
Belén Martínez,Alhama,47,0.6117157999999999,0.612
Belén de Gracia,Madrid,99,0.11698418000000001,0.117
Berta Doltra,Badalona,31,0.62306361,0.623
Bicho,Tenerife,1,-0.005311739999999999,-0.005
Blanca Muñoz,Granada,13,0.015564569999999995,0.016
Bárbara Latorre,Deportivo La Coruña,25,0.15166568,0.152
Bárbara López,Madrid,6,0.019232449999999998,0.019
C. Barclais,Badalona,90,1.48939083,1.489
C. Cavanagh,Deportivo La Coruña,21,0.0,0.0
C. Graham Hansen,Barcelona,41,0.29600972999999997,0.296
C. Hagel,Sevilla,97,0.04841988999999999,0.048
C. Hirao,Granada,112,0.13063627,0.131
C. Weir,Real Madrid,72,0.02895538999999999,0.029
Carla Andrés,Eibar,181,0.27546062,0.275
Carla Castiñeyras,Alhama,88,0.72241209,0.722
Carlota Suárez,Tenerife,17,0.04057668,0.041
Carmen Menayo,Atlético Madrid,57,0.09562949,0.096
Carmen Álvarez,Eibar,4,0.02449463,0.024
