Player,Team,Minutes
A. Bélem,Eibar,360.0
A. Canales,Badalona,360.0
A. Leitner,Logroño,270.0
A. Marques,Sevilla,258.0
A. Poljak,Madrid,270.0
A. Quintero,Alhama,270.0
A. Zaremba,Tenerife,270.0
A. Álvarez,Sevilla,152.0
Adriana Folgado,Real Madrid,23.0
Adriana Nanclares,Athletic Club,360.0
Aiara Agirrezabala,Real Sociedad,315.0
Ainhoa Marín,Deportivo La Coruña,270.0
Ainhoa Moraza,Real Sociedad,360.0
Ainoa Campo,Espanyol,287.0
Aitana Bonmatí,Barcelona,247.0
Aitana Zumárraga,Alhama,270.0
Aithiara Carballo,Tenerife,265.0
Alba Cerrato,Sevilla,142.0
Alba López,Sevilla,46.0
Alba Pérez,Granada,360.0
Alba Redondo,Real Madrid,117.0
Alba Ruiz,Madrid,156.0
Alexia Fernández,Atlético Madrid,178.0
Alexia Putellas,Barcelona,157.0
Alharilla Casado,Levante,360.0
Alicia Redondo,Sevilla,26.0
Amaia Iribarren,Eibar,165.0
Amaia Martínez,Espanyol,276.0
Amaiur Sarriegi,Atlético Madrid,135.0
Ana Franco,Levante,146.0
Ana González,Badalona,205.0
Ana Velázquez,Alhama,270.0
Ana Vitória,Atlético Madrid,113.0
Andrea Colomina,Logroño,246.0
Andrea Gómez,Granada,65.0
Andrea Medina,Atlético Madrid,182.0
Andrea Tarazona,Levante,180.0
Andreia Jacinto,Real Sociedad,348.0
Ane Azkona,Athletic Club,177.0
Ane Campos,Athletic Club,149.0
Ane Elexpuru,Athletic Club,301.0
Ane Etxezarreta,Eibar,335.0
Anita Marcos,Madrid,162.0
Anna Torrodà,Espanyol,320.0
Arene Altonaga,Eibar,338.0
Ariadna Mingueza,Granada,360.0
Ariana Arias,Tenerife,115.0
Arola Aparicio,Real Sociedad,298.0
Astrid Álvarez,Alhama,243.0
Athenea del Castillo,Real Madrid,181.0
Aïcha Cámara,Barcelona,81.0
B. Amani,Tenerife,261.0
B. Schulze,Athletic Club,204.0
Bascu,Levante,107.0
Belén Martínez,Alhama,230.0
Belén de Gracia,Madrid,270.0
Berta Doltra,Badalona,80.0
Bicho,Tenerife,9.0
Blanca Muñoz,Granada,36.0
Bárbara Latorre,Deportivo La Coruña,141.0
Bárbara López,Madrid,5.0
C. Barclais,Badalona,126.0
C. Cavanagh,Deportivo La Coruña,34.0
C. Graham Hansen,Barcelona,90.0
C. Hagel,Sevilla,260.0
C. Hirao,Granada,360.0
C. Weir,Real Madrid,174.0
Carla Andrés,Eibar,360.0
Carla Castiñeyras,Alhama,242.0
Carlota Suárez,Tenerife,118.0
Carmen Menayo,Atlético Madrid,69.0
Carmen Álvarez,Eibar,13.0
Carol Marín,Levante,270.0
Cata Coll,Barcelona,270.0
Cecilia Marcos,Real Sociedad,32.0
Cinta Rodríguez,Tenerife,11.0
Clara Rodríguez,Granada,75.0
Clara Serrajordi,Barcelona,90.0
Claudia Blanco,Tenerife,9.0
Claudia Florentino,Real Sociedad,0.0
Clàudia Pina,Barcelona,109.0
Cristina Baudet,Espanyol,84.0
Cristina Cubedo,Badalona,360.0
Cristina Postigo,Granada,360.0
D. Caracas,Espanyol,351.0
D. Falfán,Logroño,270.0
Daniela Agote,Athletic Club,306.0
Daniela Luque,Levante,109.0
Dolores Silva,Levante,343.0
Débora García,Sevilla,225.0
E. Banini,Badalona,223.0
E. Botero,Espanyol,90.0
E. Brugts,Barcelona,214.0
E. Gómez,Alhama,180.0
E. Imade,Real Sociedad,123.0
E. Nautnes,Madrid,240.0
E. Pajor,Barcelona,250.0
E. Pizarro,Deportivo La Coruña,26.0
Elba Vergés,Tenerife,270.0
Elena Julve,Badalona,221.0
Elena Vázquez,Deportivo La Coruña,180.0
Elena de Toro,Alhama,270.0
Elene Guridi,Real Sociedad,74.0
Emma Moreno,Eibar,110.0
Emma Ramírez,Real Sociedad,121.0
Encarni,Alhama,270.0
Estefa Lima,Alhama,57.0
Esther Laborde,Madrid,220.0
Esther Martín-Pozuelo,Sevilla,142.0
Esther Sullastres,Sevilla,270.0
Eunate Astralaga,Eibar,360.0
Eva Alonso,Levante,360.0
Eva Dios,Deportivo La Coruña,6.0
Eva Llamas,Sevilla,100.0
Eva Navarro,Real Madrid,175.0
F. Angeldahl,Real Madrid,153.0
F. Dembele,Tenerife,259.0
F. Mawete,Logroño,142.0
F. Olofsson,Madrid,71.0
Fatou Kanteh,Sevilla,234.0
Fiamma Benítez,Atlético Madrid,188.0
G. García,Atlético Madrid,239.0
Garazi Fácila,Eibar,360.0
Gemma Gili,Sevilla,76.0
Gio Garbelini,Atlético Madrid,104.0
Gonzi,Levante,109.0
