Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Caruso,FC Bayern München,1,0.05,0.05,0.0
A. Ilestedt,Eintracht Frankfurt,1,0.2,0.0,0.2
A. Şehitler,FC Bayern München,1,0.05,0.0,0.05
C. Kramer,TSV Bayer 04 Leverkusen,1,0.05,0.05,0.0
C. Simon,FC Bayern München,1,0.05,0.0,0.05
E. Memeti,Eintracht Frankfurt,2,0.14,0.06,0.08
E. Senß,Eintracht Frankfurt,3,0.2,0.11,0.09
F. Kett,FC Bayern München,1,0.09,0.09,0.0
G. Reuteler,Eintracht Frankfurt,2,1.03,1.03,0.0
H. Raso,Eintracht Frankfurt,1,0.08,0.08,0.0
J. Damnjanović,FC Bayern München,2,0.77,0.77,0.0
J. Debitzki,SGS Essen 1968,1,0.05,0.05,0.0
J. Mickenhagen,TSV Bayer 04 Leverkusen,1,0.03,0.03,0.0
K. Bühl,FC Bayern München,1,0.46,0.46,0.0
K. Kögel,TSV Bayer 04 Leverkusen,1,0.1,0.1,0.0
L. Bäcker,SGS Essen 1968,1,0.03,0.03,0.0
L. Elmazi,SGS Essen 1968,1,0.08,0.08,0.0
L. Freigang,Eintracht Frankfurt,1,0.4,0.4,0.0
L. Köpp,SGS Essen 1968,1,0.03,0.03,0.0
L. Schüller,FC Bayern München,2,0.19,0.19,0.0
N. Anyomi,Eintracht Frankfurt,2,0.39,0.29,0.1
N. Kowalski,SGS Essen 1968,1,0.1,0.1,0.0
N. Riesen,Eintracht Frankfurt,1,0.03,0.03,0.0
R. Chiba,Eintracht Frankfurt,3,1.2,0.41,0.79
R. Grant,TSV Bayer 04 Leverkusen,2,0.51,0.51,0.0
S. Van Belle,SGS Essen 1968,1,0.07,0.0,0.07
S. Zdebel,TSV Bayer 04 Leverkusen,1,0.03,0.03,0.0
V. Fudalla,TSV Bayer 04 Leverkusen,2,0.15,0.15,0.0
V. Gilles,FC Bayern München,4,0.59,0.0,0.59
İ. Açıkgöz,Eintracht Frankfurt,1,0.03,0.03,0.0
