playerName,Team,ActualDisruptions,ExpectedDisruptions
R. Lejeune,Lens,3,0.054
R. Éloissaint,Nantes,1,0.09
S. Bacha,OL Lyonnes,1,3.108
S. Cambot,Saint-Étienne,2,1.125
S. Elisor,Olympique Marseille,6,0.28
S. Enge,Strasbourg,0,2.912
S. Hornemann,Saint-Étienne,2,1.357
S. Jeudy,Lens,0,0.033
S. Karchaoui,PSG,2,1.74
S. Kassi,Le Havre,0,0.0
S. Magalhães,Olympique Marseille,2,0.0
S. Ouchene,Montpellier,2,0.8160000000000001
S. Scott,Paris FC,1,0.09
S. Svava,OL Lyonnes,0,0.319
T. David,Lens,1,0.0
T. Elimbi Gilbert,PSG,0,1.5300000000000002
T. Gallais,Le Havre,1,0.014
T. Joseph,Olympique Marseille,7,0.176
T. Laplacette,Olympique Marseille,4,0.672
T. Sissoko,Paris FC,1,0.371
V. Bècho,OL Lyonnes,3,1.4000000000000001
W. Fon,Saint-Étienne,3,0.507
W. Renard,OL Lyonnes,2,3.102
Wang Yanwen,Dijon,0,0.7410000000000001
Wu Chengshu,Dijon,1,0.715
Z. Stiévenart,Le Havre,0,1.408
É. De Almeida,PSG,5,2.73
É. Kouache,Le Havre,6,2.415
É. Rambaud,Montpellier,0,0.022
É. Tsé,Le Havre,5,0.79
