Player,Team,GPA,Avg,GPA Rating
A. Leitner,Logroño,1.171,0.5855,59.45
Andrea Colomina,Logroño,0.6220000000000001,0.31100000000000005,48.57
D. Falfán,Logroño,0.5730000000000001,0.28650000000000003,47.6
F. Mawete,Logroño,0.099,0.099,38.2
Iria Castro,Logroño,0.7280000000000001,0.36400000000000005,50.67
Isina,Logroño,0.637,0.3185,48.87
J. Morcillo,Logroño,0.17099999999999999,0.17099999999999999,39.63
Lorena Valderas,Logroño,0.41400000000000003,0.20700000000000002,44.45
M. Asenjo,Logroño,0.759,0.3795,51.28
Marta Masferrer,Logroño,0.7620000000000001,0.38100000000000006,51.34
María Miralles,Logroño,0.9640000000000001,0.48200000000000004,55.35
Natalia Cebolla,Logroño,0.454,0.227,45.24
Paula Partido,Logroño,0.43100000000000005,0.21550000000000002,44.78
Paula Rubio,Logroño,0.053000000000000005,0.053000000000000005,37.29
X. Velazco,Logroño,0.11499999999999999,0.11499999999999999,38.52
Z. Matthews,Logroño,0.5700000000000001,0.5700000000000001,47.54
Ainhoa Marín,Deportivo La Coruña,0.509,0.509,46.33
Bárbara Latorre,Deportivo La Coruña,0.277,0.277,41.73
C. Cavanagh,Deportivo La Coruña,0.272,0.272,41.63
Eva Dios,Deportivo La Coruña,0.06000000000000001,0.06000000000000001,37.43
Henar Muiña,Deportivo La Coruña,0.43600000000000005,0.43600000000000005,44.88
Inês Pereira,Deportivo La Coruña,0.602,0.602,48.17
Lucía Martínez,Deportivo La Coruña,0.524,0.524,46.63
M. Barth,Deportivo La Coruña,1.221,1.221,60.44
Marina Artero,Deportivo La Coruña,1.278,1.278,61.57
Marisa García,Deportivo La Coruña,0.162,0.162,39.45
Olaya Rodríguez,Deportivo La Coruña,0.561,0.561,47.36
Paula Gutiérrez,Deportivo La Coruña,0.17099999999999999,0.17099999999999999,39.63
Paula Monteagudo,Deportivo La Coruña,0.549,0.549,47.12
Raquel García,Deportivo La Coruña,1.091,1.091,57.86
Redru,Deportivo La Coruña,0.187,0.187,39.95
S. Ortíz,Deportivo La Coruña,0.666,0.666,49.44
A. Zaremba,Tenerife,0.534,0.534,46.82
Aithiara Carballo,Tenerife,0.604,0.604,48.21
Ariana Arias,Tenerife,0.202,0.202,40.25
B. Amani,Tenerife,0.613,0.613,48.39
Bicho,Tenerife,0.036,0.036,36.96
Carlota Suárez,Tenerife,0.199,0.199,40.19
Cinta Rodríguez,Tenerife,0.064,0.064,37.51
Claudia Blanco,Tenerife,0.074,0.074,37.71
Elba Vergés,Tenerife,0.48600000000000004,0.48600000000000004,45.87
F. Dembele,Tenerife,0.507,0.507,46.29
Iratxe Pérez,Tenerife,0.098,0.098,38.18
Natalia Ramos,Tenerife,0.599,0.599,48.11
Noelia Ramos,Tenerife,0.45999999999999996,0.45999999999999996,45.36
Paola Hernández,Tenerife,0.324,0.324,42.66
Patri Gavira,Tenerife,0.321,0.321,42.6
S. Ouzraoui Diki,Tenerife,0.33999999999999997,0.33999999999999997,42.98
A. Poljak,Madrid,1.258,0.629,61.17
Alba Ruiz,Madrid,0.607,0.3035,48.27
Anita Marcos,Madrid,0.372,0.186,43.61
Belén de Gracia,Madrid,1.262,0.631,61.25
Bárbara López,Madrid,0.05,0.05,37.23
E. Nautnes,Madrid,0.37300000000000005,0.18650000000000003,43.63
Esther Laborde,Madrid,1.199,0.5995,60.0
F. Olofsson,Madrid,0.727,0.3635,50.65
H. Antonsdóttir,Madrid,1.5010000000000001,0.7505000000000001,65.99
K. Melgård,Madrid,0.759,0.3795,51.28
M. Marcetto,Madrid,0.62,0.31,48.53
Mônica,Madrid,1.359,0.6795,63.18
N. Andonova,Madrid,0.479,0.2395,45.73
N. Sánchez,Madrid,0.21200000000000002,0.10600000000000001,40.44
Núria Mendoza,Madrid,0.764,0.764,51.38
Sandra Villafañe,Madrid,2.089,1.0445,77.64
Ángela Sosa,Madrid,1.4969999999999999,0.7484999999999999,65.91
A. Bélem,Eibar,0.9570000000000001,0.47850000000000004,55.21
Amaia Iribarren,Eibar,0.437,0.2185,44.9
Ane Etxezarreta,Eibar,1.1309999999999998,0.5654999999999999,58.66
Arene Altonaga,Eibar,0.709,0.3545,50.29
Carla Andrés,Eibar,1.238,0.619,60.78
Emma Moreno,Eibar,0.219,0.1095,40.58
Eunate Astralaga,Eibar,1.1260000000000001,0.5630000000000001,58.56
Garazi Fácila,Eibar,0.925,0.4625,54.57
Guereñu,Eibar,1.0210000000000001,0.5105000000000001,56.48
Iara,Eibar,0.184,0.184,39.89
Karolina Sarasua,Eibar,0.031,0.031,36.86
Laura Camino,Eibar,1.154,0.577,59.11
Malen Uranga,Eibar,0.095,0.0475,38.12
Mireia Masegur,Eibar,0.8009999999999999,0.40049999999999997,52.12
Pachu,Eibar,0.22400000000000003,0.22400000000000003,40.68
Sara Martín,Eibar,0.825,0.4125,52.59
Alexia Fernández,Atlético Madrid,0.7939999999999999,0.39699999999999996,51.98
Amaiur Sarriegi,Atlético Madrid,0.28800000000000003,0.14400000000000002,41.95
Ana Vitória,Atlético Madrid,0.042,0.021,37.07
Andrea Medina,Atlético Madrid,1.367,0.6835,63.33
Carmen Menayo,Atlético Madrid,0.255,0.255,41.3
Fiamma Benítez,Atlético Madrid,1.084,0.542,57.73
G. García,Atlético Madrid,1.2559999999999998,0.6279999999999999,61.13
Gio Garbelini,Atlético Madrid,0.38100000000000006,0.19050000000000003,43.79
Júlia Bartel,Atlético Madrid,0.275,0.1375,41.69
Lauren Leal,Atlético Madrid,2.2600000000000002,1.1300000000000001,81.03
Lola Gallardo,Atlético Madrid,1.187,0.5935,59.77
Luany,Atlético Madrid,0.6849999999999999,0.34249999999999997,49.82
Macarena Portales,Atlético Madrid,0.664,0.332,49.4
S. Jensen,Atlético Madrid,0.326,0.163,42.7
Silvia Lloris,Atlético Madrid,1.748,0.874,70.88
V. Bøe Risa,Atlético Madrid,1.2810000000000001,0.6405000000000001,61.63
Xènia Pérez,Atlético Madrid,1.092,1.092,57.88
Aiara Agirrezabala,Real Sociedad,1.043,0.5215,56.91
Ainhoa Moraza,Real Sociedad,1.736,0.868,70.65
Andreia Jacinto,Real Sociedad,1.232,0.616,60.66
Arola Aparicio,Real Sociedad,0.503,0.2515,46.21
Cecilia Marcos,Real Sociedad,0.133,0.133,38.88
Claudia Florentino,Real Sociedad,0.005,0.005,36.34
Elene Guridi,Real Sociedad,0.257,0.1285,41.34
Emma Ramírez,Real Sociedad,0.6719999999999999,0.33599999999999997,49.56
Intza Eguiguren,Real Sociedad,0.06,0.06,37.43
Julia Arrula,Real Sociedad,1.177,0.5885,59.57
K. Cahynová,Real Sociedad,1.114,0.557,58.32
Lucía Pardo,Real Sociedad,0.441,0.2205,44.98
Lucía Rodríguez,Real Sociedad,0.605,0.3025,48.23
María Molina,Real Sociedad,0.884,0.442,53.76
Nahia Aparicio,Real Sociedad,1.559,0.7795,67.14
Nerea Eizagirre,Real Sociedad,0.916,0.458,54.4
Paula Fernández,Real Sociedad,1.419,0.7095,64.36
A. Marques,Sevilla,1.7189999999999999,0.8594999999999999,70.31
A. Álvarez,Sevilla,0.6380000000000001,0.31900000000000006,48.89
Alba Cerrato,Sevilla,0.257,0.1285,41.34
Alba López,Sevilla,0.074,0.074,37.71
Alicia Redondo,Sevilla,0.258,0.258,41.35
C. Hagel,Sevilla,0.7630000000000001,0.38150000000000006,51.36
Débora García,Sevilla,0.952,0.476,55.11
Esther Martín-Pozuelo,Sevilla,1.283,0.6415,61.67
Esther Sullastres,Sevilla,1.422,0.711,64.42
Eva Llamas,Sevilla,0.20600000000000002,0.10300000000000001,40.32
Fatou Kanteh,Sevilla,0.393,0.1965,44.03
Gemma Gili,Sevilla,0.488,0.488,45.91
Iris Arnaiz,Sevilla,0.586,0.293,47.86
Isabel Álvarez,Sevilla,2.2079999999999997,1.1039999999999999,80.0
Julia Torres,Sevilla,1.2570000000000001,0.6285000000000001,61.15
Lucía Moral,Sevilla,0.29300000000000004,0.14650000000000002,42.05
Rosa Márquez,Sevilla,1.1809999999999998,0.5904999999999999,59.65
Xenia Barrios,Sevilla,0.064,0.064,37.51
Ainoa Campo,Espanyol,0.875,0.4375,53.58
Amaia Martínez,Espanyol,0.682,0.341,49.76
Anna Torrodà,Espanyol,0.9570000000000001,0.47850000000000004,55.21
Cristina Baudet,Espanyol,0.10500000000000001,0.10500000000000001,38.32
D. Caracas,Espanyol,1.264,0.632,61.29
E. Botero,Espanyol,0.628,0.628,48.69
L. Ballesté,Espanyol,1.2710000000000001,0.6355000000000001,61.43
Laura Martínez,Espanyol,1.277,0.6385,61.55
Lucía Vallejo,Espanyol,0.914,0.457,54.36
Mar Torrás,Espanyol,0.221,0.1105,40.62
Naima García,Espanyol,0.5730000000000001,0.28650000000000003,47.6
O. Fergusson,Espanyol,0.12000000000000002,0.06000000000000001,38.62
Ona Baradad,Espanyol,0.547,0.2735,47.08
P. Browne,Espanyol,0.157,0.0785,39.35
Paula Arana,Espanyol,0.666,0.333,49.44
Paula Perea,Espanyol,0.16699999999999998,0.08349999999999999,39.55
R. Salvador,Espanyol,0.8039999999999999,0.40199999999999997,52.18
Ángeles del Álamo,Espanyol,0.089,0.089,38.01
Alba Redondo,Real Madrid,0.127,0.0635,38.76
Athenea del Castillo,Real Madrid,0.5660000000000001,0.28300000000000003,47.46
C. Weir,Real Madrid,0.6599999999999999,0.32999999999999996,49.32
Eva Navarro,Real Madrid,0.827,0.4135,52.63
F. Angeldahl,Real Madrid,1.759,0.8795,71.1
H. Bennison,Real Madrid,0.193,0.193,40.07
Irune Dorado,Real Madrid,0.504,0.504,46.23
L. Caicedo,Real Madrid,1.0130000000000001,0.5065000000000001,56.32
M. Frohms,Real Madrid,0.8049999999999999,0.40249999999999997,52.2
M. Lakrar,Real Madrid,1.597,0.7985,67.89
María Méndez,Real Madrid,2.1390000000000002,1.0695000000000001,78.63
