Player,Team,Minutes
A. Claire,Fleury 91,6.0
A. Ebayilin,PSG,3.0
A. Fontaine,Dijon,18.0
A. Le Moguédec,Paris FC,61.0
A. Pierre-Louis,Saint-Étienne,18.0
A. Yeboah,Strasbourg,16.0
C. Bertrand,Lens,82.0
C. Caputo,Fleury 91,6.0
C. Chabod,Montpellier,9.0
C. Cosme,Nantes,84.0
C. Dunn,PSG,45.0
C. Effa Effa,Le Havre,85.0
C. Fernandes,Fleury 91,67.0
C. Robillard,Nantes,25.0
C. Tapia,Saint-Étienne,72.0
D. Bien-Aimé,Saint-Étienne,8.0
D. Corboz,Paris FC,61.0
D. Davis,Paris FC,72.0
E. Kamczyk,Fleury 91,23.0
E. Laurent,Fleury 91,84.0
E. Paljevic,Nantes,65.0
F. Bataillard,Saint-Étienne,82.0
F. Jourde,PSG,76.0
G. Grzybowska,Dijon,6.0
I. Adjabi,Le Havre,59.0
I. Konan,Strasbourg,74.0
I. Saoud,Nantes,45.0
J. Denizot,Dijon,5.0
J. Echegini,PSG,87.0
J. Mossard,Nantes,45.0
J. Nassi,Le Havre,12.0
K. El Koumir,Lens,15.0
K. Jedlińska,Paris FC,18.0
K. Roche-Dufour,Paris FC,18.0
L. Archier,Lens,75.0
L. Cance,Fleury 91,84.0
L. Declercq,Dijon,33.0
L. Fleury,Nantes,72.0
L. Gay,Dijon,57.0
L. Gstalter,Montpellier,74.0
L. Hannequin,Strasbourg,85.0
L. Hermann,Saint-Étienne,28.0
L. Morissaint,PSG,14.0
L. Pinot,Lens,63.0
L. Storti,Nantes,6.0
M. Babou,Strasbourg,5.0
M. Bethi,Nantes,45.0
M. Garbino,Paris FC,72.0
M. Hoeltzel,Strasbourg,31.0
M. Mendy,Le Havre,31.0
M. N'Dongala,Paris FC,37.0
M. Revelli,Lens,27.0
M. Romanelli,Saint-Étienne,72.0
M. Roth,Le Havre,78.0
M. Terchoun,Dijon,72.0
M. Toloba,Nantes,45.0
M. Traoré,Strasbourg,59.0
N. Ali Nadjim,Saint-Étienne,28.0
N. Istocki,Saint-Étienne,18.0
N. Vagre,Lens,75.0
O. Domin,Dijon,84.0
O. Picard,Paris FC,29.0
R. Ajibade,PSG,45.0
R. Corboz,Saint-Étienne,62.0
R. Éloissaint,Nantes,18.0
S. Jeudy,Lens,15.0
S. Kassi,Le Havre,5.0
S. Ouchene,Montpellier,81.0
S. Scott,Paris FC,29.0
T. David,Lens,8.0
T. Gallais,Le Havre,5.0
T. Sissoko,Paris FC,53.0
W. Fon,Saint-Étienne,62.0
Wang Yanwen,Dijon,85.0
Z. Stiévenart,Le Havre,85.0
É. Rambaud,Montpellier,16.0
