Player,Team,Assists,ShotAssists,xAG
A. Blanchard,Crystal Palace Women FC,0,1,0.1
A. Everett,Crystal Palace Women FC,0,1,0.1
A. Lafayette,Sheffield United WFC,0,1,0.07
A. Nixon,Portsmouth FC Women,0,1,0.08
A. Primus,Southampton FC Women,0,2,0.12
A. Thestrup,Charlton Athletic WFC,0,2,0.14
A. Weerden,Crystal Palace Women FC,0,1,0.08
B. Hepple,Durham WFC,1,1,0.65
B. Lumsden,Newcastle United WFC,1,1,0.54
B. Roe,Ipswich Town FC Women,0,1,0.03
C. Cornet,Birmingham City WFC,0,2,0.13
C. Harrison-Murray,Birmingham City WFC,0,3,0.16
C. Mustaki,Nottingham Forest WFC,1,0,0.61
D. Rose,Nottingham Forest WFC,0,4,0.32
E. Brazil,Southampton FC Women,1,0,0.36
E. Butler,Sheffield United WFC,0,1,0.07
E. Mason,Charlton Athletic WFC,0,1,0.43
E. Murphy,Newcastle United WFC,0,1,0.1
E. Scarr,Sunderland WFC,1,0,0.09
E. Syme,Bristol City WFC,0,3,0.56
E. Taylor,Sheffield United WFC,0,1,0.06
F. Gregory,Newcastle United WFC,0,2,0.41
G. Brougham,Nottingham Forest WFC,0,1,0.03
G. Humphries,Portsmouth FC Women,0,1,0.07
G. Kenney,Charlton Athletic WFC,0,2,0.13
H. Blake,Durham WFC,1,0,0.8
J. Bull,Portsmouth FC Women,0,1,0.05
J. Gray,Portsmouth FC Women,0,1,0.06
J. Simpson,Southampton FC Women,1,0,0.32
J. Vanhaevermaet,Crystal Palace Women FC,0,1,0.03
K. Bradley,Charlton Athletic WFC,1,0,0.49
K. Howat,Crystal Palace Women FC,0,1,0.08
K. Kitching,Sunderland WFC,0,2,0.11
K. Muya,Charlton Athletic WFC,0,1,0.07
K. Watson,Sunderland WFC,1,1,0.16
L. Briggs,Durham WFC,0,2,0.14
L. Crosthwaite,Birmingham City WFC,1,1,0.13
L. Lloyd-Smith,Bristol City WFC,0,1,0.05
L. Mitchell,Ipswich Town FC Women,0,2,0.13
Lee Geum-Min,Birmingham City WFC,1,1,0.85
M. Bashford,Southampton FC Women,0,1,0.07
M. Boswell,Ipswich Town FC Women,0,1,0.04
M. Farrugia,Bristol City WFC,0,1,0.08
M. Foster,Durham WFC,0,1,0.1
M. McAteer,Charlton Athletic WFC,0,1,0.1
M. Meena,Bristol City WFC,0,1,0.03
M. Pike,Newcastle United WFC,0,3,0.15
M. Speckmaier,Durham WFC,0,1,0.07
N. Fenton,Sunderland WFC,1,0,0.07
Nahikari García,Nottingham Forest WFC,0,1,0.05
P. Peake,Ipswich Town FC Women,0,1,0.05
R. Hardy,Bristol City WFC,0,2,0.2
R. Holloway,Birmingham City WFC,2,3,1.34
R. Tucker,Southampton FC Women,0,1,0.1
S. Barker,Portsmouth FC Women,0,1,0.13
S. Cooke,Birmingham City WFC,0,1,0.07
S. Hayles,Newcastle United WFC,1,0,0.52
S. Magill,Birmingham City WFC,0,2,0.13
S. O'Rourke,Sheffield United WFC,0,1,0.05
T. Bourne,Southampton FC Women,1,1,0.44
T. Bristow,Sheffield United WFC,0,1,0.04
V. Sarri,Birmingham City WFC,0,3,0.19
Vicky Losada,Bristol City WFC,0,5,0.58
