Player,Team,Passes,Total_xT,xT
A. Anderson,Angel City,489,1.0424636600000001,1.042
A. Berger,Gotham FC,875,1.34886496,1.349
A. Chapman,Houston Dash,263,0.12431357999999999,0.124
A. Cook,Chicago Stars,48,0.2818805,0.282
A. Cook,Kansas City Current,321,0.40152772999999997,0.402
A. Crnogorčević,Seattle Reign,134,0.61133626,0.611
A. Dahlkemper,Bay,662,2.44522162,2.445
A. Guzmán,Utah Royals,24,0.18783469,0.188
A. Hatch,Washington Spirit,250,1.42427902,1.424
A. James-Turner,Seattle Reign,266,0.41565001999999995,0.416
A. Kennedy,Angel City,648,1.56459523,1.565
A. Kingsbury,Washington Spirit,574,0.6731703400000001,0.673
A. Lemos,Orlando Pride,411,1.79265272,1.793
A. Leon,San Diego Wave,183,-0.36648218,-0.366
A. Loera,Utah Royals,13,-0.002032359999999995,-0.002
A. Malonson,Bay,716,1.32597091,1.326
A. McCammon,Seattle Reign,111,0.43933029999999995,0.439
A. Moorhouse,Orlando Pride,436,0.64723368,0.647
A. Naeher,Chicago Stars,547,0.8352750800000001,0.835
A. Nagai,Utah Royals,103,0.59589764,0.596
A. Oshoala,Bay,111,0.07405817,0.074
A. Patterson,Houston Dash,609,2.9643022699999997,2.964
A. Sanchez,North Carolina Courage,343,2.65386124,2.654
A. Schlegel,Chicago Stars,416,0.94149671,0.941
A. Sentnor,Kansas City Current,82,1.0283333399999999,1.028
A. Sentnor,Utah Royals,358,1.72634925,1.726
A. Smith,Houston Dash,175,0.24746628,0.247
A. Solórzano,Utah Royals,84,0.6963003099999999,0.696
A. Spaanstra,Portland Thorns,58,0.17678874,0.177
A. Thompson,Angel City,380,0.46494148999999996,0.465
A. Watt,Orlando Pride,285,2.34059134,2.341
A. Wright,Racing Louisville,560,0.7145941499999999,0.715
Aline Gomes,North Carolina Courage,99,-0.35024982000000005,-0.35
Ana Tejada,Utah Royals,622,1.01974686,1.02
Angelina,Orlando Pride,539,1.95676421,1.957
Ary Borges,Racing Louisville,267,0.52511846,0.525
B. Balcer,Racing Louisville,12,0.005070489999999999,0.005
B. Banda,Orlando Pride,188,-1.01731425,-1.017
B. Bixby,Portland Thorns,260,0.4837981,0.484
B. Courtnall,North Carolina Courage,16,0.0,0.0
B. Feist,Kansas City Current,40,0.04657689999999999,0.047
B. Franklin,Chicago Stars,474,0.5458677599999999,0.546
B. Martinez,Orlando Pride,5,0.06030606999999999,0.06
B. Mozingo,Utah Royals,197,0.64732042,0.647
B. Olivieri,Houston Dash,351,1.49024427,1.49
B. Pinto,North Carolina Courage,102,0.25329124999999997,0.253
B. Ratcliffe,Washington Spirit,88,0.48290649999999996,0.483
B. St-Georges,Utah Royals,181,0.70711764,0.707
Bia Zaneratto,Kansas City Current,357,-0.17533893,-0.175
Bruninha,Gotham FC,364,3.99101312,3.991
C. Barry,Chicago Stars,19,0.06412153999999999,0.064
C. Bethune,Washington Spirit,282,1.2478011,1.248
C. Biegalski,Chicago Stars,515,3.60197177,3.602
C. Brown,Washington Spirit,144,0.10128377,0.101
C. Conti,Bay,434,2.55292453,2.553
C. Curran,Chicago Stars,35,0.29006450999999994,0.29
C. Dickey,Seattle Reign,728,1.26259531,1.263
C. Dydasco,Bay,938,5.33447116,5.334
C. Dyke,Orlando Pride,523,2.15520032,2.155
C. Emslie,Angel City,199,1.8794756099999999,1.879
