Player,Team,Passes,Total_xT,xT
A. Aherne,Sheffield United,8,0.11125825,0.111
A. Akpan,Southampton,15,0.013715120000000003,0.014
A. Andrews,Sheffield United,13,-0.0032856000000000014,-0.003
A. Ferguson,Southampton,11,0.46437396999999997,0.464
A. Goddard,Southampton,31,0.14468186,0.145
A. Lafayette,Sheffield United,66,0.18376457000000002,0.184
A. Primus,Southampton,17,0.007413130000000009,0.007
B. Roe,Ipswich Town,36,0.14823321,0.148
B. Westrup,Sunderland,4,-0.00010375000000000141,-0.0
C. Devlin,Sheffield United,27,0.10982228,0.11
C. Parker-Smith,Sheffield United,32,0.027060099999999997,0.027
C. Peplow,Southampton,22,0.03543775999999999,0.035
E. Brazil,Southampton,11,-0.13567446,-0.136
E. Butler,Sheffield United,4,0.0,0.0
E. Jones,Sunderland,6,0.011868019999999998,0.012
E. Kinzett,Sheffield United,36,0.09587351,0.096
E. Roberts,Southampton,2,0.0006193799999999992,0.001
E. Scarr,Sunderland,25,0.14056945,0.141
E. Taylor,Sheffield United,71,0.14733348000000002,0.147
F. Stenson,Southampton,56,0.09830333000000001,0.098
G. Moloney,Sunderland,34,0.13231029,0.132
G. Neville,Ipswich Town,48,0.13934202,0.139
H. Greenwood,Sunderland,28,0.008425449999999998,0.008
I. Atkinson,Sunderland,18,0.013629430000000001,0.014
I. Watts,Southampton,2,0.0002897799999999999,0.0
J. Brown,Sunderland,51,0.18611012,0.186
J. Dear,Ipswich Town,13,0.09254380000000001,0.093
J. Finn,Sunderland,3,0.0,0.0
J. Reavill,Sheffield United,73,0.37904824,0.379
J. Simpson,Southampton,54,0.46008487,0.46
K. Barry,Sunderland,7,0.01597264,0.016
K. Kitching,Sunderland,17,0.0009204099999999982,0.001
K. Robertson,Ipswich Town,22,-0.0023096999999999996,-0.002
K. Sena,Southampton,2,0.0,0.0
K. Watson,Sunderland,20,0.11195719000000001,0.112
L. Cowan,Sheffield United,51,0.5683252599999999,0.568
L. Griffiths,Sunderland,61,0.017197280000000002,0.017
L. Mitchell,Ipswich Town,33,-0.03485953000000001,-0.035
L. O'Brien,Ipswich Town,8,-0.04041888000000001,-0.04
L. Thomas,Sheffield United,8,0.20882172000000002,0.209
M. Bashford,Southampton,35,0.10346774999999998,0.103
M. Boswell,Ipswich Town,57,0.38462089,0.385
M. Collett,Southampton,42,0.16641415999999998,0.166
M. McAlonie,Southampton,24,0.007409300000000001,0.007
M. Sheva,Sunderland,33,-0.004461809999999999,-0.004
N. Fenton,Sunderland,53,0.5481615,0.548
N. Negri,Ipswich Town,38,0.09700864000000001,0.097
N. Thomas,Ipswich Town,19,0.009438570000000002,0.009
P. Peake,Ipswich Town,38,0.0062747599999999955,0.006
R. Dean,Ipswich Town,6,-0.013236599999999998,-0.013
R. Doe,Ipswich Town,24,0.02313755,0.023
R. Roberts,Sunderland,32,0.03519256999999999,0.035
R. Tucker,Southampton,11,-0.07388833,-0.074
S. O'Rourke,Sheffield United,19,0.027773739999999998,0.028
S. Peskett,Ipswich Town,26,0.27948079,0.279
T. Bourne,Southampton,67,0.25370967,0.254
T. Bristow,Sheffield United,9,-0.018116039999999996,-0.018
T. George,Sheffield United,19,0.10200472000000001,0.102
