Player,Team,Passes,Total_xT,xT
A. Bélem,Eibar,55,0.12384848999999999,0.124
A. Canales,Badalona,56,0.15076892,0.151
A. Leitner,Logroño,63,1.5199343399999998,1.52
A. Marques,Sevilla,120,0.55965794,0.56
A. Poljak,Madrid,94,-0.25032847999999996,-0.25
A. Quintero,Alhama,41,0.13780413,0.138
A. Zaremba,Tenerife,88,0.25283880999999997,0.253
A. Álvarez,Sevilla,45,0.016866739999999998,0.017
Adriana Nanclares,Athletic Club,92,0.24994401000000002,0.25
Aiara Agirrezabala,Real Sociedad,74,0.07870312,0.079
Ainhoa Marín,Deportivo La Coruña,64,0.18250648999999997,0.183
Ainhoa Moraza,Real Sociedad,136,0.035493069999999995,0.035
Ainoa Campo,Espanyol,45,-0.10335266,-0.103
Aitana Bonmatí,Barcelona,89,0.94025536,0.94
Aitana Zumárraga,Alhama,64,1.09984201,1.1
Aithiara Carballo,Tenerife,70,0.046249290000000005,0.046
Alba Cerrato,Sevilla,19,-0.004326669999999998,-0.004
Alba López,Sevilla,5,0.03166450999999999,0.032
Alba Pérez,Granada,127,0.11182301,0.112
Alba Redondo,Real Madrid,8,0.0024496599999999976,0.002
Alba Ruiz,Madrid,39,0.29540297000000004,0.295
Alexia Fernández,Atlético Madrid,59,0.48318226,0.483
Alexia Putellas,Barcelona,45,0.09108891,0.091
Alharilla Casado,Levante,118,0.9839257,0.984
Alicia Redondo,Sevilla,20,0.12348020999999998,0.123
Amaia Iribarren,Eibar,20,0.010890609999999998,0.011
Amaia Martínez,Espanyol,37,0.01914793,0.019
Amaiur Sarriegi,Atlético Madrid,17,-0.05196584,-0.052
Ana Franco,Levante,13,0.28020361,0.28
Ana González,Badalona,28,0.11858758999999998,0.119
Ana Velázquez,Alhama,57,0.07532512,0.075
Ana Vitória,Atlético Madrid,2,0.0,0.0
Andrea Colomina,Logroño,29,0.28994345,0.29
Andrea Gómez,Granada,4,0.19324610999999997,0.193
Andrea Medina,Atlético Madrid,90,0.005409950000000002,0.005
Andrea Tarazona,Levante,26,0.01450063,0.015
Andreia Jacinto,Real Sociedad,90,0.19941718,0.199
Ane Azkona,Athletic Club,3,0.010396220000000001,0.01
Ane Campos,Athletic Club,13,-0.00633354,-0.006
Ane Elexpuru,Athletic Club,82,0.53240534,0.532
