Player,Team,Passes,Total_xT,xT
A. Beever-Jones,Chelsea,13,-0.018172650000000005,-0.018
A. Greenwood,Manchester City,96,0.051581,0.052
A. Kennedy,London City Lionesses,47,0.17727821,0.177
A. Russo,Arsenal,18,-0.34737207,-0.347
A. Yamashita,Manchester City,29,0.07030719,0.07
B. Mead,Arsenal,20,-0.03204891,-0.032
C. Foord,Arsenal,18,0.004190089999999999,0.004
C. Kelly,Arsenal,23,0.11046003999999998,0.11
C. Macário,Chelsea,11,0.02666019,0.027
D. van Domselaar,Arsenal,34,0.04489962,0.045
E. Carpenter,Chelsea,54,0.08008029000000003,0.08
E. Cuthbert,Chelsea,42,0.10922657,0.109
E. Fox,Arsenal,74,0.50123957,0.501
E. Linari,London City Lionesses,29,0.00149378,0.001
Elene Lete,London City Lionesses,35,0.06179292,0.062
F. Maanum,Arsenal,15,0.15123503000000002,0.151
G. Prior,Manchester City,67,0.027359570000000003,0.027
H. Hampton,Chelsea,39,0.06506201,0.065
I. Beney,Manchester City,2,0.005556659999999998,0.006
I. Goodwin,London City Lionesses,19,-0.030014390000000002,-0.03
J. Roddar,London City Lionesses,13,0.01794672,0.018
J. Rose,Manchester City,52,0.24965109999999996,0.25
J. Rytting Kaneryd,Chelsea,11,0.0025853399999999985,0.003
Jana Fernández,London City Lionesses,43,0.05765468,0.058
K. Asllani,London City Lionesses,23,0.28266334,0.283
K. Casparij,Manchester City,49,0.4240237399999999,0.424
K. Little,Arsenal,60,0.06117557000000001,0.061
K. McCabe,Arsenal,66,0.02167889,0.022
K. Reid,Arsenal,37,0.20514663,0.205
K. Shaw,Manchester City,14,0.01690246,0.017
K. Walsh,Chelsea,56,0.07110123,0.071
K. Zelem,London City Lionesses,25,0.008727039999999998,0.009
L. Blindkilde Brown,Manchester City,10,-0.013729090000000001,-0.014
L. Hemp,Manchester City,38,-0.012550959999999986,-0.013
L. Murphy,Manchester City,26,-0.0038973600000000025,-0.004
Leila Ouahabi,Manchester City,3,0.0,0.0
Lucía Corrales,London City Lionesses,1,0.0,0.0
M. Bright,Chelsea,44,0.023074049999999995,0.023
M. Hamano,Chelsea,41,0.01547170999999999,0.015
Mariona Caldentey,Arsenal,89,0.26516726,0.265
María Pérez,London City Lionesses,21,0.0054795099999999965,0.005
N. Björn,Chelsea,73,0.10031652999999999,0.1
N. Charles,Chelsea,49,0.015070430000000003,0.015
N. Parris,London City Lionesses,18,0.007030739999999999,0.007
O. Jean-François,Chelsea,8,0.014160039999999992,0.014
O. Smith,Arsenal,14,-0.12227083999999998,-0.122
R. Imuran,London City Lionesses,33,-0.002036139999999999,-0.002
S. Baltimore,Chelsea,46,0.06483345,0.065
S. Blackstenius,Arsenal,9,0.07127408999999998,0.071
S. Catley,Arsenal,55,0.05807270999999999,0.058
S. Franssi,London City Lionesses,2,0.0,0.0
S. Jakobsson,London City Lionesses,6,-0.017113709999999997,-0.017
S. Kumagai,London City Lionesses,45,0.06764160000000001,0.068
S. Lohmann,Manchester City,37,0.05239832,0.052
S. Nüsken,Chelsea,3,-0.002347740000000001,-0.002
T. Goldie,London City Lionesses,10,0.02030308,0.02
T. Hinds,Arsenal,11,0.002371070000000003,0.002
V. Miedema,Manchester City,17,0.02899043,0.029
V. Pelova,Arsenal,19,0.35927697000000003,0.359
W. Kaptein,Chelsea,27,0.015082539999999997,0.015
Y. Hasegawa,Manchester City,50,0.06883088,0.069
