Player,Team,GPA,Avg,GPA Rating
A. Greenwood,Manchester City,14.33,14.33,80.89
A. Yamashita,Manchester City,5.25,5.25,52.36
G. Prior,Manchester City,11.58,11.58,72.25
I. Beney,Manchester City,0.62,0.62,37.81
J. Rose,Manchester City,9.01,9.01,64.17
K. Casparij,Manchester City,7.58,7.58,59.68
K. Shaw,Manchester City,4.17,4.17,48.97
L. Blindkilde Brown,Manchester City,1.58,1.58,40.83
L. Hemp,Manchester City,6.11,6.11,55.06
L. Murphy,Manchester City,4.3100000000000005,4.3100000000000005,49.41
Leila Ouahabi,Manchester City,0.64,0.64,37.88
S. Lohmann,Manchester City,6.47,6.47,56.19
V. Miedema,Manchester City,3.7800000000000002,3.7800000000000002,47.74
Y. Hasegawa,Manchester City,9.02,9.02,64.21
A. Russo,Arsenal,2.63,2.63,44.13
B. Mead,Arsenal,2.16,2.16,42.65
C. Foord,Arsenal,1.9200000000000002,1.9200000000000002,41.9
C. Kelly,Arsenal,3.71,3.71,47.52
D. van Domselaar,Arsenal,3.91,3.91,48.15
E. Fox,Arsenal,7.1,7.1,58.17
F. Maanum,Arsenal,2.51,2.51,43.75
K. Little,Arsenal,4.55,4.55,50.16
K. McCabe,Arsenal,6.76,6.76,57.11
K. Reid,Arsenal,4.7,4.7,50.63
Mariona Caldentey,Arsenal,8.81,8.81,63.55
O. Smith,Arsenal,2.75,2.75,44.51
S. Blackstenius,Arsenal,1.28,1.28,39.89
S. Catley,Arsenal,5.15,5.15,52.05
T. Hinds,Arsenal,1.08,1.08,39.26
V. Pelova,Arsenal,2.3,2.3,43.09
A. Kennedy,London City Lionesses,7.37,7.37,59.02
E. Linari,London City Lionesses,3.36,3.36,46.42
Elene Lete,London City Lionesses,4.3,4.3,49.38
I. Goodwin,London City Lionesses,2.74,2.74,44.47
J. Roddar,London City Lionesses,1.73,1.73,41.3
Jana Fernández,London City Lionesses,5.73,5.73,53.87
K. Asllani,London City Lionesses,3.5,3.5,46.86
K. Zelem,London City Lionesses,2.3,2.3,43.09
Lucía Corrales,London City Lionesses,0.35,0.35,36.97
María Pérez,London City Lionesses,3.08,3.08,45.54
N. Parris,London City Lionesses,2.5300000000000002,2.5300000000000002,43.81
R. Imuran,London City Lionesses,4.54,4.54,50.13
S. Franssi,London City Lionesses,0.59,0.59,37.72
S. Jakobsson,London City Lionesses,1.12,1.12,39.38
S. Kumagai,London City Lionesses,5.7,5.7,53.77
T. Goldie,London City Lionesses,1.52,1.52,40.64
W. Sangaré,London City Lionesses,0.05,0.05,36.02
A. Beever-Jones,Chelsea,2.98,2.98,45.23
C. Macário,Chelsea,2.08,2.08,42.4
E. Carpenter,Chelsea,9.25,9.25,64.93
E. Cuthbert,Chelsea,6.42,6.42,56.04
H. Hampton,Chelsea,6.39,6.39,55.94
J. Rytting Kaneryd,Chelsea,1.93,1.93,41.93
K. Walsh,Chelsea,8.59,8.59,62.85
M. Bright,Chelsea,7.45,7.45,59.27
M. Hamano,Chelsea,8.15,8.15,61.47
N. Björn,Chelsea,10.64,10.64,69.3
N. Charles,Chelsea,9.39,9.39,65.37
O. Jean-François,Chelsea,1.31,1.31,39.98
S. Baltimore,Chelsea,6.82,6.82,57.29
S. Nüsken,Chelsea,0.61,0.61,37.78
V. Buurman,Chelsea,0.05,0.05,36.02
W. Kaptein,Chelsea,5.07,5.07,51.8
