Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Béché,RC Strasbourg Alsace,1,0.03,0.03,0.0
A. Claire,Football Club Fleury 91,1,0.07,0.07,0.0
A. Connesson,AS Saint-Étienne,2,0.14,0.04,0.1
A. Traoré,Football Club Fleury 91,5,1.08,0.29,0.79
C. Blanc,Montpellier HSC,1,0.03,0.03,0.0
C. Cosme,FC Nantes,1,0.67,0.0,0.67
C. Effa Effa,Le Havre AC,4,0.59,0.52,0.07
C. Fernandes,Football Club Fleury 91,2,0.1,0.06,0.04
C. Gavory,Le Havre AC,2,0.08,0.04,0.04
C. Matéo,Paris FC,2,0.1,0.1,0.0
C. Ould Hocine,Paris FC,1,0.1,0.1,0.0
D. Davis,Paris FC,1,0.05,0.0,0.05
E. Laurent,Football Club Fleury 91,3,0.21,0.21,0.0
E. Paljevic,FC Nantes,2,0.08,0.08,0.0
F. Jourde,Paris Saint Germain FC,4,0.27,0.22,0.05
F. Proniez,Racing Club de Lens,3,0.15,0.07,0.07
G. Mbock,Paris Saint Germain FC,1,0.05,0.05,0.0
I. Adjabi,Le Havre AC,1,0.04,0.04,0.0
I. Konan,RC Strasbourg Alsace,3,0.56,0.09,0.47
I. Kristoffersen,AS Saint-Étienne,1,0.08,0.0,0.08
I. Saoud,FC Nantes,1,0.07,0.07,0.0
J. Coquet,Montpellier HSC,1,0.15,0.15,0.0
J. Echegini,Paris Saint Germain FC,1,0.1,0.1,0.0
J. Mossard,FC Nantes,1,0.03,0.03,0.0
J. Nassi,Le Havre AC,1,0.1,0.1,0.0
J. Rastocle,Montpellier HSC,2,0.49,0.05,0.44
J. Rouquet,Montpellier HSC,4,0.37,0.27,0.1
K. Roche-Dufour,Paris FC,1,0.05,0.05,0.0
L. Azzaro,Paris FC,3,1.73,0.94,0.79
L. Cance,Football Club Fleury 91,2,0.1,0.1,0.0
L. Fleury,FC Nantes,3,0.21,0.21,0.0
L. Goetsch,Football Club Fleury 91,1,0.05,0.05,0.0
L. Gstalter,Montpellier HSC,2,0.1,0.1,0.0
L. Hannequin,RC Strasbourg Alsace,2,0.83,0.0,0.83
L. Khelifi,FC Nantes,3,0.25,0.25,0.0
M. Boucly,Le Havre AC,2,0.11,0.11,0.0
M. Cosson,FC Nantes,1,0.05,0.05,0.0
M. Diop,RC Strasbourg Alsace,3,0.2,0.2,0.0
M. Hoeltzel,RC Strasbourg Alsace,1,0.03,0.0,0.03
M. Kanjinga,Paris Saint Germain FC,5,0.56,0.46,0.1
M. Ngock,Football Club Fleury 91,1,0.04,0.04,0.0
M. Romanelli,AS Saint-Étienne,1,0.03,0.03,0.0
M. Roth,Le Havre AC,2,0.18,0.18,0.0
M. Terchoun,Dijon FCO,1,0.05,0.05,0.0
M. Traoré,RC Strasbourg Alsace,1,0.05,0.05,0.0
N. Istocki,AS Saint-Étienne,1,0.08,0.08,0.0
N. Ngueleu,Montpellier HSC,2,0.73,0.73,0.0
N. Vagre,Racing Club de Lens,1,0.11,0.0,0.11
Nelly Rodrigues,FC Nantes,1,0.03,0.03,0.0
O. Domin,Dijon FCO,1,0.03,0.03,0.0
R. Corboz,AS Saint-Étienne,1,0.05,0.05,0.0
R. Enguehard,Le Havre AC,2,0.15,0.09,0.06
R. Lejeune,Racing Club de Lens,2,0.16,0.0,0.16
R. Éloissaint,FC Nantes,1,0.03,0.03,0.0
S. Cambot,AS Saint-Étienne,1,0.03,0.03,0.0
S. Enge,RC Strasbourg Alsace,1,0.03,0.0,0.03
S. Hornemann,AS Saint-Étienne,4,0.28,0.28,0.0
S. Jeudy,Racing Club de Lens,1,0.47,0.47,0.0
S. Karchaoui,Paris Saint Germain FC,2,0.19,0.19,0.0
S. Ouchene,Montpellier HSC,1,0.05,0.05,0.0
T. Elimbi Gilbert,Paris Saint Germain FC,3,0.25,0.25,0.0
W. Fon,AS Saint-Étienne,1,0.04,0.04,0.0
Wang Yanwen,Dijon FCO,4,0.22,0.18,0.04
Wu Chengshu,Dijon FCO,3,0.3,0.1,0.2
Z. Stiévenart,Le Havre AC,5,0.57,0.57,0.0
