Player,Team,Minutes
1fsulht7dnofsadigjldqruqy,Saint-Étienne,62.0
1hr9n0uieckwc72jjbnnyznqh,Paris FC,18.0
1ps0l5kcm7pfv34szf08j9h7u,Strasbourg,59.0
1wlzoku6j132t554imm0co99l,Fleury 91,84.0
24w5egwdnqme3z091t0e71c2y,Lens,27.0
263vizqqfp8zwwws0exdrl3o5,PSG,45.0
264rh71zl28k19t4hjxyraa51,Saint-Étienne,72.0
2cp4j91pqwjvy7as74ckhc4wl,Fleury 91,84.0
2pd1juglwcvhspyva4soomyy2,Saint-Étienne,28.0
2r6pce2svynq1uai9ortukkd0,Nantes,45.0
2y91yixrexaezrmurlh85jxn8,Dijon,5.0
3lsctutyex2f4lzc7pu5evswk,Saint-Étienne,8.0
3o1we6pb4axflmhkn1r0b01xx,Fleury 91,23.0
3o5f01ay5uqzeb3xunhguvsyy,Lens,63.0
3tw81tqf5y9qknaudshhnfy8k,Le Havre,12.0
3vpj71lak1r3zl03qfwawu6tw,Paris FC,37.0
3x1kbn2xva6oo50vsao0jcic,Montpellier,16.0
44hh7bsdxtdgehzen3r9i39w,Montpellier,9.0
4b13osk9pzrosvzqt55y7o34l,PSG,45.0
4loxma9k0fc7cpjij34r84u8k,PSG,3.0
4ptow542cf8xp3kct4sbydh5g,Nantes,84.0
4rdywd4n4j0cdzfoifpd35ujt,Montpellier,81.0
50ph0tkxvrb3syo76y5bjbcut,Saint-Étienne,18.0
51nxkfllhexl5a8fs49ka5rtg,PSG,87.0
552lzdgzrbb27bech7ow3v9hx,Fleury 91,67.0
5ar3yyx09va8ndapb39ld5dsk,Saint-Étienne,18.0
5llx8btvfivsk94jnb3c5ksiy,Nantes,45.0
5prpn2flsyeeds8gxkl03euqc,Le Havre,5.0
64xab5mle9expu8or85yvl1m2,Saint-Étienne,72.0
6bxyunovn9fz18mk0cfroy1yi,Nantes,65.0
6ec8x3c72ff11y8yla3kow9yi,Strasbourg,31.0
6ljo4r645lpqni5v4zlam69zo,Lens,82.0
6nwk034ujnhniegawoqci4kwl,Lens,15.0
6qud2meq7a64vqob358jdubxl,Lens,8.0
792nmu21pzzd6eak34jk1qlwq,Le Havre,78.0
7av3y4mwzyr66un89wwrvtgyc,Strasbourg,5.0
7d4y77nkrn4w4dht1c4vr28yx,Paris FC,61.0
7lqdu42zczlrnowx70hu12sb9,Dijon,33.0
7ouo3qztrs5lytmtji95oesph,Dijon,72.0
7q0k7r12n68qa5rfa46ksuvbo,PSG,14.0
7rlb407611uqstyui6t3524lx,Nantes,6.0
869o1odm5het7nc3yxae3tk44,Nantes,25.0
8ls23zdsn7vn3bsx8o3gzwrh0,Dijon,18.0
8sj1zou3yyy05eye1vv2yzfca,Dijon,85.0
9cmaj96tmze645o322ywm44b9,Nantes,45.0
9gugnyggxqnc9fijivw8fvq39,Paris FC,72.0
9jsgojivfuxkhspaabplv0pw4,Montpellier,74.0
a88m9g7fl62fzqszcsoxmbdd6,Dijon,6.0
aga4leu1tmnv7kibufwr119be,Saint-Étienne,62.0
anjtitvpltnc6o5ysehghy39w,Paris FC,18.0
arw9e50in9zw8e9eoul9x8rje,Le Havre,5.0
azitzbihzs5b3iv56nq4iszit,Paris FC,53.0
bf7uvxd5ndxb4buj9pc7ubtw4,Lens,15.0
bhwib3t8au639wq1fzrtiraxg,Paris FC,61.0
cg4yqx0lth6d27oxlgwcuvdn9,Nantes,72.0
cku7p2n8jqtqawi0akxnkjxwq,Strasbourg,85.0
cp2zpmep53fukrxhnw438uas4,Paris FC,29.0
d5qej6x33742typay1d4o5p1w,Dijon,57.0
dll6p4jdigt6ulkqq6yjqudjo,Fleury 91,6.0
dmtwjm62vs3unq5gjzrj5teqx,Fleury 91,6.0
drq8vyskf9ziy918t58h194wk,PSG,76.0
dsm8r3i2k45d7vlqkmzaog9w4,Le Havre,85.0
dvlhgyh3hkz17sqirx3f5g9p0,Nantes,45.0
e3i1n2mnbwqi33q2t541fjy1g,Le Havre,31.0
e6b8efeja7k8dtr003ggxjoyc,Saint-Étienne,28.0
eblfqwhpxhw6775m134ov2e0a,Paris FC,72.0
em8llt5lpfzcv8p21kyisy54a,Nantes,18.0
eovkmgn0hp0pz21jkiz79l3o,Dijon,84.0
esbrslwhto29do1n3ezn2s844,Lens,75.0
et3yygjf96h7sgd43lb5t1yj8,Strasbourg,74.0
eurzcrd0rl8yqcjsjslrwmj2s,Saint-Étienne,82.0
evmbwqfqovwyjjofsmhj8qezu,Paris FC,29.0
eytydvgtbyz081nq7j9u1iu7e,Lens,75.0
f14l6wka08y77hqf1c22lh2xg,Le Havre,59.0
jetc7szq21dg9ado9mszlclw,Strasbourg,16.0
vbbjswuih75z7771voxd7bbo,Le Havre,85.0
