Player,Team,Passes,Total_xT,xT
A. Caruso,Bayern München,3,0.033413990000000005,0.033
A. Ilestedt,Eintracht Frankfurt,62,0.17004156,0.17
A. Şehitler,Bayern München,9,-0.008233269999999997,-0.008
B. Sterner,SGS Essen,1,0.0093758,0.009
C. Kramer,Bayer Leverkusen,25,-0.019973559999999994,-0.02
C. Simon,Bayern München,76,0.06596,0.066
C. Wamser,Bayer Leverkusen,40,0.53627479,0.536
C. Wenger,Bayer Leverkusen,32,0.07544684,0.075
E. Gonzalez,Bayer Leverkusen,3,-0.010194869999999998,-0.01
E. Mahmutovic,Bayern München,59,0.03793813000000001,0.038
E. Memeti,Eintracht Frankfurt,51,0.14679164,0.147
E. Senß,Eintracht Frankfurt,54,0.07389013,0.074
F. Kett,Bayern München,66,0.3649671,0.365
F. Repohl,Bayer Leverkusen,47,0.09091784,0.091
G. Reuteler,Eintracht Frankfurt,36,0.26174569,0.262
G. Stanway,Bayern München,57,0.24558348,0.246
H. Raso,Eintracht Frankfurt,5,0.0,0.0
J. Damnjanović,Bayern München,37,-0.17941703,-0.179
J. Debitzki,SGS Essen,14,0.019065800000000004,0.019
J. Feldkamp,SGS Essen,33,0.26233711,0.262
J. Meißner,SGS Essen,22,0.050060969999999996,0.05
J. Mickenhagen,Bayer Leverkusen,27,0.0032679200000000005,0.003
J. Teulings,Eintracht Frankfurt,13,0.012425200000000006,0.012
J. Veit,Eintracht Frankfurt,53,0.0699076,0.07
J. Vidal,Bayer Leverkusen,2,0.0025646799999999997,0.003
K. Bühl,Bayern München,21,0.03729373,0.037
K. Kögel,Bayer Leverkusen,23,0.12705265999999998,0.127
K. Piljić,Bayer Leverkusen,23,-0.005799909999999998,-0.006
K. Sindermann,SGS Essen,39,0.13880669,0.139
L. Altenburg,Eintracht Frankfurt,35,0.06200243,0.062
L. Bäcker,SGS Essen,7,0.0033407899999999997,0.003
L. Dallmann,Bayern München,22,-0.006572450000000014,-0.007
L. Elmazi,SGS Essen,17,0.042176069999999996,0.042
L. Freigang,Eintracht Frankfurt,23,0.009645719999999997,0.01
L. Gräwe,Eintracht Frankfurt,59,0.19225943999999998,0.192
L. Köpp,SGS Essen,20,0.50921396,0.509
L. Oberdorf,Bayern München,11,0.1142088,0.114
L. Ostermeier,SGS Essen,59,0.49240518,0.492
L. Pucks,SGS Essen,46,0.012822710000000008,0.013
L. Schüller,Bayern München,2,-0.00927925,-0.009
L. Turányi,Bayer Leverkusen,33,0.01895766,0.019
M. Berentzen,SGS Essen,7,0.009150249999999999,0.009
M. Eriksson,Bayern München,100,0.05184548,0.052
M. Tanikawa,Bayern München,25,0.18785571999999998,0.188
N. Anyomi,Eintracht Frankfurt,16,-0.20227979,-0.202
N. Ivelj,Eintracht Frankfurt,17,-0.20013319,-0.2
N. Kowalski,SGS Essen,17,-0.03231147000000001,-0.032
N. Lührßen,Eintracht Frankfurt,64,0.27149538,0.271
N. Riesen,Eintracht Frankfurt,80,0.7303118999999999,0.73
P. Bartz,Bayer Leverkusen,4,0.021069739999999997,0.021
P. Flach,SGS Essen,47,0.004921199999999997,0.005
P. Harder,Bayern München,7,0.02795192,0.028
R. Chiba,Eintracht Frankfurt,8,0.0658511,0.066
R. Grant,Bayer Leverkusen,13,0.0991794,0.099
R. Maier,SGS Essen,20,-0.007599970000000001,-0.008
S. Van Belle,SGS Essen,11,-0.0006705000000000079,-0.001
S. Zadrazil,Bayern München,57,0.019804989999999988,0.02
S. Zdebel,Bayer Leverkusen,33,0.049930089999999996,0.05
V. Fudalla,Bayer Leverkusen,7,0.012388460000000007,0.012
V. Fürst,SGS Essen,39,-0.03434598,-0.034
V. Gilles,Bayern München,98,0.3164825,0.316
V. Haim,Bayer Leverkusen,2,0.01200986,0.012
V. Mädl,Bayer Leverkusen,1,0.0,0.0
İ. Açıkgöz,Eintracht Frankfurt,5,0.00439287,0.004
