Player,Team,VAEP,Avg,VAEP Rating,Games
A. Ferguson,Southampton,1.586986473031953,0.7934932365159765,82.66,2
L. Newell,Birmingham City,1.5478900949476144,0.7739450474738072,81.85,2
D. Cooper,Newcastle United,1.339463487977405,0.6697317439887025,77.54,2
A. Weerden,Crystal Palace,1.007038735305049,0.5035193676525245,70.67,2
T. Bourne,Southampton,0.9455633439829474,0.4727816719914737,69.39,2
T. George,Sheffield United,0.9083129117958378,0.4541564558979189,68.62,2
F. Stenson,Southampton,0.908152485294648,0.454076242647324,68.62,2
G. Moloney,Sunderland,0.8932501472699124,0.29775004908997077,68.31,3
S. Cooke,Birmingham City,0.8876769993180453,0.44383849965902267,68.2,2
C. Newsham,Charlton Athletic,0.8747318246798439,0.43736591233992195,67.93,2
J. Simpson,Southampton,0.8664395671348522,0.4332197835674261,67.76,2
I. Riley,Crystal Palace,0.8642259295039915,0.8642259295039915,67.71,1
M. Foster,Durham,0.8413010066071325,0.28043366886904414,67.24,3
N. Fenton,Sunderland,0.8324472199726374,0.2774824066575458,67.06,3
K. Bradley,Charlton Athletic,0.8310530828512869,0.8310530828512869,67.03,1
C. Mustaki,Nottingham Forest,0.8188181878413885,0.40940909392069424,66.77,2
J. Brown,Sunderland,0.8014508241441928,0.2671502747147309,66.41,3
J. Napier,Crystal Palace,0.79159757730694,0.39579878865347,66.21,2
S. Wilson,Durham,0.790172606807762,0.2633908689359207,66.18,3
L. Cataldo,Newcastle United,0.789100879508689,0.3945504397543445,66.16,2
C. Wellings,Nottingham Forest,0.74811253399578,0.74811253399578,65.31,1
G. Ayre,Durham,0.7115578570871595,0.2371859523623865,64.56,3
L. Griffiths,Sunderland,0.6975481789474972,0.23251605964916575,64.27,3
B. Lumsden,Newcastle United,0.6830913401644931,0.34154567008224657,63.97,2
H. Blake,Durham,0.6622107138532817,0.22073690461776055,63.54,3
R. Hardy,Bristol City,0.435944989608545,0.2179724948042725,58.86,2
A. Blanchard,Crystal Palace,0.3778430876742555,0.18892154383712775,57.66,2
C. Cornet,Birmingham City,0.33713851977239895,0.16856925988619947,56.81,2
C. Harrison-Murray,Birmingham City,0.324161366764976,0.162080683382488,56.55,2
Lee Geum-Min,Birmingham City,0.2999764482557613,0.2999764482557613,56.05,1
E. Syme,Bristol City,0.26388694001215207,0.13194347000607604,55.3,2
L. Lloyd-Smith,Bristol City,0.22864934644673288,0.22864934644673288,54.57,1
J. Stapleton,Nottingham Forest,0.21292223949104916,0.10646111974552458,54.25,2
F. Gregory,Newcastle United,0.19333024266616428,0.09666512133308214,53.84,2
J. Hutton,Charlton Athletic,0.14984047858111457,0.07492023929055729,52.94,2
T. Primmer,Portsmouth,0.13135772885867913,0.06567886442933957,52.56,2
H. Greenwood,Sunderland,0.1290505822331811,0.0430168607443937,52.51,3
E. Mason,Charlton Athletic,0.1265196634691335,0.06325983173456674,52.46,2
P. Peake,Ipswich Town,0.11663053521739067,0.058315267608695334,52.25,2
G. Brougham,Nottingham Forest,0.11081943122292696,0.05540971561146348,52.13,2
E. Kinzett,Sheffield United,0.10531825955081271,0.052659129775406356,52.02,2
R. Holloway,Birmingham City,0.09466134695412401,0.047330673477062005,51.8,2
H. Olding,Nottingham Forest,0.08972212306751659,0.044861061533758295,51.7,2
N. Herron,Birmingham City,0.0813967551284539,0.04069837756422695,51.53,2
S. Yáñez,Crystal Palace,0.08001252311064048,0.04000626155532024,51.5,2
C. Arthur,Crystal Palace,0.07511367534112129,0.037556837670560644,51.4,2
