Player,Team,Assists,ShotAssists,xAG
A. Berger,Gotham FC,0,2,0.16
A. Chapman,Houston Dash,0,2,0.15
A. Cook,Chicago Stars FC,0,1,0.07
A. Dahlkemper,Bay FC,0,4,0.26
A. Guzmán,Utah Royals,0,1,0.03
A. Hatch,Washington Spirit,1,9,1.63
A. James-Turner,Seattle Reign FC,0,5,0.58
A. Kennedy,Angel City FC,1,6,0.76
A. Lemos,Orlando Pride,0,12,1.04
A. Leon,San Diego Wave FC,2,9,1.16
A. Malonson,Bay FC,3,9,1.74
A. McCammon,Seattle Reign FC,0,1,0.04
A. Nagai,Utah Royals,0,2,0.1
A. Oshoala,Bay FC,0,4,0.31
A. Patterson,Houston Dash,1,12,2.18
A. Sanchez,North Carolina Courage,1,13,1.97
A. Schlegel,Chicago Stars FC,2,15,1.64
A. Sentnor,Kansas City Current,0,3,0.24
A. Sentnor,Utah Royals,1,16,1.47
A. Solórzano,Utah Royals,0,5,0.63
A. Spaanstra,Portland Thorns FC,0,2,0.13
A. Thompson,Angel City FC,2,35,3.96
A. Watt,Orlando Pride,1,6,1.68
A. Wright,Racing Louisville FC,2,5,1.05
Aline Gomes,North Carolina Courage,0,3,0.24
Ana Tejada,Utah Royals,0,6,0.34
Angelina,Orlando Pride,1,16,1.73
Ary Borges,Racing Louisville FC,0,6,0.25
B. Banda,Orlando Pride,1,14,1.96
B. Franklin,Chicago Stars FC,1,10,1.3
B. Mozingo,Utah Royals,0,10,0.84
B. Olivieri,Houston Dash,2,9,1.53
B. Pinto,North Carolina Courage,0,3,0.58
B. Ratcliffe,Washington Spirit,1,2,0.58
B. St-Georges,Utah Royals,0,9,1.19
Bia Zaneratto,Kansas City Current,1,20,2.77
Bruninha,Gotham FC,1,9,1.23
C. Bethune,Washington Spirit,1,16,1.81
C. Biegalski,Chicago Stars FC,1,5,0.57
C. Brown,Washington Spirit,0,6,0.4
C. Conti,Bay FC,3,10,1.57
C. Dydasco,Bay FC,0,21,1.72
C. Dyke,Orlando Pride,0,6,0.31
C. Emslie,Angel City FC,1,17,1.6
C. Hanks,Portland Thorns FC,1,9,1.5
C. Hutton,Kansas City Current,2,7,1.48
C. Kizer,Gotham FC,0,1,0.04
C. Kizer,Utah Royals,0,8,0.66
C. Krueger,Washington Spirit,1,3,0.5
C. Lacasse,Utah Royals,0,3,0.21
C. Laris­ey,Houston Dash,0,1,0.38
C. Okwuchukwu,San Diego Wave FC,0,3,0.27
C. Petersen,Racing Louisville FC,3,19,2.95
C. Pickett,Orlando Pride,2,10,0.83
C. Press,Angel City FC,0,7,0.41
C. Vine,North Carolina Courage,0,4,0.6
C. Westphal,Houston Dash,0,3,0.2
Casey Phair,Angel City FC,0,2,0.15
Claudia Zornoza,Utah Royals,2,8,1.21
D. Bailey,Bay FC,0,5,0.66
D. Cascarino,San Diego Wave FC,5,27,5.03
D. Castellanos,Portland Thorns FC,0,13,1.44
D. Colaprico,Houston Dash,0,3,0.24
D. Foederer,Utah Royals,0,12,0.61
D. O'Sullivan,North Carolina Courage,2,10,1.02
D. Sheehan,Houston Dash,2,14,2.07
D. Weatherholt,North Carolina Courage,0,1,0.03
Debinha,Kansas City Current,1,25,3.06
E. Adames,Seattle Reign FC,0,5,0.65
E. Duljan,Houston Dash,0,5,0.72
E. Hase,Racing Louisville FC,1,7,1.12
E. Jean,Racing Louisville FC,0,2,0.12
E. Mason,Seattle Reign FC,0,1,0.06
E. Morgan,Washington Spirit,2,4,0.38
E. Sams,Orlando Pride,0,4,0.31
E. Sears,Racing Louisville FC,0,12,1.16
E. Shores,Angel City FC,0,1,0.03
E. Sonnett,Gotham FC,0,3,0.2
E. Stevens,Gotham FC,1,12,1.97
E. Wheeler,Kansas City Current,1,4,0.55
Esther González,Gotham FC,0,15,1.87
F. Rauch,North Carolina Courage,1,9,2.39
Flora Marta Lacho,Kansas City Current,0,4,0.27
G. Carle,Washington Spirit,0,8,0.8
G. Corley,San Diego Wave FC,1,9,0.92
G. Monday,Washington Spirit,2,10,2.06
G. Thompson,Angel City FC,4,12,1.32
Gabi Portilho,Gotham FC,3,15,2.58
Geyse,Gotham FC,1,5,1.09
H. Bebar,Bay FC,1,8,1.52
H. Betfort,North Carolina Courage,0,5,0.31
H. Hershfelt,Washington Spirit,1,6,0.47
H. Hopkins,Kansas City Current,1,0,0.39
H. Lundkvist,San Diego Wave FC,2,8,1.16
H. Mace,Kansas City Current,4,2,0.77
H. McCutcheon,Orlando Pride,1,6,0.63
H. Stainbrook,Washington Spirit,0,1,0.03
H. Sugita,Portland Thorns FC,3,22,3.02
I. Dorsey,Utah Royals,0,4,0.17
I. Obaze,Portland Thorns FC,0,7,0.42
I. Rodriguez,Kansas City Current,5,22,3.18
J. Anderson,Bay FC,2,2,0.2
J. Bike,Chicago Stars FC,0,4,0.27
J. Bugg,Seattle Reign FC,0,4,0.89
J. Carter,Gotham FC,0,1,0.1
J. Doyle,Orlando Pride,0,1,0.08
J. Dufour,Angel City FC,0,11,0.91
J. Endō,Angel City FC,0,2,0.12
J. Fishlock,Seattle Reign FC,2,5,0.86
J. Fleming,Portland Thorns FC,4,14,3.23
J. Gaynor,Chicago Stars FC,0,1,0.05
J. Grosso,Chicago Stars FC,1,16,1.3
J. Howell,Gotham FC,0,6,0.63
J. Huitema,Seattle Reign FC,1,11,1.68
J. Joseph,Chicago Stars FC,2,12,1.39
J. Perry,Portland Thorns FC,1,0,0.05
J. Shaw,North Carolina Courage,1,19,2.41
J. Shepherd,Bay FC,0,1,0.04
J. Sonis,Racing Louisville FC,4,24,4.52
J. Thomsen,Utah Royals,0,5,0.41
Ji So-Yun,Seattle Reign FC,2,9,1.63
K. Abello,Orlando Pride,0,5,0.32
K. Ascanio,San Diego Wave FC,1,3,0.29
K. Carusa,San Diego Wave FC,0,3,0.2
K. Dali,San Diego Wave FC,2,27,3.85
K. Del Fava,Utah Royals,1,6,0.61
K. Fischer,Racing Louisville FC,2,9,1.59
K. Fuller,Angel City FC,3,18,2.03
K. Harper,Gotham FC,0,1,0.1
K. Hubly,Bay FC,0,2,0.13
K. Kurtz,North Carolina Courage,0,6,0.25
K. Lema,Bay FC,0,6,0.33
K. Lind,Houston Dash,0,1,0.59
K. McNabb,San Diego Wave FC,0,2,0.17
K. Nadaner,Orlando Pride,0,4,0.2
K. O'Kane,Racing Louisville FC,1,6,0.58
K. Pickett,Bay FC,0,6,0.6
K. Ream,Utah Royals,0,4,0.54
K. Riehl,Utah Royals,1,1,0.13
K. Sharples,Kansas City Current,1,5,0.98
K. Stengel,Gotham FC,0,3,0.19
K. Torpey,Portland Thorns FC,0,6,0.71
K. Wesley,San Diego Wave FC,0,1,0.08
K. Wiesner,Washington Spirit,0,4,0.81
K. Zelem,Angel City FC,0,10,0.58
K. van Zanten,Houston Dash,0,6,0.43
L. Barnes,Seattle Reign FC,1,8,0.6
L. Biyendolo,Seattle Reign FC,1,9,0.98
L. LaBonta,Kansas City Current,1,9,0.68
L. Milliet,Racing Louisville FC,1,10,1.17
L. Nesbeth,Chicago Stars FC,0,1,0.28
L. Reale,Gotham FC,1,14,1.18
L. Santos,Washington Spirit,1,11,1.1
Ludmila,Chicago Stars FC,0,10,0.92
M. A. Vignola,Angel City FC,1,6,0.82
M. Alidou,Portland Thorns FC,1,4,0.38
M. Alozie,Houston Dash,0,3,0.15
M. Barcenas,San Diego Wave FC,1,5,1.05
M. Bell,North Carolina Courage,0,4,0.22
M. Berkely,North Carolina Courage,1,4,0.55
M. Boade,Washington Spirit,0,4,0.23
M. Bright,Houston Dash,1,8,1.1
M. Cluff,Utah Royals,0,1,0.05
M. Cooper,Kansas City Current,3,11,4.21
M. Curry,Seattle Reign FC,1,6,0.72
M. Dahlien,Seattle Reign FC,2,4,0.75
M. DiGrande,Racing Louisville FC,0,9,0.58
M. Fishel,Seattle Reign FC,0,2,0.13
M. Fraser,Utah Royals,0,2,0.09
M. Freeman,Gotham FC,0,4,0.19
M. Gautrat,Orlando Pride,1,12,1.47
M. Graham,Houston Dash,2,4,0.46
M. Hammond,Angel City FC,0,5,0.23
M. Hayashi,Chicago Stars FC,1,8,0.6
M. Hodge,Angel City FC,0,2,0.15
M. Johnson,Chicago Stars FC,0,1,0.1
M. Justus,Utah Royals,0,1,0.04
M. Matsukubo,North Carolina Courage,4,13,3.48
M. McGlynn,Utah Royals,1,2,0.71
M. McKenzie,Portland Thorns FC,0,2,0.16
M. Mercado,Seattle Reign FC,1,5,0.65
M. Moreau,Bay FC,0,1,0.11
M. Moriya,Angel City FC,0,10,1.34
M. Morris,Racing Louisville FC,0,3,0.17
M. Morris,Washington Spirit,0,8,1.31
M. Pogarch,Utah Royals,0,6,0.3
M. Purce,Gotham FC,0,4,0.34
M. Reid,Angel City FC,0,1,0.08
M. Robbe,San Diego Wave FC,0,8,0.56
M. Speck,North Carolina Courage,2,4,0.83
M. Sánchez,San Diego Wave FC,2,5,1.33
M. Tanaka,Utah Royals,0,17,1.19
Maiara Niehues,Angel City FC,0,3,0.15
Maitane López,Chicago Stars FC,2,5,0.51
Marta,Orlando Pride,1,28,2.48
N. Jacobs,Houston Dash,0,5,0.28
N. Martin,Gotham FC,1,3,0.56
N. Miura,Washington Spirit,2,11,1.19
N. Mondésir,Seattle Reign FC,0,4,0.41
N. Prince,Kansas City Current,0,4,0.3
N. Staude,North Carolina Courage,0,3,0.13
Nuria Rábano,Utah Royals,0,7,0.67
Nádia Gomes,Chicago Stars FC,0,4,0.45
O. Moultrie,Portland Thorns FC,1,35,4.11
Oihane Hernández,Orlando Pride,1,5,1.23
P. Chilufya,Orlando Pride,0,10,1.02
P. Hocking,Bay FC,1,5,0.9
P. Linnehan,Portland Thorns FC,0,6,0.41
P. McClernon,Seattle Reign FC,0,1,0.07
P. Monaghan,Utah Royals,0,4,0.2
P. Morroni,San Diego Wave FC,4,10,2.32
P. Nielsen,Houston Dash,0,3,0.14
P. Tordin,Portland Thorns FC,0,11,1.1
R. Bernal,Washington Spirit,0,12,0.86
R. Gareis,Houston Dash,3,6,1.64
R. Hill,Bay FC,0,11,0.71
R. Jackson,North Carolina Courage,0,21,1.33
R. Kouassi,Washington Spirit,4,6,2.91
R. Kundananji,Bay FC,3,21,4.54
R. Lavelle,Gotham FC,1,6,0.49
R. Reyes,Portland Thorns FC,1,7,0.69
R. Rodríguez,Kansas City Current,0,2,0.17
R. Tiernan,Angel City FC,1,12,1.16
R. Turner,Portland Thorns FC,1,15,2.18
R. Williams,North Carolina Courage,1,22,2.86
Rafaelle,Orlando Pride,0,1,0.1
S. Cantore,Washington Spirit,0,3,0.58
S. Coffey,Portland Thorns FC,3,28,2.11
S. Cook,Gotham FC,0,1,0.05
S. DeMelo,Racing Louisville FC,2,30,3.25
S. Gorden,Angel City FC,0,1,0.05
S. Groom,Chicago Stars FC,0,9,1.02
S. Hiatt,Portland Thorns FC,0,2,0.3
S. Holmes,Seattle Reign FC,0,2,0.13
S. Huerta,Seattle Reign FC,1,6,0.43
S. Jackson,Orlando Pride,1,3,0.92
