Player,Team,Minutes
A. Berger,Gotham FC,87.0
A. Chapman,Houston Dash,259.0
A. Cook,Kansas City Current,136.0
A. Cook,Chicago Stars,84.0
A. Crnogorčević,Seattle Reign,366.0
A. Guzmán,Utah Royals,76.0
A. Hatch,Washington Spirit,197.0
A. James-Turner,Seattle Reign,395.0
A. Kennedy,Angel City,358.0
A. Lemos,Orlando Pride,472.0
A. Leon,San Diego Wave,893.0
A. Loera,Utah Royals,7.0
A. Malonson,Bay,526.0
A. McCammon,Seattle Reign,269.0
A. Moorhouse,Orlando Pride,50.0
A. Naeher,Chicago Stars,89.0
A. Nagai,Utah Royals,305.0
A. Oshoala,Bay,372.0
A. Patterson,Houston Dash,45.0
A. Sanchez,North Carolina Courage,773.0
A. Schlegel,Chicago Stars,1034.0
A. Sentnor,Kansas City Current,219.0
A. Sentnor,Utah Royals,136.0
A. Solórzano,Utah Royals,693.0
A. Spaanstra,Portland Thorns,200.0
A. Thompson,Angel City,317.0
A. Watt,Orlando Pride,889.0
Aline Gomes,North Carolina Courage,263.0
Ana Tejada,Utah Royals,275.0
Angelina,Orlando Pride,577.0
Ary Borges,Racing Louisville,416.0
B. Balcer,Racing Louisville,8.0
B. Banda,Orlando Pride,307.0
B. Courtnall,North Carolina Courage,29.0
B. Feist,Kansas City Current,75.0
B. Franklin,Chicago Stars,279.0
B. Martinez,Orlando Pride,0.0
B. Mozingo,Utah Royals,588.0
B. Olivieri,Houston Dash,530.0
B. Pinto,North Carolina Courage,335.0
B. Ratcliffe,Washington Spirit,376.0
B. St-Georges,Utah Royals,772.0
Bia Zaneratto,Kansas City Current,874.0
Bruninha,Gotham FC,520.0
C. Barry,Chicago Stars,49.0
C. Bethune,Washington Spirit,593.0
C. Biegalski,Chicago Stars,459.0
C. Brown,Washington Spirit,374.0
C. Conti,Bay,705.0
C. Curran,Chicago Stars,78.0
C. Dyke,Orlando Pride,621.0
C. Emslie,Angel City,429.0
C. Hanks,Portland Thorns,457.0
C. Hutton,Kansas City Current,1087.0
C. Kizer,Gotham FC,38.0
C. Kizer,Utah Royals,388.0
C. Krueger,Washington Spirit,329.0
C. Lacasse,Utah Royals,132.0
C. Laris­ey,Houston Dash,40.0
C. Okwuchukwu,San Diego Wave,144.0
C. Onwualu,Chicago Stars,126.0
C. Paulson,Bay,12.0
C. Petersen,Racing Louisville,179.0
C. Pickett,Orlando Pride,561.0
C. Press,Angel City,335.0
C. Ricketts,Washington Spirit,163.0
C. Vine,North Carolina Courage,328.0
C. Westphal,Houston Dash,349.0
Casey Phair,Angel City,90.0
Claudia Zornoza,Utah Royals,296.0
D. Abiodun,Washington Spirit,14.0
D. Bailey,Bay,661.0
D. Cascarino,San Diego Wave,483.0
D. Castellanos,Portland Thorns,719.0
D. Colaprico,Houston Dash,751.0
D. Foederer,Utah Royals,701.0
D. O'Sullivan,North Carolina Courage,45.0
D. Ordoñez,Houston Dash,72.0
D. Sheehan,Houston Dash,766.0
D. Weatherholt,North Carolina Courage,85.0
Daiane,Portland Thorns,8.0
Debinha,Kansas City Current,777.0
Dudinha,San Diego Wave,16.0
E. Adames,Seattle Reign,584.0
E. Ball,Kansas City Current,94.0
E. Duljan,Houston Dash,419.0
E. Favour,San Diego Wave,65.0
E. Hase,Racing Louisville,452.0
E. Mason,Seattle Reign,155.0
E. Menges,Bay,170.0
E. Morgan,Washington Spirit,216.0
E. Pikkujämsä,Racing Louisville,9.0
E. Sams,Orlando Pride,23.0
E. Sears,Racing Louisville,544.0
E. Shores,Angel City,207.0
E. Stevens,Gotham FC,285.0
E. Wheeler,Kansas City Current,252.0
Esther González,Gotham FC,601.0
F. Rauch,North Carolina Courage,582.0
Flora Marta Lacho,Kansas City Current,151.0
G. Carle,Washington Spirit,293.0
G. Chanda,Orlando Pride,32.0
G. Corley,San Diego Wave,1008.0
G. Monday,Washington Spirit,743.0
G. Robinson,Kansas City Current,1.0
G. Thompson,Angel City,728.0
Gabi Portilho,Gotham FC,760.0
Geyse,Gotham FC,582.0
