Player,Team,Assists,ShotAssists,xAG
C. Kramer,TSV Bayer 04 Leverkusen,0,2,0.15
C. Simon,FC Bayern München,0,3,0.18
E. Senß,Eintracht Frankfurt,1,3,0.57
G. Reuteler,Eintracht Frankfurt,1,2,0.43
G. Stanway,FC Bayern München,0,1,0.09
J. Damnjanović,FC Bayern München,1,0,0.46
J. Teulings,Eintracht Frankfurt,0,1,0.08
K. Bühl,FC Bayern München,1,2,1.16
K. Kögel,TSV Bayer 04 Leverkusen,0,1,0.05
L. Elmazi,SGS Essen 1968,0,1,0.03
L. Freigang,Eintracht Frankfurt,1,0,0.69
L. Köpp,SGS Essen 1968,0,1,0.08
L. Ostermeier,SGS Essen 1968,0,1,0.05
M. Tanikawa,FC Bayern München,0,1,0.1
N. Anyomi,Eintracht Frankfurt,0,1,0.4
N. Kowalski,SGS Essen 1968,0,1,0.07
N. Lührßen,Eintracht Frankfurt,1,0,0.1
R. Chiba,Eintracht Frankfurt,0,1,0.08
R. Grant,TSV Bayer 04 Leverkusen,0,1,0.1
S. Zadrazil,FC Bayern München,0,1,0.05
V. Fudalla,TSV Bayer 04 Leverkusen,0,1,0.03
